state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AK,enrollmetric,pp_stloc_raw_AK,pp_fed_raw_AK,pp_total_raw_AK,pp_site_stloc_raw_AK,pp_site_fed_raw_AK,pp_site_raw_AK,pp_centshare_stloc_raw_AK,pp_centshare_fed_raw_AK,pp_centshare_raw_AK,schoolstloc_raw_AK,schoolfed_raw_AK,schooltot_raw_AK,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AK,2018-2019,3,38010,Alaska Gateway,Alaska REACH Academy,200050,200050,2000000030000,20005000023,45.0,PK-12,4.0,41,ADM,14458,7978,22436,5709,5763,11472,8749,2215,10964,592778,327098,919876,26488.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30010,Alaska Gateway,Dot Lake School,200050,200050,2000000030000,20005000024,11.0,PK-12,4.0,10.8,ADM,26172,13933,40105,17423,11718,29141,8749,2215,10964,282657.6,150476.4,433134,44157.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30020,Alaska Gateway,Eagle Community School,200050,200050,2000000030000,20005000025,23.0,PK-12,4.0,22.85,ADM,32231,11402,43633,23482,9187,32669,8749,2215,10964,736478.35,260535.7,997014.05,47685.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30030,Alaska Gateway,Mentasta Lake School,200050,200050,2000000030000,20005000026,31.0,PK-12,4.0,31,ADM,26369,11100,37469,17620,8885,26505,8749,2215,10964,817439,344100,1161539,41521.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30050,Alaska Gateway,Tanacross School,200050,200050,2000000030000,20005000424,17.0,PK-08,3.0,15.25,ADM,24708,13644,38352,15959,11429,27388,8749,2215,10964,376797,208071,584868,42404.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30070,Alaska Gateway,Tetlin School,200050,200050,2000000030000,20005000528,33.0,PK-12,4.0,33.5,ADM,24617,12122,36739,15868,9907,25775,8749,2215,10964,824669.5,406087,1230756.5,40791.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30060,Alaska Gateway,Tok School,200050,200050,2000000030000,20005000028,182.0,PK-12,4.0,173.45,ADM,25536,10675,36211,16787,8460,25247,8749,2215,10964,4429219.19999999,1851578.74999999,6280797.94999999,40263.77722,0,0,0,0,0,0,0
AK,2018-2019,3,30040,Alaska Gateway,Walter Northway School,200050,200050,2000000030000,20005000027,53.0,PK-12,4.0,53.5,ADM,28071,11334,39405,19322,9119,28441,8749,2215,10964,1501798.5,606369,2108167.5,43457.77722,0,0,0,0,0,0,0
AK,2018-2019,4,40080,Aleutian Region,Adak School,200010,200010,2000000030100,20001000080,12.0,KG-12,4.0,12.05,ADM,84961,1980,86941,62537,1980,64517,22424,0,22424,1023780.05,23859,1047639.05,86977.05278,0,0,0,0,0,0,0
AK,2018-2019,4,40020,Aleutian Region,Yakov E. Netsvetov School,200010,200010,2000000030100,20001000005,6.0,KG-12,4.0,6,ADM,135663,3289,138952,113239,3289,116528,22424,0,22424,813978,19734,833712,138988.0528,0,0,0,0,0,0,0
AK,2018-2019,56,560030,Aleutians East,Akutan School,200007,200007,2102402430100,20000700004,19.0,PK-12,4.0,18,ADM,30976,316,31292,17008,63,17071,13968,253,14221,557568,5688,563256,31779.30723,0,0,0,0,0,0,0
