state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AL,enrollmetric,pp_stloc_raw_AL,pp_fed_raw_AL,pp_total_raw_AL,pp_site_stloc_raw_AL,pp_site_fed_raw_AL,pp_site_raw_AL,pp_centshare_stloc_raw_AL,pp_centshare_fed_raw_AL,pp_centshare_raw_AL,schoolstloc_raw_AL,schoolfed_raw_AL,schooltot_raw_AL,pp_total_norm_NERDS,pp_centshare_loc_raw_AL,pp_centshare_st_raw_AL,pp_site_loc_raw_AL,pp_site_st_raw_AL,pp_total_loc_raw_AL,pp_total_st_raw_AL,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AL,2018-2019,AL-800,AL-800-0010,ACCELERATION DAY AND EVENING ACADEMY,ACCELERATION DAY AND EVENING ACADEMY,100197,100197,,10019702432,300.0,09-12,4,300.0,Fall ADA,8059,1315,9373,8059.0,1315.0,9373,,,,2417700.0,394500.0,2811900.0,9367.387074,,,2379.0,5680.0,2379,5680,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0010,ALABASTER CITY,CREEK VIEW ELEMENTARY SCHOOL,100190,100190,1505900300000.0,10019001815,899.0,PK-03,2,899.0,Fall ADA,8854,1165,10240,7769.0,1076.0,9052,1085.0,89.0,1187.0,7959746.0,1047335.0,9205760.0,10354.52625,758.0,327.0,769.0,7000.0,1527,7327,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0005,ALABASTER CITY,MEADOW VIEW  ELEMENTARY SCHOOL,100190,100190,1505900300000.0,10019001460,878.0,PK-03,2,878.0,Fall ADA,8803,1568,10590,7712.0,1429.0,9346,1091.0,139.0,1243.0,7729034.0,1376704.0,9298020.0,10704.30421,760.0,331.0,835.0,6877.0,1595,7208,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0050,ALABASTER CITY,THOMPSON HIGH SCHOOL,100190,100190,1505900300000.0,10019001183,2024.0,09-12,4,2024.0,Fall ADA,10612,891,12268,8550.0,779.0,10081,2061.0,112.0,2187.0,21478688.0,1803384.0,24830432.0,12381.23972,1756.0,305.0,2779.0,5771.0,4535,6077,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0020,ALABASTER CITY,THOMPSON INTERMEDIATE SCHOOL,100190,100190,1505900300000.0,10019001182,894.0,04-05,2,894.0,Fall ADA,7478,1700,9652,6591.0,1531.0,8582,887.0,169.0,1070.0,6685332.0,1519800.0,8628888.0,9766.899264,582.0,305.0,590.0,6001.0,1172,6306,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0040,ALABASTER CITY,THOMPSON MIDDLE SCHOOL,100190,100190,1505900300000.0,10019001184,1000.0,07-08,3,1000.0,Fall ADA,8275,1307,10052,7051.0,1235.0,8743,1224.0,72.0,1310.0,8275000.0,1307000.0,10052000.0,10166.64551,936.0,288.0,1774.0,5277.0,2710,5565,0,0,0,0,0,0,0
AL,2018-2019,AL-103,AL-103-0030,ALABASTER CITY,THOMPSON SIXTH GRADE CENTER,100190,100190,1505900300000.0,10019002149,489.0,06-06,2,489.0,Fall ADA,7991,245,8407,6494.0,179.0,6830,1497.0,66.0,1577.0,3907599.0,119805.0,4111023.0,8522.689067,1219.0,278.0,512.0,5982.0,1731,6260,0,0,0,0,0,0,0
AL,2018-2019,AL-101,AL-101-0200,ALBERTVILLE CITY,ALBERTVILLE ELEMENTARY SCHOOL,100005,100005,1504840100000.0,10000500889,915.0,03-04,2,915.0,Fall ADA,6657,2788,9624,5328.0,2214.0,7704,1330.0,574.0,1921.0,6091155.0,2551020.0,8805960.0,9750.854857,243.0,1087.0,307.0,5021.0,549,6108,0,0,0,0,0,0,0
AL,2018-2019,AL-101,AL-101-0020,ALBERTVILLE CITY,ALBERTVILLE HIGH SCHOOL,100005,100005,1504840100000.0,10000500871,1485.0,09-12,4,1485.0,Fall ADA,7887,1161,9521,6206.0,818.0,7479,1681.0,344.0,2042.0,11712195.0,1724085.0,14138685.0,9647.920198,346.0,1335.0,619.0,5587.0,965,6922,0,0,0,0,0,0,0
AL,2018-2019,AL-101,AL-101-0010,ALBERTVILLE CITY,ALBERTVILLE MIDDLE SCHOOL,100005,100005,1504840100000.0,10000500870,814.0,07-08,3,814.0,Fall ADA,6469,1469,8100,5133.0,1003.0,6281,1336.0,466.0,1819.0,5265766.0,1195766.0,6593400.0,8227.821653,205.0,1131.0,289.0,4844.0,494,5975,0,0,0,0,0,0,0
