state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AR,enrollmetric,pp_stloc_raw_AR,pp_fed_raw_AR,pp_total_raw_AR,schoolstloc_raw_AR,schoolfed_raw_AR,schooltot_raw_AR,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AR,2018-2019,6040700,6040702,ACADEMICS PLUS CHARTER SCHOOL,Maumelle Charter Elementary,500059.0,500059.0,,50005900603,690.0,KG-05,2.0,688,Four Quarter ADA,6169.0107,386.9198,6555.9306640625,4249056.8767,266500.469,4515557.5,6361.850283,0,0,1,1,1,0,0
AR,2018-2019,6040700,6040703,ACADEMICS PLUS CHARTER SCHOOL,Maumelle Charter High School,500059.0,500059.0,,50005900741,463.0,06-12,4.0,461,Four Quarter ADA,8826.4399,438.5634,9265.0029296875,4069386.9918,202197.4928,4271584.5,8990.69598,0,0,1,1,1,0,0
AR,2018-2019,6040700,6040704,ACADEMICS PLUS CHARTER SCHOOL,Scott Charter School,500059.0,500059.0,,50005901619,255.0,KG-09,3.0,249,Four Quarter ADA,7392.1663,738.3501,8130.5166015625,1842705.8714,184054.5882,2026760.5,7889.806373,0,0,1,1,1,0,0
AR,2018-2019,1701000,1701002,ALMA SCHOOL DISTRICT,Alma High School,502250.0,502250.0,4501700100000.0,50225000004,1016.0,09-12,4.0,1008,Four Quarter ADA,9444.488,1051.4035,10495.8916015625,9524711.1871,1060334.2657,10585045,10537.32869,0,0,1,1,1,0,0
AR,2018-2019,1701000,1701001,ALMA SCHOOL DISTRICT,Alma Intermediate School,502250.0,502250.0,4501700100000.0,50225000003,709.0,03-05,2.0,718,Four Quarter ADA,6328.4674,1459.6884,7788.15576171875,4544122.9448,1048121.6388,5592244.5,7909.779841,0,0,1,1,1,0,0
AR,2018-2019,1701000,1701003,ALMA SCHOOL DISTRICT,Alma Middle School,502250.0,502250.0,4501700100000.0,50225000005,811.0,06-08,3.0,803,Four Quarter ADA,7278.6831,1119.2376,8397.9208984375,5851669.6109,899806.8097,6751476.5,8501.48737,0,0,1,1,1,0,0
AR,2018-2019,1701000,1701004,ALMA SCHOOL DISTRICT,Alma Primary School,502250.0,502250.0,4501700100000.0,50225001350,708.0,KG-02,2.0,710,Four Quarter ADA,6821.0373,1527.9242,8348.9619140625,4847721.3672,1085897.9758,5933619.5,8453.978259,0,0,1,1,1,0,0
AR,2018-2019,501000,501001,ALPENA SCHOOL DISTRICT,Alpena Elementary School,502280.0,502280.0,4500500100000.0,50228000006,307.0,PK-06,2.0,287,Four Quarter ADA,6661.3405,1352.2206,8013.56103515625,1916676.4374,389076.2597,2305752.75,8154.716358,0,0,1,1,1,0,0
AR,2018-2019,501000,501002,ALPENA SCHOOL DISTRICT,Alpena High School,502280.0,502280.0,4500500100000.0,50228000007,238.0,07-12,4.0,237,Four Quarter ADA,8583.62,1489.1777,10072.7978515625,2034687.5426,352999.2303,2387686.75,10152.97086,0,0,1,1,1,0,0
AR,2018-2019,6091000,6091001,ARK. SCHOOL FOR THE BLIND,Ark. School for the Blind Elem,500035.0,500035.0,,50003501419,46.0,PK-06,2.0,NRD,Four Quarter ADA,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,1,1,1,1
