state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AZ,enrollmetric,pp_stloc_raw_AZ,pp_fed_raw_AZ,pp_total_raw_AZ,schoolstloc_raw_AZ,schoolfed_raw_AZ,schooltot_raw_AZ,pp_total_norm_NERDS,pppersonnel_raw_AZ,ppnonpersonnel_raw_AZ,ppperfed_raw_AZ,ppperstloc_raw_AZ,ppnonperfed_raw_AZ,ppnonperstloc_raw_AZ,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AZ,2018-2019,79457,79458,A Center for Creative Education,Verde Valley Montessori School - A Center for Creative Education,400328.0,400328.0,,40032802228.0,65.0,KG-08,3.0,65,October Count Day,10711.851573899,118.969855425213,10830.8214293243,696270.352303437,7733.04060263884,704003.392906079,,6502.75655668106,4328.06487264319,118.969855425213,6383.78670125585,0,4328.06487264319,1,1,1,1,0,1,1
AZ,2018-2019,90199,90200,"Academy Del Sol, Inc.",Academy Del Sol,400797.0,400797.0,,40079702994.0,136.0,KG-08,3.0,136,October Count Day,-824.71940229018,116.063878260847,-708.655524029332,-112161.838711464,15784.6874434751,-96377.1512679891,,-351.76552018409,-356.890003845243,0,-351.76552018409,116.063878260847,-472.95388210609,1,1,1,1,0,1,1
AZ,2018-2019,90199,90770,"Academy Del Sol, Inc.",Academy Del Sol - Hope,400797.0,400797.0,,40079703230.0,656.0,KG-08,3.0,656,October Count Day,164.542018161944,-23.156221027067,141.385797134878,107939.563914235,-15190.4809937559,92749.0829204799,,70.181698708855,71.2040984260226,0,70.181698708855,-23.156221027067,94.3603194530896,1,1,1,1,0,1,1
AZ,2018-2019,85540,85541,"Academy of Building Industries, Inc.",Academy of Building Industries,400414.0,400414.0,,40041402412.0,119.0,09-12,4.0,119,October Count Day,18597.9009803511,1581.78961276789,20179.690593119,2213150.21666178,188232.963919379,2401383.18058116,,16178.9254689651,4000.76512415385,1304.8151494857,14874.1103194795,276.974463282195,3723.79066087166,1,1,1,1,0,1,1
AZ,2018-2019,90878,911531,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Desert Sky,400891.0,400891.0,,40089103581.0,948.0,KG-08,3.0,953,October Count Day,7233.18134881735,1217.2987339036,8450.48008272095,6893221.82542293,1160085.69341013,8053307.51883306,,5486.621897719,2963.85818500195,929.919192719641,4556.70270499936,287.379541183965,2676.47864381799,1,1,1,1,0,0,1
AZ,2018-2019,90878,1000119,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Glendale,400891.0,400891.0,,40089103618.0,,KG-08,3.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,1,1,1,1,0,1,1
AZ,2018-2019,90878,1000118,"Academy of Mathematics and Science South, Inc.",Academy of Math and Science Peoria Advanced,400891.0,400891.0,,40089103604.0,,KG-08,3.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,1,1,1,1,0,1,1
AZ,2018-2019,90878,92197,"Academy of Mathematics and Science South, Inc.",Academy of Mathematics and Science South,400891.0,400891.0,,40089103399.0,527.0,KG-08,3.0,529,October Count Day,8023.41298791909,883.8582322646,8907.27122018369,4244385.47060919,467561.004867973,4711946.47547717,,6160.91460015349,2746.35662003019,700.353913258007,5460.56068689549,183.504319006593,2562.8523010236,1,1,1,1,0,0,1
AZ,2018-2019,79961,79094,"Academy of Mathematics and Science, Inc.",Academy of Math and Science,400368.0,400368.0,,40036802037.0,528.0,KG-12,4.0,552,October Count Day,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,0,1,1
AZ,2018-2019,92768,92769,"Academy of Mathematics and Science, Inc.",Academy of Math and Science Camelback,400940.0,400940.0,,40094003499.0,1132.0,KG-08,3.0,1135,October Count Day,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,0,1,1
AZ,2018-2019,78897,81130,"Academy of Tucson, Inc.",Academy of Tucson Elementary School,400202.0,400202.0,,40020203141.0,214.0,KG-05,2.0,214,October Count Day,-25.563797823886,-3.7558690175241,-29.3196668414102,-5470.65273431162,-803.755969750157,-6274.40870406178,,-27.0323620014239,-2.28730483998619,-3.7558690175241,-23.2764929838999,0,-2.28730483998619,1,1,1,1,0,1,1
AZ,2018-2019,78897,78898,"Academy of Tucson, Inc.",Academy of Tucson High School,400202.0,400202.0,,40020201959.0,158.0,09-12,4.0,158,October Count Day,-89.0754061108766,-13.0822128091298,-102.157618920006,-14073.9141655185,-2066.9896238425,-16140.9037893609,,-94.1916730261857,-7.96594589382078,-13.0822128091298,-81.1094602170559,0,-7.96594589382078,1,1,1,1,0,1,1
AZ,2018-2019,78897,79986,"Academy of Tucson, Inc.",Academy of Tucson Middle School,400202.0,400202.0,,40020202312.0,260.0,05-08,3.0,260,October Count Day,72.3260672070484,10.6233367141698,82.9494039212183,18804.7774738325,2762.06754568414,21566.8450195167,,76.4804766197201,6.46892730149802,10.6233367141698,65.8571399055504,0,6.46892730149802,1,1,1,1,0,1,1
AZ,2018-2019,79213,10795,Academy with Community Partners  Inc,Academy with Community Partners,400276.0,400276.0,,40027601841.0,135.0,09-12,4.0,135,October Count Day,6390.92788750935,864.3251672734,7255.25305478275,862775.264813762,116683.897581909,979459.162395671,6844.44,5394.89776940281,1860.35528537993,650.792192556721,4744.10557684609,213.532974716679,1646.82231066326,1,1,1,1,0,0,0
AZ,2018-2019,6364,5891,Accelerated Elementary and Secondary Schools,Accelerated Learning Laboratory,400129.0,400129.0,,40012901790.0,167.0,KG-12,4.0,167,October Count Day,-5483.58522387991,-501.468007409446,-5985.05323128936,-915758.732387944,-83745.1572373774,-999503.889625323,,-5985.05323128935,0,-501.468007409446,-5483.58522387991,0,0,1,1,1,1,0,1,1
AZ,2018-2019,4297,5462,"Accelerated Learning Center, Inc.",Accelerated Learning Center,400121.0,400121.0,,40012101581.0,179.0,09-12,4.0,179,October Count Day,7349.32071347853,0,7349.32071347853,1315528.40771265,0,1315528.40771265,7251.4,5005.4938340205,2343.82687945803,0,5005.4938340205,0,2343.82687945803,1,1,1,1,0,0,0
AZ,2018-2019,4325,5496,Acclaim Charter School,ACCLAIM Academy,400122.0,400122.0,,40012201585.0,370.0,KG-08,3.0,370,October Count Day,7193.84404504071,886.927666676104,8080.77171171681,2661722.29666506,328163.236670158,2989885.53333522,,4588.89409959186,3491.87761212495,631.486796385362,3957.4073032065,255.440870290742,3236.43674183421,1,1,1,1,0,1,1
AZ,2018-2019,79437,79438,Acorn Montessori Charter School,Acorn Montessori Charter School,400320.0,400320.0,,40032002227.0,352.0,03-08,3.0,352,October Count Day,6323.45143554985,556.576198148246,6880.0276336981,2225854.90531354,195914.821748182,2421769.72706173,6432.49,5558.65341279018,1321.37422090791,517.274900285214,5041.37851250497,39.3012978630326,1282.07292304488,1,1,1,1,0,0,0
AZ,2018-2019,79437,88180,Acorn Montessori Charter School,"Acorn Montessori Charter School, Inc. - West",400320.0,400320.0,,40032002576.0,136.0,KG-02,2.0,136,October Count Day,10898.3161020019,959.254432570831,11857.5705345728,1482170.98987226,130458.602829633,1612629.5927019,11410.03,9580.20787760296,2277.36265696985,891.514653904219,8688.69322369874,67.7397786666125,2209.62287830324,1,1,1,1,0,0,0
AZ,2018-2019,4289,5454,Agua Fria Union High School District,Agua Fria High School,400450.0,400450.0,3500750200000.0,40045000001.0,1830.0,09-12,4.0,1830,October Count Day,8359.61982584533,581.667484940299,8941.28731078563,15298104.2812969,1064451.49744074,16362555.7787377,8841.68,7129.73459429086,1811.55271649476,386.0524790803,6743.68211521056,195.615005859999,1615.93771063477,1,1,1,1,0,0,0
AZ,2018-2019,4289,932049,Agua Fria Union High School District,Canyon View High School,400450.0,400450.0,3500750200000.0,40045003559.0,449.0,09-12,4.0,449,October Count Day,12077.3023744677,228.188421566429,12305.4907960341,5422708.76613599,102456.601283326,5525165.36741931,12205.89,8451.68296589635,3853.80783013777,64.9880971497443,8386.69486874661,163.200324416685,3690.60750572109,1,1,1,1,0,0,0
AZ,2018-2019,4289,79799,Agua Fria Union High School District,Desert Edge High School,400450.0,400450.0,3500750200000.0,40045002273.0,1647.0,09-12,4.0,1647,October Count Day,8484.78345507736,382.473189957772,8867.25664503513,13974438.3505124,629933.34386045,14604371.6943728,8767.65,7009.53586947077,1857.72077556435,246.364902337407,6763.17096713337,136.108287620365,1721.61248794399,1,1,1,1,0,0,0
AZ,2018-2019,4289,78926,Agua Fria Union High School District,Millennium High School,400450.0,400450.0,3500750200000.0,40045001884.0,2136.0,09-12,4.0,2136,October Count Day,8192.36752339734,234.548726564988,8426.91624996233,17498897.0299767,500996.079942814,17999893.1099195,8327.31,6564.89058539631,1862.02566456601,94.8973252199531,6469.99326017636,139.651401345035,1722.37426322098,1,1,1,1,0,0,0
AZ,2018-2019,4289,87903,Agua Fria Union High School District,Verrado High School,400450.0,400450.0,3500750200000.0,40045002592.0,1902.0,09-12,4.0,1902,October Count Day,7843.73054670292,200.309071015124,8044.03961771804,14918775.4998289,380987.853070766,15299763.3528997,7944.43,6277.93710758764,1766.10251013039,55.2777141234954,6222.65939346415,145.031356891629,1621.07115323877,1,1,1,1,0,0,0
AZ,2018-2019,4249,5187,Aguila Elementary District,Aguila Elementary School,400480.0,400480.0,3500700100000.0,40048000002.0,163.0,KG-08,3.0,163,October Count Day,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,0,1,1
AZ,2018-2019,4249,91411,Aguila Elementary District,Aguila Pre-School,400480.0,400480.0,3500700100000.0,40048003445.0,0.0,PK-PK,1.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,1,1,1,1,0,1,1
AZ,2018-2019,79053,79123,AIBT Non-Profit Charter High School - Phoenix,RCB Medical Arts Academy,400274.0,400274.0,,40027402020.0,101.0,07-12,4.0,101,October Count Day,7754.62799854092,1763.45283039274,9518.08082893366,783217.427852633,178108.735869666,961326.163722299,9485.15,4039.78119336608,5478.29963556758,972.757303458517,3067.02388990757,790.695526934223,4687.60410863336,1,1,1,1,0,0,0
AZ,2018-2019,449790,742847,"AIBT Non-Profit Charter High School, Inc.",RCB College Preparatory Academy,400970.0,400970.0,,40097003546.0,14.0,09-12,4.0,14,October Count Day,4131.86213465783,0,4131.86213465782,57846.0698852096,0,57846.0698852094,,3050.27115712362,1081.59097753421,0,3050.27115712362,0,1081.59097753421,1,1,1,1,0,1,1
AZ,2018-2019,4409,5831,Ajo Unified District,Ajo Elementary School,400520.0,400520.0,3501000100000.0,40052000003.0,317.0,PK-08,3.0,317,October Count Day,8704.50873356175,785.707941828125,9490.21667538987,2759329.26853907,249069.417559515,3008398.68609858,9171.47,7872.08549439809,1618.13118099177,590.919451265648,7281.16604313245,194.788490562477,1423.3426904293,1,1,1,1,0,0,0
AZ,2018-2019,4409,6292,Ajo Unified District,Ajo High School,400520.0,400520.0,3501000100000.0,40052003063.0,135.0,09-12,4.0,135,October Count Day,8704.50873356175,687.307864159911,9391.81659772166,1175108.67903083,92786.5616615879,1267895.24069242,9073.07,7728.5286911859,1663.28790653575,447.362648053457,7281.16604313245,239.945216106454,1423.3426904293,1,1,1,1,0,0,0
AZ,2018-2019,5978,10797,"Akimel O Otham Pee Posh Charter School, Inc.",Akimel O'Otham Pee Posh (K-2),400403.0,400403.0,,40040301989.0,,KG-02,2.0,16,October Count Day,393.324009918611,1100.87242495363,1494.19643487225,6293.18415869777,17613.9587992581,23907.142957956,,752.057040056347,742.139394815901,615.943052977652,136.113987078695,484.929371975985,257.210022839916,1,1,1,1,0,1,1
AZ,2018-2019,78966,78967,"Akimel O'Otham Pee Posh Charter School, Inc.",Akimel O'Otham Pee Posh (3-5),400404.0,400404.0,,40040401993.0,12.0,03-05,2.0,12,October Count Day,770.415825595479,6066.91158659669,6837.32741219217,9244.98990714574,72802.9390391603,82047.928946306,,3991.74000807428,2845.58740411788,3436.25353249899,555.486475575293,2630.6580540977,214.929350020186,1,1,1,1,0,1,1
AZ,2018-2019,4280,5381,Alhambra Elementary District,Alhambra Traditional School,400600.0,400600.0,3500700200000.0,40060001283.0,772.0,KG-08,3.0,772,October Count Day,6998.14224720519,1214.94772647785,8213.08997368306,5402565.81484241,937939.644840905,6340505.45968332,8060.61,7142.62837755237,1070.46159613067,734.660996737158,6407.96738081522,480.286729740699,590.174866389979,1,1,1,1,0,0,0
AZ,2018-2019,4280,5382,Alhambra Elementary District,Andalucia Middle School,400600.0,400600.0,3500700200000.0,40060000302.0,,04-08,3.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,1,1,1,1,0,1,0
AZ,2018-2019,4280,5384,Alhambra Elementary District,Barcelona Elementary School,400600.0,400600.0,3500700200000.0,40060000008.0,1316.0,PK-08,3.0,1316,October Count Day,7110.05151934908,2601.47752052476,9711.52903987385,9356827.79946339,3423544.41701058,12780372.2164739,9559.05,8579.63161042294,1131.8974294509,1979.61040958307,6600.02120083987,621.867110941693,510.030318509216,1,1,1,1,0,0,0
