state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CA,enrollmetric,pp_stloc_raw_CA,pp_fed_raw_CA,pp_total_raw_CA,pp_site_stloc_raw_CA,pp_site_fed_raw_CA,pp_site_raw_CA,pp_centshare_stloc_raw_CA,pp_centshare_fed_raw_CA,pp_centshare_raw_CA,schoolstloc_raw_CA,schoolfed_raw_CA,schooltot_raw_CA,pp_total_norm_NERDS,distexclu_raw_CA,disttotwexclu_raw_CA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CA,2018-2019,19642120000000,19642121995596,ABC Unified,ABC Secondary (Alternative),601620.0,601620.0,5501970200000.0,60162010232.0,82.0,07-12,4.0,82,CALPADS Fall 1 Submission enrollment,8965,919,9884,4017,0,4017,4948,919,5867,735130,75358,810488,10084.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010862,ABC Unified,Aloha Elementary,601620.0,601620.0,5501970200000.0,60162000001.0,356.0,KG-06,2.0,356,CALPADS Fall 1 Submission enrollment,11295,1189,12484,6281,228,6509,5014,961,5975,4021020,423284,4444304,12684.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642121930361,ABC Unified,Artesia High,601620.0,601620.0,5501970200000.0,60162000002.0,1431.0,09-12,4.0,1431,CALPADS Fall 1 Submission enrollment,12494,1060,13554,7310,99,7409,5184,961,6145,17878914,1516860,19395774,13754.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126071369,ABC Unified,Bragg Elementary,601620.0,601620.0,5501970200000.0,60162000004.0,655.0,KG-06,2.0,654,CALPADS Fall 1 Submission enrollment,10001,919,10920,5294,0,5294,4707,919,5626,6540654,601026,7141680,11120.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010953,ABC Unified,Burbank (Luther) Elementary,601620.0,601620.0,5501970200000.0,60162000005.0,514.0,KG-06,2.0,514,CALPADS Fall 1 Submission enrollment,10918,1190,12108,6187,229,6416,4731,961,5692,5611852,611660,6223512,12308.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126066708,ABC Unified,Carmenita Middle,601620.0,601620.0,5501970200000.0,60162000007.0,679.0,07-08,3.0,679,CALPADS Fall 1 Submission enrollment,10643,919,11562,5755,0,5755,4888,919,5807,7226597,624001,7850598,11762.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010904,ABC Unified,Carver (Charles J.) Elementary,601620.0,601620.0,5501970200000.0,60162000008.0,618.0,KG-06,2.0,618,CALPADS Fall 1 Submission enrollment,10059,1046,11105,5330,85,5415,4729,961,5690,6216462,646428,6862890,11305.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126068274,ABC Unified,Cerritos Elementary,601620.0,601620.0,5501970200000.0,60162000009.0,673.0,KG-06,2.0,673,CALPADS Fall 1 Submission enrollment,10079,919,10998,5427,0,5427,4652,919,5571,6783167,618487,7401654,11198.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642121930056,ABC Unified,Cerritos High,601620.0,601620.0,5501970200000.0,60162000010.0,2177.0,09-12,4.0,2177,CALPADS Fall 1 Submission enrollment,11278,919,12197,6326,0,6326,4952,919,5871,24552206,2000663,26552869,12397.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010987,ABC Unified,Elliott (William F) Elementary,601620.0,601620.0,5501970200000.0,60162000011.0,541.0,KG-06,2.0,540,CALPADS Fall 1 Submission enrollment,10200,1155,11355,5486,194,5680,4714,961,5675,5508000,623700,6131700,11555.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126061238,ABC Unified,Fedde (Pharis F.) Middle,601620.0,601620.0,5501970200000.0,60162000020.0,432.0,07-08,3.0,432,CALPADS Fall 1 Submission enrollment,12510,1421,13931,7214,460,7674,5296,961,6257,5404320,613872,6018192,14131.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642126010979,ABC Unified,Furgeson (Venn W.) Elementary,601620.0,601620.0,5501970200000.0,60162000013.0,379.0,KG-06,2.0,379,CALPADS Fall 1 Submission enrollment,12276,1425,13701,7119,464,7583,5157,961,6118,4652604,540075,5192679,13901.2925482531,30576001,275922014,1,0,0,0,1,0,0
CA,2018-2019,19642120000000,19642121933159,ABC Unified,Gahr (Richard) High,601620.0,601620.0,5501970200000.0,60162000014.0,1927.0,09-12,4.0,1927,CALPADS Fall 1 Submission enrollment,11720,998,12718,6712,37,6749,5008,961,5969,22584440,1923146,24507586,12918.2925482531,30576001,275922014,1,0,0,0,1,0,0
