state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_CO,enrollmetric,pp_stloc_raw_CO,pp_fed_raw_CO,pp_total_raw_CO,pp_site_stloc_raw_CO,pp_site_fed_raw_CO,pp_site_raw_CO,pp_centshare_stloc_raw_CO,pp_centshare_fed_raw_CO,pp_centshare_raw_CO,schoolstloc_raw_CO,schoolfed_raw_CO,schooltot_raw_CO,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
CO,2018-2019,1040,1901,ACADEMY 20,ACADEMY CALVERT K-8 ONLINE SCHOOL,801920,801920,6502102100000.0,80192006478,117.0,KG-08,3.0,117,School Membership,9538,129,9666,6129,0,6129,3409,129,3537,1115946,15093,1130922,9558.449156,1,0,0,0,0,0,0
CO,2018-2019,1040,17,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,801920,801920,6502102100000.0,80192001643,436.0,KG-05,2.0,436,School Membership,10252,152,10402,6843,23,6865,3409,129,3537,4469872,66272,4535272,10294.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,19,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,801920,801920,6502102100000.0,80192001644,547.0,PK-05,2.0,547,School Membership,9876,130,10005,6467,1,6468,3409,129,3537,5402172,71110,5472735,9897.449156,1,0,0,0,0,0,0
CO,2018-2019,1040,110,ACADEMY 20,ACADEMY ONLINE,801920,801920,6502102100000.0,80192006434,161.0,09-12,4.0,161,School Membership,10530,129,10658,7121,0,7121,3409,129,3537,1695330,20769,1715938,10550.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,76,ACADEMY 20,AIR ACADEMY HIGH SCHOOL,801920,801920,6502102100000.0,80192000002,1370.0,09-12,4.0,1370,School Membership,10330,395,10723,6921,266,7186,3409,129,3537,14152100,541150,14690510,10615.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,249,ACADEMY 20,ANTELOPE TRAILS ELEMENTARY SCHOOL,801920,801920,6502102100000.0,80192000123,342.0,PK-05,2.0,342,School Membership,11297,129,11425,7888,0,7888,3409,129,3537,3863574,44118,3907350,11317.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,209,ACADEMY 20,ASPEN VALLEY CAMPUS,801920,801920,6502102100000.0,80192000858,150.0,07-12,4.0,150,School Membership,16477,129,16605,13068,0,13068,3409,129,3537,2471550,19350,2490750,16497.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,1033,ACADEMY 20,BRIARGATE PRESCHOOL,801920,801920,6502102100000.0,80192006619,112.0,PK-PK,1.0,112,School Membership,11113,456,11568,7704,327,8031,3409,129,3537,1244656,51072,1295616,11460.44916,1,0,0,0,0,0,0
CO,2018-2019,1040,74,ACADEMY 20,CHALLENGER MIDDLE SCHOOL,801920,801920,6502102100000.0,80192000001,909.0,06-08,3.0,909,School Membership,9786,188,9972,6377,59,6435,3409,129,3537,8895474,170892,9064548,9864.449156,1,0,0,0,0,0,0
CO,2018-2019,1040,1615,ACADEMY 20,CHINOOK TRAIL ELEMENTARY SCHOOL,801920,801920,6502102100000.0,80192006329,1026.0,KG-05,2.0,1026,School Membership,7969,188,8156,4560,59,4619,3409,129,3537,8176194,192888,8368056,8048.449156,1,0,0,0,0,0,0
