state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DE,enrollmetric,pp_stloc_raw_DE,pp_fed_raw_DE,pp_total_raw_DE,schoolstloc_raw_DE,schoolfed_raw_DE,schooltot_raw_DE,pp_total_norm_NERDS,pp_nonpersonnel_summed_DE,pp_nonper_stloc_summed_DE,pp_nonper_fed_raw_DE,pp_per_fed_raw_DE,pp_per_stloc_raw_DE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
DE,2018-2019,9605,4045,Academia Antonia Alonso,Academia Antonia Alonso,1000053,1000053,,100005300359,603.0,KG-05,2.0,603,September Count Day,12358.36,926.569999999999,13284.93,7452091.08,558721.71,8010812.79,12398.0099502488,5776.61,5107.57,257.53,669.04,7250.79,1,0,1,0,0,0,0
DE,2018-2019,85,584,Academy of Dover Charter School,Academy Of Dover Charter School,1000017,1000017,,100001700144,272.0,KG-05,2.0,272,September Count Day,10741.29,929.01,11670.3,2921630.88,252690.72,3174321.59999999,11827.205882353,5474.39,4600.86,55.48,873.53,6140.43,1,0,1,0,0,0,0
DE,2018-2019,29,24,Appoquinimink School District,Appoquinimink High School,1000080,1000080,8500250700000.0,100008000225,1672.0,09-12,4.0,1672,September Count Day,12624.63,307.52,12932.15,21108381.36,514173.439999999,21622554.8,12980.9880931342,2540.16,2378.91,146.27,161.25,10245.72,1,0,1,0,0,0,0
DE,2018-2019,29,13,Appoquinimink School District,Appoquinimink PreSchool Center,1000080,1000080,8500250700000.0,100008000103,155.0,PK-PK,1.0,155,September Count Day,29918.96,603.49,30522.45,4637438.8,93540.95,4730979.75,30571.2880931342,4663.77,4559.96,499.68,103.81,25359,1,0,1,0,0,0,0
DE,2018-2019,29,21,Appoquinimink School District,Brick Mill Elementary School,1000080,1000080,8500250700000.0,100008000142,469.0,01-05,2.0,469,September Count Day,14600.25,480.9,15081.15,6847517.25,225542.099999999,7073059.35,15129.9880931342,2173.19,1946.90999999999,254.62,226.28,12653.34,1,0,1,0,0,0,0
DE,2018-2019,29,28,Appoquinimink School District,Bunker Hill Elementary School,1000080,1000080,8500250700000.0,100008000339,542.0,01-05,2.0,542,September Count Day,14203.25,412.51,14615.76,7698161.5,223580.419999999,7921741.92,14664.5980931342,2148.74,1920.44999999999,184.22,228.29,12282.8,1,0,1,0,0,0,0
DE,2018-2019,29,33,Appoquinimink School District,Cantwell Bridge Middle School,1000080,1000080,8500250700000.0,100008000391,,,0.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
DE,2018-2019,29,22,Appoquinimink School District,Cedar Lane Early Childhood Center,1000080,1000080,8500250700000.0,100008000178,281.0,KG-KG,1.0,281,September Count Day,12587.28,176.12,12763.4,3537025.68,49489.72,3586515.4,12812.2380931342,1764.1,1729.44,141.46,34.66,10857.84,1,0,1,0,0,0,0
DE,2018-2019,29,11,Appoquinimink School District,Cedar Lane Elementary School,1000080,1000080,8500250700000.0,100008000332,856.0,01-05,2.0,856,September Count Day,12093.01,257.25,12350.26,10351616.56,220206,10571822.56,12399.0980931342,2358.16999999999,2247.93,147.01,110.24,9845.08,1,0,1,0,0,0,0
DE,2018-2019,29,35,Appoquinimink School District,Lorewood Grove Elementary School,1000080,1000080,8500250700000.0,100008000380,,01-05,2.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
DE,2018-2019,29,20,Appoquinimink School District,Loss (Olive B.) Elementary School,1000080,1000080,8500250700000.0,100008000121,629.0,01-05,2.0,629,September Count Day,12525.19,229.579999999999,12754.77,7878344.51,144405.819999999,8022750.33,12803.6080931342,2050.99,2021.23,199.82,29.76,10503.96,1,0,1,0,0,0,0
DE,2018-2019,29,17,Appoquinimink School District,Meredith (Everett) Middle School,1000080,1000080,8500250700000.0,100008000014,895.0,06-08,3.0,895,September Count Day,12115.5099999999,177.6,12293.11,10843381.45,158952,11002333.45,12341.9480931342,2016.55,1980.62,141.67,35.93,10134.89,1,0,1,0,0,0,0
DE,2018-2019,29,18,Appoquinimink School District,Middletown High School,1000080,1000080,8500250700000.0,100008000024,1702.0,09-12,4.0,1702,September Count Day,12473.82,263.45,12737.27,21230441.64,448391.899999999,21678833.54,12786.1080931342,2271.31,2190.48,182.62,80.83,10283.34,1,0,1,0,0,0,0
DE,2018-2019,29,34,Appoquinimink School District,Odessa High School,1000080,1000080,8500250700000.0,100008000390,,,0.0,NRD,September Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
DE,2018-2019,29,32,Appoquinimink School District,Old State Elementary School,1000080,1000080,8500250700000.0,100008000347,687.0,01-05,2.0,687,September Count Day,14394.88,233.3,14628.18,9889282.55999999,160277.1,10049559.66,14677.0180931342,2192.79,2140.57,181.08,52.22,12254.31,1,0,1,0,0,0,0
DE,2018-2019,29,16,Appoquinimink School District,Redding (Louis L.) Middle School,1000080,1000080,8500250700000.0,100008000026,894.0,06-08,3.0,894,September Count Day,11591.82,202.15,11793.97,10363087.08,180722.1,10543809.18,11842.8080931342,1974.09,1927.15999999999,155.22,46.93,9664.66,1,0,1,0,0,0,0
DE,2018-2019,29,10,Appoquinimink School District,Silver Lake Elementary School,1000080,1000080,8500250700000.0,100008000027,559.0,01-05,2.0,559,September Count Day,12665.39,514.04,13179.43,7079953.01,287348.36,7367301.37,13228.2680931342,2225.21,1934.42,223.25,290.79,10730.97,1,0,1,0,0,0,0
DE,2018-2019,29,29,Appoquinimink School District,Spring Meadow Early Childhood Center,1000080,1000080,8500250700000.0,100008000348,221.0,KG-KG,1.0,221,September Count Day,14749.24,379.62,15128.86,3259582.04,83896.02,3343478.06,15177.6980931342,1768.49,1610.59,221.72,157.9,13138.65,1,0,1,0,0,0,0
DE,2018-2019,29,27,Appoquinimink School District,Townsend Early Childhood Center,1000080,1000080,8500250700000.0,100008000314,222.0,KG-KG,1.0,222,September Count Day,14665.66,394.57,15060.23,3255776.52,87594.54,3343371.06,15109.0680931342,2221.06999999999,2021.40999999999,194.91,199.66,12644.25,1,0,1,0,0,0,0
DE,2018-2019,29,14,Appoquinimink School District,Townsend Elementary School,1000080,1000080,8500250700000.0,100008000028,558.0,01-05,2.0,558,September Count Day,11815.2799999999,315.11,12130.39,6592926.23999999,175831.38,6768757.62,12179.2280931342,2035.16999999999,1931.32,211.26,103.85,9883.96,1,0,1,0,0,0,0
