state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_FL,enrollmetric,pp_stloc_raw_FL,pp_fed_raw_FL,pp_total_raw_FL,pp_site_stloc_raw_FL,pp_site_fed_raw_FL,pp_site_raw_FL,pp_centshare_stloc_raw_FL,pp_centshare_fed_raw_FL,pp_centshare_raw_FL,schoolstloc_raw_FL,schoolfed_raw_FL,schooltot_raw_FL,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
FL,2018-2019,1,221,ALACHUA,A. L. MEBANE MIDDLE SCHOOL,1200030,1200030,10500100100000.0,120003000018,363.0,06-08,3.0,363,October Count Day,8153,383,8535,7860,326,8186,293,57,350,2959539,139029,3098205,9795.0,1,0,0,0,0,0,0
FL,2018-2019,1,52,ALACHUA,A.QUINN JONES CENTER,1200030,1200030,10500100100000.0,120003000004,83.0,06-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
FL,2018-2019,1,112,ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,1200030,1200030,10500100100000.0,120003000010,647.0,06-08,3.0,647,October Count Day,7775,305,8079,7455,243,7697,320,62,382,5030425,197335,5227113,9339.0,1,0,0,0,0,0,0
FL,2018-2019,1,602,ALACHUA,ALACHUA ACADEMY,1200030,1200030,10500100100000.0,120003003281,25.0,06-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
FL,2018-2019,1,701,ALACHUA,ALACHUA COUNTY JAIL,1200030,1200030,10500100100000.0,120003007045,0.0,06-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
FL,2018-2019,1,161,ALACHUA,ALACHUA ELEMENTARY SCHOOL,1200030,1200030,10500100100000.0,120003000014,334.0,03-05,2.0,334,October Count Day,10466,1176,11641,10060,1097,11157,406,79,484,3495644,392784,3888094,12901.0,1,0,0,0,0,0,0
FL,2018-2019,1,7004,ALACHUA,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),1200030,1200030,10500100100000.0,120003007945,120.0,06-12,4.0,120,October Count Day,7308,0,7308,7002,0,7002,306,0,306,876960,0,876960,8568.0,1,0,0,0,0,0,0
FL,2018-2019,1,957,ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY,1200030,1200030,10500100100000.0,120003003534,112.0,KG-05,2.0,112,October Count Day,6731,385,7116,6731,385,7116,0,0,0,753872,43120,796992,8376.0,1,0,0,0,0,0,0
FL,2018-2019,1,1011,ALACHUA,ALACHUA LEARNING ACADEMY MIDDLE,1200030,1200030,10500100100000.0,120003007954,52.0,06-08,3.0,52,October Count Day,7152,0,7152,7152,0,7152,0,0,0,371904,0,371904,8412.0,1,0,0,0,0,0,0
FL,2018-2019,1,9029,ALACHUA,ALACHUA REGIONAL JUVENILE DETENTION CENTER,1200030,1200030,10500100100000.0,120003002107,46.0,06-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
FL,2018-2019,1,7001,ALACHUA,ALACHUA VIRTUAL INSTRUCTION PROGRAM,1200030,1200030,10500100100000.0,120003007696,0.0,KG-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,0,1,0
FL,2018-2019,1,7023,ALACHUA,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),1200030,1200030,10500100100000.0,120003008285,40.0,PK-05,2.0,40,October Count Day,3983,0,3983,3788,0,3788,195,0,195,159320,0,159320,5243.0,1,0,0,0,0,0,0
