state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_GA,enrollmetric,pp_stloc_raw_GA,pp_fed_raw_GA,pp_total_raw_GA,pp_site_stloc_raw_GA,pp_site_fed_raw_GA,pp_site_raw_GA,pp_centshare_stloc_raw_GA,pp_centshare_fed_raw_GA,pp_centshare_raw_GA,schoolstloc_raw_GA,schoolfed_raw_GA,schooltot_raw_GA,pp_total_norm_NERDS,distexclu_raw_GA,disttotwexclu_raw_GA,schoolexclu_raw_GA,charter_fed_dist_raw_GA,charter_state_dist_raw_GA,note_raw_GA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
GA,2018-2019,601,1050,Appling County,Altamaha Elementary School,1300060,1300060,11500100100000.0,130006000011,428.0,PK-05,2.0,378,Four Quarter ADA,8784.3203125,730.460021972656,9514.7802734375,7722.72509765625,527.923522949219,8250.6484375,1061.59057617188,202.537963867188,1264.12841796875,3320471.25,276114.4375,3596585.75,11492.23557,7888954.5,40781776,705111.87,0,0,,1,0,0,1,0,0,0
GA,2018-2019,601,177,Appling County,Appling County Elementary School,1300060,1300060,11500100100000.0,130006000007,551.0,03-05,2.0,551,Four Quarter ADA,9327.98046875,846.400024414062,10174.3798828125,8266.0166015625,643.793151855469,8909.8095703125,1061.9638671875,202.609252929688,1264.57299804688,5139717,466367.75,5606085,12151.83518,7888954.5,40781776,193435.29000000004,0,0,,1,0,0,1,0,0,0
GA,2018-2019,601,103,Appling County,Appling County High School,1300060,1300060,11500100100000.0,130006000010,970.0,09-12,4.0,970,Four Quarter ADA,8806.7900390625,655.539978027344,9462.330078125,7745.8134765625,452.953521728516,8198.7666015625,1060.98107910156,202.584411621094,1263.5654296875,8542591,635871.8125,9178462,11439.78538,7888954.5,40781776,1331971.7,0,0,,1,0,0,1,0,0,0
GA,2018-2019,601,195,Appling County,Appling County Middle School,1300060,1300060,11500100100000.0,130006000009,795.0,06-08,3.0,795,Four Quarter ADA,7944.240234375,640.450012207031,8584.6904296875,6883.041015625,437.825134277344,7320.8662109375,1061.20068359375,202.626342773438,1263.82702636719,6315672,509158.90625,6824831,10562.14573,7888954.5,40781776,3140342.6199999996,0,0,,1,0,0,1,0,0,0
GA,2018-2019,601,277,Appling County,Appling County Primary School,1300060,1300060,11500100100000.0,130006000006,673.0,PK-02,2.0,516,Four Quarter ADA,10372,1423.06994628906,11795.0703125,9309.955078125,1220.44970703125,10530.4052734375,1062.04040527344,202.623870849609,1264.66430664062,5351950,734305.9375,6086255.5,13772.52561,7888954.5,40781776,1876485.4900000002,0,0,,1,0,0,1,0,0,0
GA,2018-2019,601,5050,Appling County,Fourth District Elementary School,1300060,1300060,11500100100000.0,130006000008,168.0,PK-05,2.0,152,Four Quarter ADA,9872.4599609375,657.830017089844,10530.2900390625,8810.8193359375,455.279083251953,9266.0986328125,1061.64038085938,202.547439575195,1264.18786621094,1500613.875,99989.6328125,1600603.5,12507.74534,7888954.5,40781776,641607.51,0,0,,1,0,0,1,0,0,0
GA,2018-2019,602,103,Atkinson County,Atkinson County High School,1300090,1300090,11500200100000.0,130009000015,478.0,09-12,4.0,478,Four Quarter ADA,8554.009765625,443.489990234375,8997.5,7627.34716796875,236.539688110352,7863.88671875,926.661682128906,206.947738647461,1133.60949707031,4088816.25,211986.984375,4300803,10774.65786,3256971.25,18928244,836088.73999999987,0,0,,1,0,0,1,0,0,0
GA,2018-2019,602,111,Atkinson County,Atkinson County Middle School,1300090,1300090,11500200100000.0,130009003996,374.0,06-08,3.0,374,Four Quarter ADA,7610.0400390625,936.690002441406,8546.73046875,6683.349609375,729.7353515625,7413.0849609375,926.689697265625,206.953979492188,1133.64367675781,2846154.75,350321.8125,3196476.5,10323.88832,3256971.25,18928244,137838.34,0,0,,1,0,0,1,0,0,0
GA,2018-2019,602,190,Atkinson County,Pearson Elementary School,1300090,1300090,11500200100000.0,130009000013,657.0,PK-05,2.0,569,Four Quarter ADA,9290.080078125,1231.93994140625,10522.01953125,8363.6572265625,1025.04614257812,9388.7041015625,926.420166015625,206.893783569336,1133.31396484375,5286054,700973.8125,5987028,12299.17739,3256971.25,18928244,1577633.0000000007,0,0,,1,0,0,1,0,0,0
GA,2018-2019,602,187,Atkinson County,Willacoochee Elementary School,1300090,1300090,11500200100000.0,130009001965,184.0,PK-05,2.0,162,Four Quarter ADA,11451.23046875,2048.55004882812,13499.7802734375,10525.037109375,1841.70324707031,12366.740234375,926.19580078125,206.843673706055,1133.03942871094,1855099.75,331864.59375,2186964.25,15276.93813,3256971.25,18928244,705411.17,0,0,,1,0,0,1,0,0,0
