state,year,distid_stateassigned,schoolid_stateassigned,distname,complexname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_HI,enrollmetric,pp_stloc_raw_HI,pp_fed_raw_HI,pp_total_raw_HI,pp_site_stloc_raw_HI,pp_site_fed_raw_HI,pp_site_raw_HI,pp_centshare_stloc_raw_HI,pp_centshare_fed_raw_HI,pp_centshare_raw_HI,schoolstloc_raw_HI,schoolfed_raw_HI,schooltot_raw_HI,pp_total_norm_NERDS,pp_fringebenefits_st_raw_HI,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
HI,2018-2019,1,200,Hawaii Department of Education,Aiea-Moanalua-Radford,Aiea Elem,1500030,1500030,12000000030000,150003000178,331.0,PK-06,2,326.0,October Count Day,16378.0,1366.0,17744.0,9334.0,587.0,9921.0,2524.0,779.0,3303.0,5339228.0,445316.0,5784544.0,17759.82667,4520,1,0,0,1,0,0,0
HI,2018-2019,1,202,Hawaii Department of Education,Aiea-Moanalua-Radford,Aiea High,1500030,1500030,12000000030000,150003000177,971.0,09-12,4,971.0,October Count Day,15125.0,1334.0,16459.0,8081.0,555.0,8636.0,2524.0,779.0,3303.0,14686375.0,1295314.0,15981689.0,16486.0266,4520,1,0,0,1,0,0,0
HI,2018-2019,1,201,Hawaii Department of Education,Aiea-Moanalua-Radford,Aiea Int,1500030,1500030,12000000030000,150003000176,602.0,07-08,3,602.0,October Count Day,15632.0,2151.0,17783.0,8588.0,1372.0,9960.0,2524.0,779.0,3303.0,9410464.0,1294902.0,10705366.0,17798.48675,4520,1,0,0,1,0,0,0
HI,2018-2019,1,203,Hawaii Department of Education,Aiea-Moanalua-Radford,Aliamanu Elem,1500030,1500030,12000000030000,150003000175,631.0,PK-06,2,614.0,October Count Day,15211.0,791.0,16002.0,8167.0,12.0,8179.0,2524.0,779.0,3303.0,9339554.0,485674.0,9825228.0,16033.00976,4520,1,0,0,1,0,0,0
HI,2018-2019,1,204,Hawaii Department of Education,Aiea-Moanalua-Radford,Aliamanu Middle,1500030,1500030,12000000030000,150003000174,749.0,07-08,3,749.0,October Count Day,14511.0,1360.0,15871.0,7467.0,581.0,8048.0,2524.0,779.0,3303.0,10868739.0,1018640.0,11887379.0,15903.15155,4520,1,0,0,1,0,0,0
HI,2018-2019,1,209,Hawaii Department of Education,Aiea-Moanalua-Radford,Hickam Elem,1500030,1500030,12000000030000,150003000170,594.0,PK-06,2,582.0,October Count Day,14115.0,1236.0,15351.0,7071.0,457.0,7528.0,2524.0,779.0,3303.0,8214930.0,719352.0,8934282.0,15387.68381,4520,1,0,0,1,0,0,0
HI,2018-2019,1,215,Hawaii Department of Education,Aiea-Moanalua-Radford,Makalapa Elem,1500030,1500030,12000000030000,150003000107,603.0,PK-06,2,582.0,October Count Day,15968.0,1624.0,17592.0,8924.0,845.0,9769.0,2524.0,779.0,3303.0,9293376.0,945168.0,10238544.0,17609.15149,4520,1,0,0,1,0,0,0
HI,2018-2019,1,217,Hawaii Department of Education,Aiea-Moanalua-Radford,Moanalua Elem,1500030,1500030,12000000030000,150003000104,647.0,PK-06,2,643.0,October Count Day,13660.0,1136.0,14796.0,6616.0,357.0,6973.0,2524.0,779.0,3303.0,8783380.0,730448.0,9513828.0,14837.52113,4520,1,0,0,1,0,0,0
HI,2018-2019,1,218,Hawaii Department of Education,Aiea-Moanalua-Radford,Moanalua High,1500030,1500030,12000000030000,150003000103,1976.0,09-12,4,1976.0,October Count Day,13692.0,1102.0,14794.0,6648.0,323.0,6971.0,2524.0,779.0,3303.0,27055392.0,2177552.0,29232944.0,14835.53856,4520,1,0,0,1,0,0,0
HI,2018-2019,1,219,Hawaii Department of Education,Aiea-Moanalua-Radford,Moanalua Middle,1500030,1500030,12000000030000,150003000156,853.0,07-08,3,853.0,October Count Day,13481.0,1108.0,14589.0,6437.0,329.0,6766.0,2524.0,779.0,3303.0,11499293.0,945124.0,12444417.0,14632.32532,4520,1,0,0,1,0,0,0
