state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IA,enrollmetric,pp_stloc_raw_IA,pp_fed_raw_IA,pp_total_raw_IA,schoolstloc_raw_IA,schoolfed_raw_IA,schooltot_raw_IA,pp_total_norm_NERDS,pppersonnel_raw_IA,ppnonpersonnel_raw_IA,schlevel_raw_IA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IA,2018-2019,18,409,Adair-Casey,Adair-Casey Elementary School,1903090.0,1903090.0,16503970100000.0,190309000006.0,148.0,PK-06,2.0,142.7,ADM,13251,1013,14264,1890917.7,144555.099999999,2035472.79999999,,9917,4347,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,18,209,Adair-Casey,Adair-Casey Jr. High School,1903090.0,1903090.0,16503970100000.0,190309002236.0,110.0,07-08,3.0,109.2,ADM,14879,293,15172,1624786.8,31995.6,1656782.4,,10648,4524,Public Junior High School,0,0,1,1,0,0,1
IA,2018-2019,27,409,Adel DeSoto Minburn,Adel Elementary School,1903150.0,1903150.0,16502500100000.0,190315000008.0,519.0,PK-02,2.0,491,ADM,11038,454,11492,5419658,222914,5642572,,8740,2752,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,27,412,Adel DeSoto Minburn,ADM Middle School,1903150.0,1903150.0,16502500100000.0,190315001986.0,442.0,06-08,3.0,439.1,ADM,10351,110,10461,4545124.1,48301,4593425.1,,7810,2650,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,27,172,Adel DeSoto Minburn,ADM Senior High School,1903150.0,1903150.0,16502500100000.0,190315000009.0,505.0,09-12,4.0,494,ADM,12789,279,13068,6317766,137826,6455592,,8948,4120,Public High School,0,0,1,1,0,0,1
IA,2018-2019,27,418,Adel DeSoto Minburn,DeSoto Intermediate School,1903150.0,1903150.0,16502500100000.0,190315000010.0,459.0,03-05,2.0,462.6,ADM,10171,359,10530,4705104.6,166073.4,4871178,,7946,2584,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,9,436,AGWSR,AGWSR Elementary at Wellsburg,1903060.0,1903060.0,16504200100000.0,190306002212.0,83.0,PK-02,2.0,68.2,ADM,11389,170,11559,776729.8,11594,788323.8,,7555,4003,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,9,409,AGWSR,AGWSR Elementary School,1903060.0,1903060.0,16504200100000.0,190306000003.0,212.0,KG-05,2.0,213.4,ADM,14087,626,14713,3006165.8,133588.4,3139754.2,,10719,3994,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,9,109,AGWSR,AGWSR High School,1903060.0,1903060.0,16504200100000.0,190306000004.0,156.0,09-12,4.0,154.2,ADM,19486,557,20043,3004741.19999999,85889.4,3090630.59999999,,13372,6671,Public High School,0,0,1,1,0,0,1
IA,2018-2019,9,172,AGWSR,AGWSR Middle School,1903060.0,1903060.0,16504200100000.0,190306000634.0,146.0,06-08,3.0,149.9,ADM,15786,170,15956,2366321.4,25483,2391804.4,,11503,4454,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,9,427,AGWSR,The Cougars Den,1903060.0,1903060.0,16504200100000.0,190306001383.0,59.0,PK-KG,1.0,10,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,0,0,1,1,0,1,1
IA,2018-2019,441,172,AHSTW,AHSTW High School,1904080.0,1904080.0,16507800100000.0,190408000102.0,224.0,09-12,4.0,225.1,ADM,16260,184,16444,3660126,41418.4,3701544.4,,10483,5961,Public High School,0,0,1,1,0,0,1
IA,2018-2019,441,209,AHSTW,AHSTW Intermediate School,1904080.0,1904080.0,16507800100000.0,190408002261.0,260.0,04-08,3.0,252.3,ADM,10621,184,10805,2679678.3,46423.2,2726101.5,,7292,3512,Public Middle School,0,0,1,1,0,0,1
IA,2018-2019,441,409,AHSTW,AHSTW Primary School,1904080.0,1904080.0,16507800100000.0,190408000101.0,257.0,PK-03,2.0,255.2,ADM,13882,598,14480,3542686.4,152609.6,3695296,,10525,3955,Public Elementary School,0,0,1,1,0,0,1
IA,2018-2019,63,409,Akron Westfield,Akron Westfield Elementary School,1903220.0,1903220.0,16507500100000.0,190322001937.0,277.0,KG-05,2.0,273.3,ADM,11013,649,11662,3009852.9,177371.7,3187224.6,10753.25039,8868,2794,Public Elementary School,0,0,1,1,0,0,0
IA,2018-2019,63,418,Akron Westfield,Akron Westfield Middle School,1903220.0,1903220.0,16507500100000.0,190322001938.0,148.0,06-08,3.0,147.6,ADM,11350,186,11536,1675260,27453.6,1702713.59999999,10627.25039,8809,2726,Public Middle School,0,0,1,1,0,0,0
IA,2018-2019,63,172,Akron Westfield,Akron Westfield Senior High School,1903220.0,1903220.0,16507500100000.0,190322001939.0,179.0,09-12,4.0,175.2,ADM,15711,178,15889,2752567.19999999,31185.6,2783752.8,14980.25039,10748,5141,Public High School,0,0,1,1,0,0,0
IA,2018-2019,72,409,Albert City-Truesdale,Albert City-Truesdale Elementary School,1900031.0,1900031.0,16501100100000.0,190003101300.0,111.0,PK-06,2.0,107.9,ADM,20052,963,21015,2163610.8,103907.7,2267518.5,,12085,8931,Public Elementary School,0,0,1,1,0,1,1
IA,2018-2019,81,109,Albia,Albia High School,1903270.0,1903270.0,16506800100000.0,190327000017.0,361.0,09-12,4.0,351.2,ADM,13050,266,13316,4583160,93419.2,4676579.2,12345.69199,9782,3534,Public High School,0,0,1,1,0,0,0
IA,2018-2019,81,209,Albia,Albia Middle School,1903270.0,1903270.0,16506800100000.0,190327001406.0,190.0,07-08,3.0,189.7,ADM,8606,239,8845,1632558.2,45338.2999999999,1677896.5,7874.691987,7085,1760,Public Middle School,0,0,1,1,0,0,0
IA,2018-2019,81,409,Albia,Grant Center,1903270.0,1903270.0,16506800100000.0,190327000019.0,231.0,KG-02,2.0,226,ADM,11297,1337,12634,2553122,302162,2855284,11663.69199,10825,1808,Public Elementary School,0,0,1,1,0,0,0
IA,2018-2019,81,454,Albia,Kendall Center,1903270.0,1903270.0,16506800100000.0,190327000021.0,59.0,PK-PK,1.0,24.9,ADM,14074,235,14309,350442.6,5851.5,356294.1,13338.69199,12488,1821,Public Elementary School,0,0,1,1,0,1,0
IA,2018-2019,81,427,Albia,Lincoln Center,1903270.0,1903270.0,16506800100000.0,190327000018.0,357.0,03-06,2.0,348.2,ADM,10772,464,11236,3750810.4,161564.8,3912375.19999999,10265.69199,8982,2255,Public Elementary School,0,0,1,1,0,0,0
