state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ID,enrollmetric,pp_stloc_raw_ID,pp_fed_raw_ID,pp_total_raw_ID,pp_site_stloc_raw_ID,pp_site_fed_raw_ID,pp_site_raw_ID,pp_centshare_stloc_raw_ID,pp_centshare_fed_raw_ID,pp_centshare_raw_ID,schoolstloc_raw_ID,schoolfed_raw_ID,schooltot_raw_ID,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ID,2018-2019,58,298,ABERDEEN DISTRICT,ABERDEEN ELEMENTARY SCHOOL,1600030,1600030,13500600100000.0,160003000828,353.0,PK-05,2.0,330,Fall Enrollment,7894,1147,9042,4072,14,4087,3822,1133,4955,2605020,378510,2983860,9091.74328,1,0,0,1,0,0,0
ID,2018-2019,58,36,ABERDEEN DISTRICT,ABERDEEN HIGH SCHOOL,1600030,1600030,13500600100000.0,160003000002,207.0,09-12,4.0,205,Fall Enrollment,8955,1133,10088,5133,0,5133,3822,1133,4955,1835775,232265,2068040,10137.74328,1,0,0,1,0,0,0
ID,2018-2019,58,299,ABERDEEN DISTRICT,ABERDEEN MIDDLE SCHOOL,1600030,1600030,13500600100000.0,160003000829,184.0,06-08,3.0,181,Fall Enrollment,7677,1434,9111,3855,301,4156,3822,1133,4955,1389537,259554,1649091,9160.74328,1,0,0,1,0,0,0
ID,2018-2019,381,261,AMERICAN FALLS JOINT DISTRICT,AMERICAN FALLS ACADEMY,1600060,1600060,13503900100000.0,160006000768,29.0,06-12,4.0,NRD,Fall Enrollment,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,1,0,1,0
ID,2018-2019,381,168,AMERICAN FALLS JOINT DISTRICT,AMERICAN FALLS HIGH SCHOOL,1600060,1600060,13503900100000.0,160006000003,401.0,09-12,4.0,428,Fall Enrollment,8182,1648,9830,359,455,814,7823,1193,9016,3501896,705344,4207240,10273.22018,1,0,0,1,0,1,0
ID,2018-2019,381,808,AMERICAN FALLS JOINT DISTRICT,HILLCREST ELEMENTARY SCHOOL,1600060,1600060,13503900100000.0,160006000005,450.0,PK-02,2.0,452,Fall Enrollment,7929,1539,9468,106,346,452,7823,1193,9016,3583908,695628,4279536,9911.220176,1,0,0,1,0,1,0
ID,2018-2019,381,849,AMERICAN FALLS JOINT DISTRICT,J.R. SIMPLOT ELEMENTARY SCHOOL,1600060,1600060,13503900100000.0,160006000816,234.0,03-05,2.0,239,Fall Enrollment,7947,1549,9496,124,356,480,7823,1193,9016,1899333,370211,2269544,9939.220176,1,0,0,1,0,1,0
ID,2018-2019,381,167,AMERICAN FALLS JOINT DISTRICT,WILLIAM THOMAS MIDDLE SCHOOL,1600060,1600060,13503900100000.0,160006000589,358.0,06-08,3.0,341,Fall Enrollment,7971,1662,9633,148,469,617,7823,1193,9016,2718111,566742,3284853,10076.22018,1,0,0,1,0,1,0
ID,2018-2019,482,1346,"AMERICAN HERITAGE CHARTER SCHOOL, INC. (LEA)",AMERICAN HERITAGE CHARTER SCHOOL,1600162,1600162,,160016201044,363.0,KG-12,4.0,362,Fall Enrollment,6248,1166,7414,6248,1166,7414,0,0,0,2261776,422092,2683868,6998.385675,1,0,0,1,0,0,0
ID,2018-2019,476,1247,"ANOTHER CHOICE VIRTUAL CHARTER SCHOOL, INC.",ANOTHER CHOICE VIRTUAL CHARTER,1600155,1600155,,160015501008,541.0,PK-12,4.0,512,Fall Enrollment,6749,2112,8860,6749,2112,8860,0,0,0,3455488,1081344,4536320,8524.842884,1,0,0,1,0,0,0
ID,2018-2019,383,810,ARBON ELEMENTARY DISTRICT,ARBON ELEMENTARY SCHOOL,1600090,1600090,13503900200000.0,160009000006,17.0,KG-06,2.0,16,Fall Enrollment,19517,1465,20982,19517,1465,20982,0,0,0,312272,23440,335712,20587.17647,1,0,0,1,0,0,0
ID,2018-2019,394,820,AVERY ELEMENTARY DISTRICT,CALDER SCHOOL,1600150,1600150,13504000100000.0,160015001010,18.0,KG-08,3.0,20,Fall Enrollment,22549,1296,23845,22549,1296,23845,0,0,0,450980,25920,476900,,1,0,0,1,0,0,0
ID,2018-2019,72,159,BASIN SCHOOL DISTRICT,BASIN ELEMENTARY SCHOOL,1600180,1600180,13500800200000.0,160018000334,154.0,PK-06,2.0,146,Fall Enrollment,11056,1252,12308,5625,336,5961,5431,916,6347,1614176,182792,1796968,12274.01183,1,0,0,1,0,0,0
ID,2018-2019,72,183,BASIN SCHOOL DISTRICT,IDAHO CITY HIGH SCHOOL,1600180,1600180,13500800200000.0,160018000350,184.0,07-12,4.0,178,Fall Enrollment,9863,977,10840,4432,61,4493,5431,916,6347,1755614,173906,1929520,10806.01183,1,0,0,1,0,0,0
ID,2018-2019,33,370,BEAR LAKE COUNTY DISTRICT,A J WINTERS ELEMENTARY SCHOOL,1600240,1600240,13500400100000.0,160024000016,314.0,PK-05,2.0,319,Fall Enrollment,5924,1155,7079,5924,1155,7079,0,0,0,1889756,368445,2258201,6870.625103,1,0,0,1,0,0,0
ID,2018-2019,33,27,BEAR LAKE COUNTY DISTRICT,BEAR LAKE HIGH SCHOOL,1600240,1600240,13500400100000.0,160024000018,312.0,09-12,4.0,301,Fall Enrollment,7800,589,8389,7800,589,8389,0,0,0,2347800,177289,2525089,8180.625103,1,0,0,1,0,0,0
ID,2018-2019,33,26,BEAR LAKE COUNTY DISTRICT,BEAR LAKE MIDDLE SCHOOL,1600240,1600240,13500400100000.0,160024000017,278.0,06-08,3.0,267,Fall Enrollment,8403,873,9276,8403,873,9276,0,0,0,2243601,233091,2476692,9067.625103,1,0,0,1,0,0,0
ID,2018-2019,33,404,BEAR LAKE COUNTY DISTRICT,CLOVER CREEK HIGH SCHOOL,1600240,1600240,13500400100000.0,160024000827,14.0,09-12,4.0,14,Fall Enrollment,4496,467,4964,4496,467,4964,0,0,0,62944,6538,69496,4755.625103,1,0,0,1,0,0,0
ID,2018-2019,33,371,BEAR LAKE COUNTY DISTRICT,GEORGETOWN ELEMENTARY SCHOOL,1600240,1600240,13500400100000.0,160024000021,117.0,PK-05,2.0,112,Fall Enrollment,4753,1039,5792,4753,1039,5792,0,0,0,532336,116368,648704,5583.625103,1,0,0,1,0,0,0
ID,2018-2019,33,372,BEAR LAKE COUNTY DISTRICT,PARIS ELEMENTARY SCHOOL,1600240,1600240,13500400100000.0,160024000019,176.0,PK-05,2.0,154,Fall Enrollment,8081,1460,9540,8081,1460,9540,0,0,0,1244474,224840,1469160,9331.625103,1,0,0,1,0,0,0
ID,2018-2019,477,1294,"BLACKFOOT CHARTER COMMUNITY LEARNING CENTER, INC.",Blackfoot Charter Community,1600153,1600153,,160015300796,645.0,PK-08,3.0,621,Fall Enrollment,5002,430,5432,5002,430,5432,0,0,0,3106242,267030,3373272,5368.012403,1,0,0,1,0,0,0
ID,2018-2019,55,381,BLACKFOOT DISTRICT,BLACKFOOT HERITAGE SIXTH GRADE,1600270,1600270,13500600200000.0,160027000030,285.0,06-06,2.0,277,Fall Enrollment,6296,1472,7769,4126,887,5013,2170,585,2756,1743992,407744,2152013,7369.371598,1,0,0,1,0,0,0
ID,2018-2019,55,34,BLACKFOOT DISTRICT,BLACKFOOT HIGH SCHOOL,1600270,1600270,13500600200000.0,160027000022,1147.0,09-12,4.0,1091,Fall Enrollment,7288,876,8165,5118,291,5409,2170,585,2756,7951208,955716,8908015,7765.371598,1,0,0,1,0,0,0
ID,2018-2019,55,382,BLACKFOOT DISTRICT,DONALD D STALKER ELEMENTARY,1600270,1600270,13500600200000.0,160027000031,272.0,PK-05,2.0,278,Fall Enrollment,6713,1098,7812,4543,513,5056,2170,585,2756,1866214,305244,2171736,7412.371598,1,0,0,1,0,0,0
ID,2018-2019,55,387,BLACKFOOT DISTRICT,FORT HALL ELEMENTARY SCHOOL,1600270,1600270,13500600200000.0,160027000026,149.0,PK-05,2.0,138,Fall Enrollment,6484,4553,11038,4314,3968,8282,2170,585,2756,894792,628314,1523244,10638.3716,1,0,0,1,0,0,0
ID,2018-2019,55,386,BLACKFOOT DISTRICT,GROVELAND ELEMENTARY SCHOOL,1600270,1600270,13500600200000.0,160027000027,204.0,PK-05,2.0,204,Fall Enrollment,8124,1147,9272,5954,562,6516,2170,585,2756,1657296,233988,1891488,8872.371598,1,0,0,1,0,0,0
ID,2018-2019,55,388,BLACKFOOT DISTRICT,I T STODDARD ELEMENTARY SCHOOL,1600270,1600270,13500600200000.0,160027000028,411.0,PK-05,2.0,394,Fall Enrollment,6301,900,7202,4131,315,4446,2170,585,2756,2482594,354600,2837588,6802.371598,1,0,0,1,0,0,0
