state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,9545,4164,21st Century Charter Sch of Gary,21st Century Charter Sch of Gary,1800046,1800046,,180004602162.0,883.0,KG-12,4.0,883,October Count Day,8176.88,1859.33,10036.21,7220185.04,1641788.39,8861973.43,10448.47112,7916.94,0,3.63,2115.64,0,7920.57,2115.63999999999,1,0,1,1,0,0,0
IN,2018-2019,9970,1111,ACE Preparatory Academy,ACE Preparatory Academy,1800172,1800172,,180017202604.0,89.0,KG-04,2.0,89,October Count Day,8627.24,1123.35,9750.6,767824.36,99978.15,867803.4,10393.25843,8224.11,0,0,1526.49,0,8224.11,1526.48999999999,1,0,1,1,0,0,0
IN,2018-2019,15,0020,Adams Central Community Schools,Adams Central Elementary School,1800060,1800060,15500100100000.0,180006000006.0,631.0,PK-05,2.0,631,October Count Day,7013.27,1147.43,8160.7,4425373.37,724028.33,5149401.7,9279.717226,5522.83,0,637.28,12.07,1988.52,6160.11,2000.59,1,0,1,1,0,0,0
IN,2018-2019,15,0021,Adams Central Community Schools,Adams Central High School,1800060,1800060,15500100100000.0,180006000007.0,374.0,09-12,4.0,374,October Count Day,7862.35,135.02,7997.38,2940518.9,50497.48,2991020.12,9116.397226,5371.58,0,637.28,0,1988.52,6008.86,1988.52,1,0,1,1,0,0,0
IN,2018-2019,15,0013,Adams Central Community Schools,Adams Central Middle School,1800060,1800060,15500100100000.0,180006000008.0,289.0,06-08,3.0,289,October Count Day,7854.61,448.4,8303.01,2269982.29,129587.599999999,2399569.89,9422.027226,5677.21,0,637.28,0,1988.52,6314.49,1988.52,1,0,1,1,0,0,0
IN,2018-2019,5265,5069,Alexandria Community School Corp,Alexandria-Monroe Elementary,1800120,1800120,15504800200000.0,180012000009.0,369.0,PK-02,2.0,369,October Count Day,6821.21,1740.12,8561.33,2517026.49,642104.279999999,3159130.77,9587.748357,5242.47,0,1357.77,524.49,1436.59,6600.24,1961.09,1,0,1,1,0,0,0
IN,2018-2019,5265,5041,Alexandria Community School Corp,Alexandria-Monroe High School,1800120,1800120,15504800200000.0,180012000011.0,713.0,07-12,4.0,713,October Count Day,8290.44,1066.22,9356.66,5911083.72,760214.86,6671298.58,10383.07836,5937.9,0,1357.77,624.4,1436.59,7295.67,2060.99,1,0,1,1,0,0,0
IN,2018-2019,5265,5065,Alexandria Community School Corp,Alexandria-Monroe Intermediate,1800120,1800120,15504800200000.0,180012000010.0,458.0,03-06,2.0,458,October Count Day,7724.48,1017.63,8742.11,3537811.84,466074.54,4003886.38,9768.528357,5253.95,0,1357.77,693.8,1436.59,6611.71999999999,2130.39,1,0,1,1,0,0,0
IN,2018-2019,9065,1002,Allegiant Preparatory Academy,Allegiant Preparatory Academy,1800199,1800199,,180019902648.0,37.0,KG-02,2.0,37,October Count Day,16469.92,2505.36,18975.28,609387.039999999,92698.32,702085.36,19945.94595,16402.47,0,0,2572.81,0,16402.47,2572.80999999999,1,0,1,1,0,0,0
IN,2018-2019,5275,5142,Anderson Community School Corp,Anderson Elementary School,1800150,1800150,15504800300000.0,180015001847.0,583.0,KG-04,2.0,583,October Count Day,9323.31,1174.67,10497.99,5435489.72999999,684832.61,6120328.17,12198.21167,6709.68,0,1160.3,297.65,2330.35,7869.98,2628.00999999999,1,0,1,1,0,0,0
