state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_KS,enrollmetric,pp_stloc_raw_KS,pp_fed_raw_KS,pp_total_raw_KS,schoolstloc_raw_KS,schoolfed_raw_KS,schooltot_raw_KS,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
KS,2018-2019,D0435,6476,Abilene,Abilene High School,2003180,2003180,17502100100000.0,200318001063,502.0,09-12,4.0,503.7,September Count Day,9496,718,10213,4782949,361508,5144457,10233.70243,1,0,1,0,1,0,0
KS,2018-2019,D0435,6475,Abilene,Abilene Middle School,2003180,2003180,17502100100000.0,200318001062,372.0,06-08,3.0,372,September Count Day,9023,822,9845,3356602,305630,3662232,9877.858081,1,0,1,0,1,0,0
KS,2018-2019,D0435,6464,Abilene,Dwight D. Eisenhower Elementary,2003180,2003180,17502100100000.0,200318001059,233.0,04-05,2.0,214.2,September Count Day,9456,1260,10716,2025513,269870,2295383,10720.0875,1,0,1,0,1,0,0
KS,2018-2019,D0435,6466,Abilene,Kennedy Elem,2003180,2003180,17502100100000.0,200318001060,236.0,PK-01,1.0,195.4,September Count Day,9497,1378,10875,1855716,269288,2125004,10873.83547,1,0,1,0,1,0,0
KS,2018-2019,D0435,6470,Abilene,McKinley Elem,2003180,2003180,17502100100000.0,200318001061,222.0,02-03,2.0,205.4,September Count Day,10243,1088,11331,2103976,223415,2327391,11314.77303,1,0,1,0,1,0,0
KS,2018-2019,D0387,5215,Altoona-Midway,Altoona-Midway Elementary,2004170,2004170,17510303300000.0,200417001898,81.0,PK-04,2.0,62,September Count Day,17968,2661,20629,1114000,165000,1279000,21173.35631,1,0,1,0,1,0,0
KS,2018-2019,D0387,5223,Altoona-Midway,Altoona-Midway Middle/High School,2004170,2004170,17510303300000.0,200417001872,110.0,05-12,4.0,110,September Count Day,13608,2300,15908,1496881,253000,1749881,16608.2988,1,0,1,0,1,0,0
KS,2018-2019,D0385,5186,Andover,Andover Central High School,2003360,2003360,17500800100000.0,200336001567,813.0,09-12,4.0,806,September Count Day,7932,311,8242,6392925,250418,6643343,8433.316322,1,0,1,0,1,0,0
KS,2018-2019,D0385,5185,Andover,Andover Central Middle School,2003360,2003360,17500800100000.0,200336001564,626.0,06-08,3.0,628.8,September Count Day,7340,423,7763,4615664,265947,4881611,7970.13849,1,0,1,0,1,0,0
KS,2018-2019,D0385,5204,Andover,Andover eCademy,2003360,2003360,17500800100000.0,200336002040,3268.0,KG-12,4.0,890.1,September Count Day,3201,101,3302,2849145,89975,2939120,3656.492747,1,0,1,0,1,0,0
KS,2018-2019,D0385,5180,Andover,Andover High,2003360,2003360,17500800100000.0,200336000860,829.0,09-12,4.0,825.8,September Count Day,7855,362,8217,6486411,298873,6785284,8409.142114,1,0,1,0,1,0,0
KS,2018-2019,D0385,5179,Andover,Andover Middle School,2003360,2003360,17500800100000.0,200336000859,730.0,06-08,3.0,729.1,September Count Day,7038,374,7411,5131113,272320,5403433,7629.765636,1,0,1,0,1,0,0
KS,2018-2019,D0385,5177,Andover,Cottonwood Elementary,2003360,2003360,17500800100000.0,200336001610,436.0,KG-05,2.0,436,September Count Day,7736,789,8525,3372823,344138,3716961,8706.968361,1,0,1,0,1,0,0
KS,2018-2019,D0385,5182,Andover,Meadowlark Elementary,2003360,2003360,17500800100000.0,200336001183,305.0,KG-05,2.0,305,September Count Day,9649,439,10087,2942882,133768,3076650,10217.3729,1,0,1,0,1,0,0
KS,2018-2019,D0385,5183,Andover,Prairie Creek Elementary,2003360,2003360,17500800100000.0,200336001940,404.0,PK-05,2.0,329.2,September Count Day,8661,948,9608,2851122,311983,3163105,9754.195068,1,0,1,0,1,0,0
KS,2018-2019,D0385,5181,Andover,Robert M. Martin Elementary,2003360,2003360,17500800100000.0,200336001171,544.0,PK-05,2.0,477.2,September Count Day,8501,384,8885,4056691,183303,4239994,9055.076962,1,0,1,0,1,0,0
KS,2018-2019,D0385,5184,Andover,Sunflower Elementary School,2003360,2003360,17500800100000.0,200336001727,417.0,PK-05,2.0,415,September Count Day,7545,334,7880,3131340,138794,3270134,8083.273785,1,0,1,0,1,0,0
KS,2018-2019,D0385,5187,Andover,Wheatland Elementary,2003360,2003360,17500800100000.0,200336001913,453.0,KG-05,2.0,453,September Count Day,6113,279,6392,2769277,126395,2895672,6644.424902,1,0,1,0,1,0,0
KS,2018-2019,D0359,4404,Argonia Public Schools,Argonia Elem,2003430,2003430,17509600300000.0,200343000740,92.0,PK-05,2.0,87.5,September Count Day,12357,863,13221,1081267,75536,1156803,14005.85728,1,0,1,0,1,0,0
KS,2018-2019,D0359,4406,Argonia Public Schools,Argonia High,2003430,2003430,17509600300000.0,200343000742,86.0,06-12,4.0,86,September Count Day,16511,505,17015,1419919,43411,1463330,17674.53515,1,0,1,0,1,0,0
KS,2018-2019,D0470,7440,Arkansas City,Adams Elem,2003450,2003450,17501805100000.0,200345001232,280.0,PK-05,2.0,260,September Count Day,9137,701,9838,2375561,182237,2557798,10469.04662,1,0,1,0,1,0,0
KS,2018-2019,D0470,7456,Arkansas City,Arkansas City High,2003450,2003450,17501805100000.0,200345001241,782.0,09-12,4.0,781.2,September Count Day,10477,109,10586,8184809,85309,8270118,11192.33894,1,0,1,0,1,0,0
KS,2018-2019,D0470,7454,Arkansas City,Arkansas City Middle Sch,2003450,2003450,17501805100000.0,200345001240,641.0,06-08,3.0,640,September Count Day,9793,80,9873,6267270,51273,6318543,10502.89051,1,0,1,0,1,0,0
KS,2018-2019,D0470,7458,Arkansas City,C 4 Elem,2003450,2003450,17501805100000.0,200345001242,143.0,PK-05,2.0,139.2,September Count Day,10131,249,10380,1410239,34661,1444900,10993.14346,1,0,1,0,1,0,0
KS,2018-2019,D0470,7442,Arkansas City,Frances Willard Elem,2003450,2003450,17501805100000.0,200345001233,260.0,PK-05,2.0,245.7,September Count Day,8312,698,9009,2042143,171484,2213627,9667.429873,1,0,1,0,1,0,0
KS,2018-2019,D0470,7466,Arkansas City,I X L Elem,2003450,2003450,17501805100000.0,200345001243,259.0,PK-05,2.0,241.5,September Count Day,8991,618,9609,2171365,149219,2320584,10247.61087,1,0,1,0,1,0,0
KS,2018-2019,D0470,7443,Arkansas City,Jefferson Elem,2003450,2003450,17501805100000.0,200345001234,295.0,PK-05,2.0,282,September Count Day,8285,559,8844,2336327,157752,2494079,9507.880098,1,0,1,0,1,0,0
KS,2018-2019,D0470,7448,Arkansas City,Roosevelt Elem,2003450,2003450,17501805100000.0,200345001237,236.0,PK-05,2.0,227,September Count Day,9013,591,9604,2045961,134203,2180164,10242.77603,1,0,1,0,1,0,0
KS,2018-2019,D0220,552,Ashland,Ashland Elem,2003510,2003510,17501300100000.0,200351000084,127.0,PK-06,2.0,117.8,September Count Day,15824,390,16214,1864067,45942,1910009,15135.13476,1,0,1,0,1,0,0
KS,2018-2019,D0220,554,Ashland,Ashland High,2003510,2003510,17501300100000.0,200351000086,60.0,09-12,4.0,60,September Count Day,15824,390,16214,949440,23400,972840,15135.13476,1,0,1,0,1,0,0
KS,2018-2019,D0220,553,Ashland,Ashland Junior High School,2003510,2003510,17501300100000.0,200351001650,31.0,07-08,3.0,31,September Count Day,15824,390,16214,490544,12090,502634,15135.13476,1,0,1,0,1,0,0
KS,2018-2019,D0377,4889,Atchison Co Comm Schools,Atchison County Community Elementary School,2005700,2005700,17500300300000.0,200570001962,252.0,PK-06,2.0,231,September Count Day,12698,1022,13720,2933157,236112,3169269,14237.43688,1,0,1,0,1,0,0
KS,2018-2019,D0377,4891,Atchison Co Comm Schools,Atchison County Community JR/SR High,2005700,2005700,17500300300000.0,200570001957,253.0,07-12,4.0,252,September Count Day,12487,612,13098,3146603,154215,3300818,13635.98258,1,0,1,0,1,0,0
KS,2018-2019,D0409,5761,Atchison Public Schools,Atchison Elementary School,2003540,2003540,17500300200000.0,200354001126,820.0,PK-05,2.0,782.1,September Count Day,9553,1178,10731,7471067,921487,8392554,10812.56272,1,0,1,0,1,0,0
KS,2018-2019,D0409,5770,Atchison Public Schools,Atchison High  School,2003540,2003540,17500300200000.0,200354000956,463.0,09-12,4.0,461,September Count Day,10397,40,10437,4792880,18664,4811544,10528.27403,1,0,1,0,1,0,0
KS,2018-2019,D0409,5776,Atchison Public Schools,Atchison Middle School,2003540,2003540,17500300200000.0,200354000958,373.0,06-08,3.0,372.1,September Count Day,11451,75,11526,4261058,27827,4288885,11581.30255,1,0,1,0,1,0,0
KS,2018-2019,D0409,5775,Atchison Public Schools,Central School,2003540,2003540,17500300200000.0,200354001868,35.0,01-12,4.0,35,September Count Day,32757,0,32757,1146511,0,1146511,32111.00727,1,0,1,0,1,1,0
KS,2018-2019,D0511,8764,Attica,Attica High,2003570,2003570,17503900400000.0,200357001514,47.0,09-12,4.0,47,September Count Day,14953,710,15663,702813,33350,736163,15601.69894,1,0,1,0,1,0,0
KS,2018-2019,D0511,8762,Attica,Puls Elem,2003570,2003570,17503900400000.0,200357001513,129.0,PK-08,3.0,113.5,September Count Day,15032,719,15752,1706176,81650,1787826,15687.75912,1,0,1,0,1,0,0
