state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_KY,enrollmetric,pp_stloc_raw_KY,pp_fed_raw_KY,pp_total_raw_KY,schoolstloc_raw_KY,schoolfed_raw_KY,schooltot_raw_KY,pp_total_norm_NERDS,pp_total_operational_KY,ppperstloc_raw_KY,ppperfed_raw_KY,ppnonperstloc_raw_KY,ppnonperfed_raw_KY,pppersonnel_raw_KY,ppnonpersonnel_raw_KY,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
KY,2018-2019,1001,16,Adair County,Adair County Elementary School,2100030,2100030,18500100100000.0,210003002021,612.0,03-05,2.0,624,October Count Day,9253,1042,11220,5773872,650208,7001280,9244.28254857543,10295,7738,872,1515,171,8610,1686,1,0,1,0,0,1,0
KY,2018-2019,1001,10,Adair County,Adair County High School,2100030,2100030,18500100100000.0,210003000001,788.0,09-12,4.0,779,October Count Day,9929,1098,11951,7734691,855342,9309829,9976.28254857543,11027,8213,933,1716,165,9146,1881,1,0,1,0,0,1,0
KY,2018-2019,1001,14,Adair County,Adair County Middle School,2100030,2100030,18500100100000.0,210003001919,598.0,06-08,3.0,608,October Count Day,9210,937,11071,5599680,569696,6731168,9096.28254857543,10147,7816,774,1394,163,8590,1557,1,0,1,0,0,1,0
KY,2018-2019,1001,20,Adair County,Adair County Primary Center,2100030,2100030,18500100100000.0,210003002345,598.0,PK-02,2.0,538,October Count Day,10528,1135,12590,5664064,610630,6773420,10612.2825485754,11663,9109,941,1419,194,10050,1613,1,0,1,0,0,1,0
KY,2018-2019,1001,12,Adair County,Adair Learning Academy,2100030,2100030,18500100100000.0,210003001913,39.0,05-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
KY,2018-2019,2005,901,Allen County,Allen County Career and Technical Center,2100070,2100070,18500200100000.0,210007002061,,UG-UG,0.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,1
KY,2018-2019,2005,60,Allen County,Allen County Intermediate Center,2100070,2100070,18500200100000.0,210007000013,717.0,04-06,2.0,707,October Count Day,18410,1424,20007,13015870,1006768,14144949,,19834,15608,1165,2802,259,16773,3061,1,0,1,0,0,1,1
KY,2018-2019,2005,10,Allen County,Allen County Primary Center,2100070,2100070,18500200100000.0,210007000008,1002.0,PK-03,2.0,909,October Count Day,18071,1388,19699,16426539,1261692,17906391,,19459,15483,1171,2588,217,16654,2805,1,0,1,0,0,1,1
KY,2018-2019,2005,20,Allen County,Allen County-Scottsville High School,2100070,2100070,18500200100000.0,210007000010,881.0,09-12,4.0,858,October Count Day,20633,1280,22190,17703114,1098240,19039020,,21913,16888,965,3746,315,17853,4061,1,0,1,0,0,1,1
KY,2018-2019,2005,15,Allen County,James E Bazzell Middle School,2100070,2100070,18500200100000.0,210007000009,471.0,07-08,3.0,467,October Count Day,19832,1657,21763,9261544,773819,10163321,,21489,16747,1390,3086,267,18137,3353,1,0,1,0,0,1,1
KY,2018-2019,56006,10,Anchorage Independent,Anchorage Independent Public School,2100090,2100090,18505600100000.0,210009000014,371.0,PK-08,3.0,374,October Count Day,22096,337,22274,8263904,126038,8330476,21410.153638814,22433,16925,60,4676,276,16985,4952,1,0,1,0,0,0,0
KY,2018-2019,3011,20,Anderson County,Anderson County High School,2100120,2100120,18500300100000.0,210012000016,1044.0,09-12,4.0,1046,October Count Day,7887,286,8173,8249802,299156,8548958,8553.10394685669,8173,6990,245,897,41,7235,938,1,0,1,0,0,0,0
KY,2018-2019,3011,25,Anderson County,Anderson County Middle School,2100120,2100120,18500300100000.0,210012000017,887.0,06-08,3.0,867,October Count Day,6974,258,7232,6046458,223686,6270144,7612.10394685669,7232,6363,236,611,22,6599,633,1,0,1,0,0,0,0
KY,2018-2019,3011,30,Anderson County,APEX Academy,2100120,2100120,18500300100000.0,210012002371,50.0,06-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
KY,2018-2019,3011,110,Anderson County,Emma B. Ward Elementary School,2100120,2100120,18500300100000.0,210012000021,422.0,01-05,2.0,417,October Count Day,9714,691,10405,4050738,288147,4338885,10785.1039468566,10405,9068,649,646,42,9717,688,1,0,1,0,0,0,0
KY,2018-2019,3011,120,Anderson County,Ezra Sparrow Early Childhood Center,2100120,2100120,18500300100000.0,210012001298,370.0,PK-KG,1.0,196,October Count Day,16194,4495,20689,3174024,881020,4055044,21069.1039468566,20689,15190,2393,1004,2102,17583,3106,1,0,1,0,0,0,0
KY,2018-2019,3011,900,Anderson County,Kentucky TECH - Anderson County Tech Ctr,2100120,2100120,18500300100000.0,210012002086,,UG-UG,0.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,0,0,1,0
KY,2018-2019,3011,22,Anderson County,Robert B. Turner Elementary School,2100120,2100120,18500300100000.0,210012001955,526.0,KG-05,2.0,530,October Count Day,8077,549,8626,4280810,290970,4571780,9006.10394685669,8626,7485,515,592,34,8000,626,1,0,1,0,0,0,0
