state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_LA,enrollmetric,pp_stloc_raw_LA,pp_fed_raw_LA,pp_total_raw_LA,pp_site_stloc_raw_LA,pp_site_fed_raw_LA,pp_site_raw_LA,pp_centshare_stloc_raw_LA,pp_centshare_fed_raw_LA,pp_centshare_raw_LA,schoolstloc_raw_LA,schoolfed_raw_LA,schooltot_raw_LA,pp_total_norm_NERDS,percentsiteexp_raw_LA,percentcentexp_raw_LA,percentspendinstruction_raw_LA,percentspendinstrsupport_raw_LA,percentspendtransp_raw_LA,percentspendadmin_raw_LA,percentspendothersupport_raw_LA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
LA,2018-2019,322,322001,A.E. Phillips Laboratory School,A. E. Phillips Laboratory School,2200056,2200056,,220005600750.0,414.0,KG-08,3.0,413,ADM,8607,740,9347,6304,544,6848,2303,196,2500,3554691,305620,3860311,,0.73,0.27,0.62,0.1,0.07,0.03,0.19,0,1,0,0,0,1,1
LA,2018-2019,001,001036,Acadia Parish,AMIKids Acadiana,2200030,2200030,19500100100000.0,220003002381.0,36.0,04-12,4.0,36,ADM,3658,654,4312,2782,486,3268,876,168,1044,131688,23544,155232,4263.794612,0.76,0.24,0.41,0.22,0.07,0,0.3,0,1,0,0,0,1,0
LA,2018-2019,001,001001,Acadia Parish,Armstrong Middle School,2200030,2200030,19500100100000.0,220003000001.0,345.0,06-08,3.0,341,ADM,8489,1030,9518,7613,862,8475,876,168,1044,2894749,351230,3245638,9469.794612,0.89,0.11,0.579999999999999,0.09,0.04,0.09,0.2,0,1,0,0,0,0,0
LA,2018-2019,001,001002,Acadia Parish,Branch Elementary School,2200030,2200030,19500100100000.0,220003000002.0,279.0,PK-08,3.0,277,ADM,8705,1105,9810,7829,937,8766,876,168,1044,2411285,306085,2717370,9761.794612,0.89,0.11,0.65,0.11,0.05,0.04,0.15,0,1,0,0,0,0,0
LA,2018-2019,001,001003,Acadia Parish,Central Rayne Kindergarten School,2200030,2200030,19500100100000.0,220003000003.0,207.0,PK-KG,1.0,215,ADM,9678,1225,10902,8802,1057,9859,876,168,1044,2080770,263375,2343930,10853.79461,0.9,0.1,0.53,0.12,0.14,0.05,0.17,0,1,0,0,0,0,0
LA,2018-2019,001,001004,Acadia Parish,Church Point Elementary School,2200030,2200030,19500100100000.0,220003001505.0,594.0,PK-05,2.0,587,ADM,8554,1094,9647,7678,926,8604,876,168,1044,5021198,642178,5662789,9598.794612,0.89,0.11,0.579999999999999,0.11,0.03,0.05,0.22,0,1,0,0,0,0,0
LA,2018-2019,001,001030,Acadia Parish,Church Point Head Start Center,2200030,2200030,19500100100000.0,,,,,7,ADM,74566,8003,82569,73690,7835,81526,876,168,1044,521962,56021,577983,82520.79461,0.99,0.01,0.66,0.06,0.08,0.03,0.17,0,1,0,0,0,1,0
LA,2018-2019,001,001005,Acadia Parish,Church Point High School,2200030,2200030,19500100100000.0,220003000004.0,528.0,08-12,4.0,514,ADM,8361,1011,9372,7485,843,8328,876,168,1044,4297554,519654,4817208,9323.794612,0.89,0.11,0.61,0.09,0.06,0.07,0.16,0,1,0,0,0,0,0
LA,2018-2019,001,001006,Acadia Parish,Church Point Middle School,2200030,2200030,19500100100000.0,220003000005.0,287.0,06-08,3.0,288,ADM,7905,1037,8941,7029,869,7898,876,168,1044,2276640,298656,2575008,8892.794612,0.88,0.12,0.569999999999999,0.13,0.04,0.08,0.18,0,1,0,0,0,0,0
LA,2018-2019,001,001007,Acadia Parish,Crowley High School,2200030,2200030,19500100100000.0,220003000006.0,610.0,07-12,4.0,598,ADM,9537,1099,10636,8661,931,9592,876,168,1044,5703126,657202,6360328,10587.79461,0.9,0.1,0.64,0.07,0.03,0.08,0.17,0,1,0,0,0,0,0
