state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MD,enrollmetric,pp_stloc_raw_MD,pp_fed_raw_MD,pp_total_raw_MD,schoolstloc_raw_MD,schoolfed_raw_MD,schooltot_raw_MD,pp_total_norm_NERDS,pp_site_stloc_difference_MD,pp_site_fed_difference_MD,pp_site_difference_MD,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MD,2018-2019,1,606,Allegany,Allegany High,2400030,2400030,21100100130100.0,240003000001.0,721.0,09-12,4.0,721,September Count Day,12443,395,12838,8971403,284795,9256198,,11224,315,11540,1,0,1,0,0,0,1
MD,2018-2019,1,2801,Allegany,Beall Elementary,2400030,2400030,21100100130100.0,240003000003.0,452.0,PK-05,2.0,452,September Count Day,15209,933,16142,6874468,421716,7296184,,13990,853,14844,1,0,1,0,0,0,1
MD,2018-2019,1,702,Allegany,Bel Air Elementary,2400030,2400030,21100100130100.0,240003000005.0,227.0,PK-05,2.0,227,September Count Day,16289,971,17260,3697603,220417,3918020,,15070,891,15962,1,0,1,0,0,0,1
MD,2018-2019,1,504,Allegany,Braddock Middle,2400030,2400030,21100100130100.0,240003000006.0,600.0,06-08,3.0,600,September Count Day,12113,481,12594,7267800,288600,7556400,,10894,401,11296,1,0,1,0,0,0,1
MD,2018-2019,1,2901,Allegany,Cash Valley Elementary,2400030,2400030,21100100130100.0,240003001338.0,269.0,PK-05,2.0,269,September Count Day,22716,2596,25312,6110604,698324,6808928,,21497,2516,24014,1,0,1,0,0,0,1
MD,2018-2019,1,601,Allegany,Center for Career & Technical Education,2400030,2400030,21100100130100.0,240003000030.0,219.0,11-12,4.0,219,September Count Day,24647,1252,25900,5397693,274188,5672100,,23428,1172,24602,1,0,1,0,0,0,1
MD,2018-2019,1,701,Allegany,Cresaptown Elementary,2400030,2400030,21100100130100.0,240003000010.0,321.0,PK-05,2.0,321,September Count Day,14655,828,15483,4704255,265788,4970043,,13436,748,14185,1,0,1,0,0,0,1
MD,2018-2019,1,301,Allegany,Flintstone Elementary,2400030,2400030,21100100130100.0,240003000014.0,226.0,PK-05,2.0,226,September Count Day,16421,1079,17500,3711146,243854,3955000,,15202,999,16202,1,0,1,0,0,0,1
MD,2018-2019,1,405,Allegany,Fort Hill High,2400030,2400030,21100100130100.0,240003000015.0,715.0,09-12,4.0,715,September Count Day,13315,804,14120,9520225,574860,10095800,,12096,724,12822,1,0,1,0,0,0,1
MD,2018-2019,1,1101,Allegany,Frost Elementary,2400030,2400030,21100100130100.0,240003000016.0,215.0,PK-05,2.0,215,September Count Day,15778,472,16250,3392270,101480,3493750,,14559,392,14952,1,0,1,0,0,0,1
MD,2018-2019,1,1001,Allegany,George's Creek Elementary,2400030,2400030,21100100130100.0,240003000017.0,302.0,PK-05,2.0,302,September Count Day,15123,1426,16549,4567146,430652,4997798,,13904,1346,15251,1,0,1,0,0,0,1
MD,2018-2019,1,402,Allegany,John Humbird Elementary,2400030,2400030,21100100130100.0,240003000019.0,273.0,PK-05,2.0,273,September Count Day,16281,2943,19224,4444713,803439,5248152,,15062,2863,17926,1,0,1,0,0,0,1
MD,2018-2019,1,1301,Allegany,Mount Savage Middle,2400030,2400030,21100100130100.0,240003000023.0,388.0,06-08,3.0,388,September Count Day,15600,917,16517,6052800,355796,6408596,,14381,837,15219,1,0,1,0,0,0,1
MD,2018-2019,1,2404,Allegany,Mountain Ridge High School,2400030,2400030,21100100130100.0,240003001636.0,792.0,09-12,4.0,792,September Count Day,12597,575,13172,9976824,455400,10432224,,11378,495,11874,1,0,1,0,0,0,1
MD,2018-2019,1,1302,Allegany,Mt. Savage Elementary,2400030,2400030,21100100130100.0,240003001546.0,186.0,PK-05,2.0,186,September Count Day,11439,952,12391,2127654,177072,2304726,,10220,872,11093,1,0,1,0,0,0,1
MD,2018-2019,1,502,Allegany,Northeast Elementary,2400030,2400030,21100100130100.0,240003000024.0,323.0,PK-05,2.0,323,September Count Day,13369,978,14347,4318187,315894,4634081,,12150,898,13049,1,0,1,0,0,0,1
MD,2018-2019,1,2902,Allegany,Parkside Elementary,2400030,2400030,21100100130100.0,240003000026.0,201.0,PK-05,2.0,201,September Count Day,17133,1023,18156,3443733,205623,3649356,,15914,943,16858,1,0,1,0,0,0,1
MD,2018-2019,1,401,Allegany,South Penn Elementary,2400030,2400030,21100100130100.0,240003001359.0,566.0,PK-05,2.0,566,September Count Day,15016,2277,17293,8499056,1288782,9787838,,13797,2197,15995,1,0,1,0,0,0,1
MD,2018-2019,1,406,Allegany,Washington Middle,2400030,2400030,21100100130100.0,240003000031.0,592.0,06-08,3.0,592,September Count Day,13909,706,14615,8234128,417952,8652080,,12690,626,13317,1,0,1,0,0,0,1
MD,2018-2019,1,603,Allegany,West Side Elementary,2400030,2400030,21100100130100.0,240003000032.0,405.0,PK-05,2.0,405,September Count Day,13818,1098,14916,5596290,444690,6040980,,12599,1018,13618,1,0,1,0,0,0,1
MD,2018-2019,1,801,Allegany,Westernport Elementary,2400030,2400030,21100100130100.0,240003000033.0,273.0,PK-05,2.0,273,September Count Day,15587,1516,17103,4255251,413868,4669119,,14368,1436,15805,1,0,1,0,0,0,1
MD,2018-2019,1,802,Allegany,Westmar Middle,2400030,2400030,21100100130100.0,240003000007.0,273.0,06-08,3.0,273,September Count Day,17134,764,17898,4677582,208572,4886154,,15915,684,16600,1,0,1,0,0,0,1
MD,2018-2019,2,4092,Anne Arundel,Annapolis Elementary,2400060,2400060,21100200230100.0,240006000035.0,236.0,PK-05,2.0,236,September Count Day,19476,1752,21228,4596336,413472,5009808,21483.87848,18557,1704,20261,1,0,1,0,0,0,0
MD,2018-2019,2,4013,Anne Arundel,Annapolis High,2400060,2400060,21100200230100.0,240006000037.0,1981.0,09-12,4.0,1981,September Count Day,13064,510,13574,25879784,1010310,26890094,13829.87848,12145,462,12607,1,0,1,0,0,0,0
MD,2018-2019,2,4033,Anne Arundel,Annapolis Middle,2400060,2400060,21100200230100.0,240006000036.0,1014.0,06-08,3.0,1014,September Count Day,13413,465,13878,13600782,471510,14072292,14133.87848,12494,417,12911,1,0,1,0,0,0,0
MD,2018-2019,2,2233,Anne Arundel,Anne Arundel Evening High,2400060,2400060,21100200230100.0,240006000899.0,278.0,09-12,4.0,278,September Count Day,9643,181,9824,2680754,50318,2731072,10079.87848,8724,133,8857,1,0,1,0,0,0,0
MD,2018-2019,2,2052,Anne Arundel,Arnold Elementary,2400060,2400060,21100200230100.0,240006000038.0,435.0,KG-05,2.0,435,September Count Day,11646,352,11998,5066010,153120,5219130,12253.87848,10727,304,11031,1,0,1,0,0,0,0
MD,2018-2019,2,3013,Anne Arundel,Arundel High,2400060,2400060,21100200230100.0,240006000040.0,2122.0,09-12,4.0,2122,September Count Day,10951,500,11450,23238022,1061000,24296900,11705.87848,10032,452,10483,1,0,1,0,0,0,0
MD,2018-2019,2,3023,Anne Arundel,Arundel Middle,2400060,2400060,21100200230100.0,240006000039.0,1043.0,06-08,3.0,1043,September Count Day,12147,339,12486,12669321,353577,13022898,12741.87848,11228,291,11519,1,0,1,0,0,0,0
MD,2018-2019,2,1082,Anne Arundel,Belle Grove Elementary,2400060,2400060,21100200230100.0,240006000043.0,290.0,PK-05,2.0,290,September Count Day,15670,1378,17047,4544300,399620,4943630,17302.87848,14751,1330,16080,1,0,1,0,0,0,0
MD,2018-2019,2,2062,Anne Arundel,Belvedere Elementary,2400060,2400060,21100200230100.0,240006000044.0,546.0,PK-05,2.0,546,September Count Day,12996,785,13781,7095816,428610,7524426,14036.87848,12077,737,12814,1,0,1,0,0,0,0
MD,2018-2019,2,2072,Anne Arundel,Benfield Elementary,2400060,2400060,21100200230100.0,240006000045.0,434.0,PK-05,2.0,434,September Count Day,12525,354,12879,5435850,153636,5589486,13134.87848,11606,306,11912,1,0,1,0,0,0,0
MD,2018-2019,2,2082,Anne Arundel,Bodkin Elementary,2400060,2400060,21100200230100.0,240006000046.0,565.0,KG-05,2.0,565,September Count Day,11256,299,11555,6359640,168935,6528575,11810.87848,10337,251,10588,1,0,1,0,0,0,0
MD,2018-2019,2,2322,Anne Arundel,Broadneck Elementary,2400060,2400060,21100200230100.0,240006000047.0,786.0,KG-05,2.0,786,September Count Day,10845,297,11141,8524170,233442,8756826,11396.87848,9926,249,10174,1,0,1,0,0,0,0
MD,2018-2019,2,2363,Anne Arundel,Broadneck High,2400060,2400060,21100200230100.0,240006001402.0,2153.0,09-12,4.0,2153,September Count Day,11305,349,11654,24339665,751397,25091062,11909.87848,10386,301,10687,1,0,1,0,0,0,0
MD,2018-2019,2,3062,Anne Arundel,Brock Bridge Elementary,2400060,2400060,21100200230100.0,240006000048.0,617.0,PK-05,2.0,617,September Count Day,12926,1159,14085,7975342,715103,8690445,14340.87848,12007,1111,13118,1,0,1,0,0,0,0
MD,2018-2019,2,1092,Anne Arundel,Brooklyn Park Elementary,2400060,2400060,21100200230100.0,240006000049.0,415.0,PK-05,2.0,415,September Count Day,14108,1200,15308,5854820,498000,6352820,15563.87848,13189,1152,14341,1,0,1,0,0,0,0
