state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ME,enrollmetric,pp_stloc_raw_ME,pp_fed_raw_ME,pp_total_raw_ME,pp_site_stloc_raw_ME,pp_site_fed_raw_ME,pp_site_raw_ME,pp_centshare_stloc_raw_ME,pp_centshare_fed_raw_ME,pp_centshare_raw_ME,schoolstloc_raw_ME,schoolfed_raw_ME,schooltot_raw_ME,pp_total_norm_NERDS,pp_salary_site_raw_ME,pp_salary_cent_raw_ME,pp_benefit_site_ME,pp_benefit_cent_ME,pp_nonperson_site_ME,pp_nonperson_cent_raw_ME,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ME,2018-2019,1761,1765,Acadia Academy,Acadia Academy School,2314831,2314831,,231483123149.0,203.0,PK-05,2.0,204,October Count Day,10446.6,195.97,10642.57,9522.5,195.97,9718.47,924.1,0,924.1,2131106.4,39977.88,2171084.28,11179.10064,5098.71,158.24,981.35,21.53,3638.4,744.32,1,0,0,1,0,0,0
ME,2018-2019,2,3,Acton Public Schools,Acton Elementary School,2302220,2302220,20301600130100.0,230222000001.0,234.0,PK-08,3.0,235,October Count Day,18433.98,669.37,19103.35,16839.98,669.37,17509.35,1594,0,1594,4331985.3,157301.95,4489287.25,19551.7229,8680.19,928.32,4789.25,401.07,4039.91,264.61,1,0,0,1,0,0,0
ME,2018-2019,1038,1039,Airline CSD,Airline Community School,2302500,2302500,20500580300000.0,230250000007.0,40.0,PK-08,3.0,40,October Count Day,15308,1531.43,16839.43,10719.25,113.68,10832.93,4588.75,1417.75,6006.5,612320,61257.2,673577.2,17066.01261,6502.28,2954.5,2570.2,485.15,1760.45,2566.85,1,0,0,1,0,0,0
ME,2018-2019,4,5,Alexander Public Schools,Alexander Elementary,2302280,2302280,20301500230100.0,230228000975.0,42.0,PK-08,3.0,43,October Count Day,16828.4899999999,1138.69,17967.1799999999,13253.38,1138.69,14392.07,3575.11,0,3575.11,723625.07,48963.67,772588.739999999,,7518.42,51.17,4443.6,7.26,2430.04,3516.69,1,0,0,1,0,1,1
ME,2018-2019,1734,790,Andover Public Schools,Andover Elementary School,2314823,2314823,20300900110100.0,231482300505.0,26.0,PK-05,2.0,26,October Count Day,24173.35,2553.06999999999,26726.42,16099.75,1980.06,18079.81,8073.6,573.01,8646.61,628507.1,66379.8199999999,694886.919999999,,10411.91,3424.67,4362.87,473.88,3305.04,4748.06,1,0,0,1,0,1,1
ME,2018-2019,9,10,Appleton Public Schools,Appleton Village School,2302510,2302510,20300700130100.0,230251000906.0,154.0,KG-08,3.0,154,October Count Day,15525.39,723.92,16249.31,14839.18,723.92,15563.1,686.21,0,686.21,2390910.06,111483.68,2502393.73999999,16045.45455,9110.31,0,3308.46,0,3144.34,686.21,1,0,0,1,0,0,0
ME,2018-2019,1069,1070,Arthur R. Gould Sch--LCYDC,Arthur R. Gould Sch--LCYDC,2300050,2300050,,230005000377.0,12.0,07-12,4.0,20,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,1,0,0,1,0,1,0
ME,2018-2019,1629,906,Athens Public Schools,Athens Community School,2314817,2314817,20301300210100.0,231481700742.0,130.0,PK-08,3.0,130,October Count Day,12842.3399999999,1044.7,13887.0399999999,10823.8,284.44,11108.24,2018.54,760.26,2778.8,1669504.19999999,135811,1805315.2,13824.93867,7281.39,898.58,2759.1,324.42,1067.74,1555.8,1,0,0,1,0,0,0
ME,2018-2019,14,25,Auburn Public Schools,Auburn Middle School,2302610,2302610,20200100130100.0,230261000907.0,542.0,07-08,3.0,542,October Count Day,11346.39,763.22,12109.6099999999,9378.96,81.88,9460.83999999999,1967.43,681.34,2648.77,6149743.38,413665.24,6563408.61999999,12346.10824,6219.3,1153.14,2441.4,370.43,800.14,1125.19,1,0,0,1,0,0,0
ME,2018-2019,14,15,Auburn Public Schools,East Auburn Community School,2302610,2302610,20200100130100.0,230261000012.0,181.0,PK-06,2.0,181,October Count Day,11164.39,826.93,11991.32,9196.96,145.59,9342.55,1967.43,681.34,2648.77,2020754.58999999,149674.33,2170428.92,12227.81824,5809.63,1153.14,2422.07,370.43,1110.84,1125.19,1,0,0,1,0,0,0
