state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MI,enrollmetric,pp_stloc_raw_MI,pp_fed_raw_MI,pp_total_raw_MI,pp_site_stloc_raw_MI,pp_site_fed_raw_MI,pp_site_raw_MI,pp_centshare_stloc_raw_MI,pp_centshare_fed_raw_MI,pp_centshare_raw_MI,schoolstloc_raw_MI,schoolfed_raw_MI,schooltot_raw_MI,pp_total_norm_NERDS,distexclu_raw_MI,disttotwexclu_raw_MI,prekexclu_raw_MI,nonpublicexclu_raw_MI,otherdist_expexclu_raw_MI,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MI,2018-2019,56903,9696,Academic and Career Education Academy,Academic and Career Education Academy,2600330.0,2600330.0,,260033004509.0,108.0,09-12,4.0,110.18,Fall Enrollment Count,8069.56,831.64,8901.21,8069.56,831.64,8901.21,0,0,0,889104.1208,91630.0952,980735.3178,8904.0,13056.73,993792.0478,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,82921,9332,Academy for Business and Technology,Academy for Business and Technology Elementary,2600166.0,2600166.0,,260016601667.0,251.0,KG-05,2.0,254.32,Fall Enrollment Count,9449.31,1826.22,11275.54,7912.78,1780.73,9693.52,1536.53,45.49,1582.02,2403148.5192,464444.2704,2867595.3328,11318.0,622329.12,6415040.7934,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,82921,8435,Academy for Business and Technology,Academy for Business and Technology High School,2600166.0,2600166.0,,260016601035.0,268.0,06-12,4.0,262.06,Fall Enrollment Count,9489.05,1672.96,11162.01,7952.52,1627.47,9579.99,1536.53,45.49,1582.02,2486700.443,438415.8976,2925116.3406,11205.0,622329.12,6415040.7934,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,50911,9602,Academy of Warren,Academy of Warren,2600308.0,2600308.0,,260030801884.0,678.0,KG-08,3.0,669.3,Fall Enrollment Count,6933.54,1763.43,8696.97,6933.54,1763.43,8696.97,0,0,0,4640618.322,1180263.699,5820882.02099999,8951.0,1569521,7390403.021,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,82998,3045,ACE Academy (SDA),ACE Academy - Jefferson site,2600943.0,2600943.0,,260094308800.0,13.0,04-12,4.0,11,Fall Enrollment Count,13098.94,8221.56,21320.5,13098.94,8221.56,21320.5,0,0,0,144088.34,90437.1599999999,234525.5,21337.0,62783.87,2484674.7988,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,82998,9850,ACE Academy (SDA),"ACE Academy (SDA) -Glendale, Lincoln, Woodward, Jefferson",2600943.0,2600943.0,,260094307776.0,173.0,04-12,4.0,181.68,Fall Enrollment Count,8737.61,3302.05,12039.66,8737.61,3302.05,12039.66,0,0,0,1587448.9848,599916.444,2187365.4288,12056.0,62783.87,2484674.7988,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,82717,110,Achieve Charter Academy,Achieve Charter Academy,2600963.0,2600963.0,,260096307974.0,763.0,KG-08,3.0,763.69,Fall Enrollment Count,8206.46,347.96,8554.42,8206.46,347.96,8554.42,0,0,0,6267191.4374,265733.5724,6532925.0098,8556.0,42570,6575495.0098,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,31020,1893,Adams Township School District,Jeffers High School,2601890.0,2601890.0,23503100100000.0,260189003921.0,247.0,07-12,4.0,245.68,Fall Enrollment Count,9563.87,457.849999999999,10021.72,6547.85,3.96,6551.81,3016.02,453.89,3469.91,2349651.5816,112484.587999999,2462136.1696,9230.0,1948223.06,6976065.3663,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,31020,3527,Adams Township School District,South Range Elementary School,2601890.0,2601890.0,23503100100000.0,260189003922.0,233.0,KG-06,2.0,231.91,Fall Enrollment Count,10289.96,773.41,11063.37,7273.94,319.52,7593.46,3016.02,453.89,3469.91,2386344.62359999,179361.513099999,2565706.1367,10272.0,1948223.06,6976065.3663,0,0,0,1,0,0,0,0,0,0
MI,2018-2019,46020,9983,Addison Community Schools,Addison Elementary School,2601920.0,2601920.0,23504600100000.0,260192007996.0,385.0,KG-05,2.0,384.89,Fall Enrollment Count,9851.63,817.069999999999,10668.7,6942.05,368.95,7311,2909.58,448.12,3357.7,3791793.8707,314482.072299999,4106275.943,10704.0,1903318.78,10664285.8566,0,0,0,1,0,0,0,0,0,0
