state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MO,enrollmetric,pp_stloc_raw_MO,pp_fed_raw_MO,pp_total_raw_MO,pp_site_stloc_raw_MO,pp_site_fed_raw_MO,pp_site_raw_MO,pp_centshare_stloc_raw_MO,pp_centshare_fed_raw_MO,pp_centshare_raw_MO,schoolstloc_raw_MO,schoolfed_raw_MO,schooltot_raw_MO,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MO,2018-2019,048-914,1910,ACADEMIE LAFAYETTE,ACADEMIE LAFAYETTE - ARMOUR,2900017,2900017,,290001703331,,06-09,3.0,273,September Membership,10767.24,134.76,10902,6960.57,134.76,7095.33,3806.67,0,3806.67,2939456.52,36789.4799999999,2976246,10855.01172,1,0,0,0,1,0,0
MO,2018-2019,048-914,6941,ACADEMIE LAFAYETTE,ACADEMIE LAFAYETTE-CHERRY,2900017,2900017,,290001703259,338.0,KG-05,2.0,338,September Membership,10733.17,191.7,10924.87,6926.5,191.7,7118.2,3806.67,0,3806.67,3627811.46,64794.6,3692606.06,10877.12265,1,0,0,0,1,0,0
MO,2018-2019,048-914,6940,ACADEMIE LAFAYETTE,ACADEMIE LAFAYETTE-OAK,2900017,2900017,,290001702753,457.0,KG-05,2.0,457,September Membership,10150.39,61.88,10212.28,6343.72,61.88,6405.6,3806.67,0,3806.67,4638728.22999999,28279.16,4667011.96,10188.18396,1,0,0,0,1,0,0
MO,2018-2019,048-927,6995,ACADEMY FOR INTEGRATED ARTS,ACADEMY FOR INTEGRATED ARTS,2900604,2900604,,290060403209,230.0,PK-06,2.0,227,September Membership,11107.85,1001.26,12109.12,4894.59,1001.26,5895.86,6213.26,0,6213.26,2521481.95,227286.02,2748770.24,11703.97286,1,0,0,0,1,0,0
MO,2018-2019,001-090,4020,ADAIR CO. R-I,ADAIR CO. ELEM.,2922980,2922980,26500103500000.0,292298001314,120.0,PK-06,2.0,120,September Membership,9269.38,663.82,9933.21,5714.72,663.82,6378.55,3554.66,0,3554.66,1112325.6,79658.4,1191985.2,10375.0387,1,0,0,0,1,0,0
MO,2018-2019,001-090,1050,ADAIR CO. R-I,ADAIR CO. HIGH,2922980,2922980,26500103500000.0,292298001315,99.0,07-12,4.0,95,September Membership,13556.36,162.08,13718.44,10001.7,162.08,10163.78,3554.66,0,3554.66,1287854.2,15397.6,1303251.8,14034.6345,1,0,0,0,1,0,0
MO,2018-2019,001-092,4020,ADAIR CO. R-II,ADAIR CO. ELEM.,2905790,2905790,26500100300000.0,290579000124,69.0,KG-06,2.0,68.26,September Membership,10912.98,706.49,11619.47,7191.46,706.49,7897.95,3721.52,0,3721.52,744920.0148,48225.0074,793145.0222,,1,0,0,0,1,0,1
MO,2018-2019,001-092,1050,ADAIR CO. R-II,ADAIR CO. HIGH,2905790,2905790,26500100300000.0,290579000125,79.0,07-12,4.0,79,September Membership,14228.59,410.17,14638.76,10507.07,410.17,10917.24,3721.52,0,3721.52,1124058.61,32403.43,1156462.04,,1,0,0,0,1,0,1
MO,2018-2019,007-123,4020,ADRIAN R-III,ADRIAN ELEM.,2902850,2902850,26500700100000.0,290285000001,341.0,PK-05,2.0,305,September Membership,8491.48,361.72,8853.2,6193.04,361.72,6554.76,2298.44,0,2298.44,2589901.4,110324.6,2700226,9282.605926,1,0,0,0,1,0,0
MO,2018-2019,007-123,1050,ADRIAN R-III,ADRIAN SR. HIGH,2902850,2902850,26500700100000.0,290285000002,356.0,06-12,4.0,355.88,September Membership,10005.59,119.63,10125.22,7707.15,119.63,7826.78,2298.44,0,2298.44,3560789.3692,42573.9243999999,3603363.29359999,10512.40677,1,0,0,0,1,0,0
MO,2018-2019,103-129,4020,ADVANCE R-IV,ADVANCE ELEM.,2902880,2902880,26510400100000.0,290288000003,226.0,KG-06,2.0,226,September Membership,7577.04999999999,188.51,7765.55,4932.12,183.13,5115.25,2644.93,5.38,2650.3,1712413.29999999,42603.2599999999,1755014.3,7738.063974,1,0,0,0,1,0,0
MO,2018-2019,103-129,1050,ADVANCE R-IV,ADVANCE HIGH,2902880,2902880,26510400100000.0,290288000004,205.0,07-12,4.0,205.29,September Membership,8587.28999999999,361.87,8949.16,5942.36,356.49,6298.86,2644.93,5.38,2650.3,1762884.76409999,74288.2923,1837173.0564,8882.389202,1,0,0,0,1,0,0
MO,2018-2019,103-129,7500,ADVANCE R-IV,ADVANCE PRESCHOOL,2902880,2902880,26510400100000.0,290288003340,,PK-PK,1.0,NRD,September Membership,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
MO,2018-2019,096-098,1050,AFFTON 101,AFFTON HIGH,2902910,2902910,26509500100000.0,290291000009,782.0,09-12,4.0,758.42,September Membership,12872.82,182.98,13055.81,10480.81,182.98,10663.79,2392.01,0,2392.01,9763004.14439999,138775.6916,9901787.4202,13170.86992,1,0,0,0,1,0,0
MO,2018-2019,096-098,4080,AFFTON 101,GOTSCH INTERMEDIATE SCH.,2902910,2902910,26509500100000.0,290291000005,594.0,03-05,2.0,591.6,September Membership,8517.35,16.33,8533.69,6125.34,16.33,6141.68,2392.01,0,2392.01,5038864.26,9660.828,5048531.004,8798.841973,1,0,0,0,1,0,0
MO,2018-2019,096-098,4040,AFFTON 101,MESNIER PRIMARY SCH.,2902910,2902910,26509500100000.0,290291000007,646.0,KG-02,2.0,623.43,September Membership,10561.15,58.42,10619.58,8169.14,58.42,8227.56,2392.01,0,2392.01,6584137.7445,36420.7806,6620564.7594,10815.49995,1,0,0,0,1,0,0
MO,2018-2019,096-098,3000,AFFTON 101,ROGERS MIDDLE,2902910,2902910,26509500100000.0,290291002461,565.0,06-08,3.0,562.97,September Membership,10296.99,8.58,10305.57,7904.98,8.58,7913.56,2392.01,0,2392.01,5796896.4603,4830.2826,5801726.7429,10511.91214,1,0,0,0,1,0,0
MO,2018-2019,038-046,1050,ALBANY R-III,ALBANY HIGH,2902970,2902970,26503800200000.0,290297000010,115.0,09-12,4.0,114.41,September Membership,10687.36,290.93,10978.29,7805.27,141.63,7946.89,2882.09,149.3,3031.39,1222740.8576,33285.3013,1256026.1589,11738.30382,1,0,0,0,1,0,0
MO,2018-2019,038-046,3000,ALBANY R-III,ALBANY MIDDLE,2902970,2902970,26503800200000.0,290297001478,99.0,06-08,3.0,99,September Membership,9305.04,312.97,9618.02,6422.95,163.67,6586.63,2882.09,149.3,3031.39,921198.96,30984.03,952183.98,10423.18205,1,0,0,0,1,0,0
MO,2018-2019,038-046,4020,ALBANY R-III,VIRGINIA E. GEORGE ELEM.,2902970,2902970,26503800200000.0,290297000011,230.0,PK-05,2.0,200,September Membership,9319.02,368.08,9687.11,6436.93,218.78,6655.71,2882.09,149.3,3031.39,1863804,73616,1937422,10489.97891,1,0,0,0,1,0,0
MO,2018-2019,048-909,6915,ALLEN VILLAGE,ALLEN VILLAGE ELEMENTARY,2900025,2900025,,290002502748,127.0,03-05,2.0,127,September Membership,15905.2399999999,821.43,16726.68,11441.8,821.43,12263.23,4463.44,0,4463.44,2019965.47999999,104321.61,2124288.36,16638.46783,1,0,0,0,1,0,0
MO,2018-2019,048-909,1980,ALLEN VILLAGE,ALLEN VILLAGE HIGH SCHOOL,2900025,2900025,,290002503233,179.0,09-12,4.0,179,September Membership,11212.89,504.2,11717.09,6749.45,504.2,7253.65,4463.44,0,4463.44,2007107.30999999,90251.8,2097359.11,11795.14932,1,0,0,0,1,0,0
MO,2018-2019,048-909,3930,ALLEN VILLAGE,ALLEN VILLAGE JUNIOR,2900025,2900025,,290002503325,,06-08,3.0,159,September Membership,11735.31,0,11735.32,7271.87,0,7271.87,4463.44,0,4463.44,1865914.28999999,0,1865915.88,11812.77425,1,0,0,0,1,0,0
MO,2018-2019,048-909,6905,ALLEN VILLAGE,ALLEN VILLAGE PRIMARY,2900025,2900025,,290002503327,,KG-02,2.0,109,September Membership,11277.08,0,11277.08,6813.64,0,6813.64,4463.44,0,4463.44,1229201.72,0,1229201.72,11369.74353,1,0,0,0,1,0,0
