state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MS,enrollmetric,pp_stloc_raw_MS,pp_fed_raw_MS,pp_total_raw_MS,pp_site_stloc_raw_MS,pp_site_fed_raw_MS,pp_site_raw_MS,pp_centshare_stloc_raw_MS,pp_centshare_fed_raw_MS,pp_centshare_raw_MS,schoolstloc_raw_MS,schoolfed_raw_MS,schooltot_raw_MS,pp_total_norm_NERDS,distexclu_raw_MS,disttotwexclu_raw_MS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MS,2018-2019,4820,6,Aberdeen School District,Aberdeen Elementary School,2800360,2800360,25504800200000.0,280036001372.0,373.0,PK-03,2.0,373,Net Membership Month 1,8572.54,1295.76,9868.3,5970.74,834.5,6805.24,2601.8,461.26,3063.06,3197557.42,483318.48,3680875.9,10733.01734,3917785.78,16305260.26,0,1,0,0,0,0,0
MS,2018-2019,4820,8,Aberdeen School District,Aberdeen High School,2800360,2800360,25504800200000.0,280036000009.0,313.0,09-12,4.0,313,Net Membership Month 1,10810.09,1006.67,11816.76,8208.29,545.41,8753.7,2601.8,461.26,3063.06,3383558.17,315087.709999999,3698645.88,12681.47734,3917785.78,16305260.26,0,1,0,0,0,0,0
MS,2018-2019,4820,32,Aberdeen School District,Belle Shivers Middle School,2800360,2800360,25504800200000.0,280036001467.0,515.0,04-08,3.0,515,Net Membership Month 1,8802.68,921.5,9724.18,6200.88,460.24,6661.12,2601.8,461.26,3063.06,4533380.2,474572.5,5007952.7,10588.89734,3917785.78,16305260.26,0,1,0,0,0,0,0
MS,2018-2019,200,92,Alcorn School District,Alcorn ALTERNATIVE SCHOOL,2800390,2800390,25500250100000.0,280039000837.0,0.0,05-12,4.0,NRD,Net Membership Month 1,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,7888405.74,37015431.88,0,1,0,0,0,1,0
MS,2018-2019,200,6,Alcorn School District,Alcorn Central Elementary School,2800390,2800390,25500250100000.0,280039001150.0,510.0,PK-04,2.0,510,Net Membership Month 1,7008.05,1272.51,8280.56,5532.1,897.66,6429.76,1475.95,374.85,1850.8,3574105.5,648980.1,4223085.6,8309.744429,7888405.74,37015431.88,0,1,0,0,0,0,0
MS,2018-2019,200,8,Alcorn School District,Alcorn Central High School,2800390,2800390,25500250100000.0,280039000018.0,392.0,09-12,4.0,392,Net Membership Month 1,10297.16,453.07,10750.23,8821.21,78.22,8899.42999999999,1475.95,374.85,1850.8,4036486.71999999,177603.44,4214090.16,10779.41443,7888405.74,37015431.88,0,1,0,0,0,0,0
MS,2018-2019,200,10,Alcorn School District,Alcorn Central Middle School,2800390,2800390,25500250100000.0,280039001188.0,401.0,05-08,3.0,401,Net Membership Month 1,7376.95,518.34,7895.29,5901,143.49,6044.49,1475.95,374.85,1850.8,2958156.94999999,207854.34,3166011.29,7924.474429,7888405.74,37015431.88,0,1,0,0,0,0,0
MS,2018-2019,200,90,Alcorn School District,ALCORN CO VOC COMPLEX,2800390,2800390,25500250100000.0,280039000016.0,0.0,09-12,4.0,NRD,Net Membership Month 1,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,7888405.74,37015431.88,0,1,0,0,0,1,0
MS,2018-2019,200,2,Alcorn School District,Biggersville Elementary,2800390,2800390,25500250100000.0,280039000017.0,280.0,PK-06,2.0,280,Net Membership Month 1,6841.63,1377.08,8218.71,5365.68,1002.23,6367.91,1475.95,374.85,1850.8,1915656.4,385582.399999999,2301238.8,8247.894429,7888405.74,37015431.88,0,1,0,0,0,0,0
MS,2018-2019,200,4,Alcorn School District,Biggersville High School,2800390,2800390,25500250100000.0,280039001152.0,187.0,07-12,4.0,187,Net Membership Month 1,13803.76,1086.75,14890.51,12327.81,711.9,13039.71,1475.95,374.85,1850.8,2581303.12,203222.25,2784525.37,14919.69443,7888405.74,37015431.88,0,1,0,0,0,0,0
