state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_MT,enrollmetric,pp_stloc_raw_MT,pp_fed_raw_MT,pp_total_raw_MT,schoolstloc_raw_MT,schoolfed_raw_MT,schooltot_raw_MT,pp_total_norm_NERDS,exclusionamounts_raw_MT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
MT,2018-2019,861,1775,Absarokee Elem,Absarokee 6-8,3001710,3001710,27504840130100.0,300171001063,62.0,6-8,3.0,62,October Count Day,10414.8056451612,851.955322580645,11266.7608064516,645717.95,52821.2299999999,698539.17,12145.83331,86027.64,1,0,1,0,0,0,0
MT,2018-2019,861,1125,Absarokee Elem,Absarokee School,3001710,3001710,27504840130100.0,300171000001,82.0,PK-5,2.0,82,October Count Day,10414.805609756,851.955243902439,11266.7608536585,854014.06,69860.3299999999,923874.389999999,12145.83335,113778.5,1,0,1,0,0,0,0
MT,2018-2019,862,1126,Absarokee H S,Absarokee High School,3001740,3001740,27504840130200.0,300174000002,86.0,9-12,4.0,86,October Count Day,15583.2424418604,1051.02918604651,16634.2716279069,1340158.85,90388.51,1430547.35999999,,531538.74,1,0,1,0,0,1,1
MT,2018-2019,577,1730,Alberton K-12 Schools,Alberton 7-8,3001860,3001860,27503140100000.0,300186001007,18.0,7-8,3.0,18,October Count Day,13816.1588888888,1374.13555555555,15190.2944444444,248690.86,24734.4399999999,273425.3,16985.50742,55658.01,1,0,1,0,0,0,0
MT,2018-2019,577,766,Alberton K-12 Schools,Alberton High School,3001860,3001860,27503140100000.0,300186000004,43.0,9-12,4.0,43,October Count Day,13816.1590697674,1374.1353488372,15190.2941860465,594094.84,59087.82,653182.65,16985.50716,132960.799999999,1,0,1,0,0,0,0
MT,2018-2019,577,765,Alberton K-12 Schools,Alberton School,3001860,3001860,27503140100000.0,300186000003,77.0,PK-6,2.0,77,October Count Day,13816.1589610389,1374.13532467532,15190.2942857142,1063844.24,105808.42,1169652.66,16985.50726,238092.59,1,0,1,0,0,0,0
MT,2018-2019,536,719,Alder Elem,Alder School,3017460,3017460,27502900100000.0,301746000541,24.0,PK-8,3.0,24,October Count Day,7733.5175,2720.87583333333,10454.3933333333,185604.419999999,65301.02,250905.44,12083.33333,62296.87,1,0,1,0,0,0,0
MT,2018-2019,96,132,Alzada Elem,Alzada School,3001950,3001950,27500600200000.0,300195000006,5.0,PK-8,3.0,5,October Count Day,16255.22,0,16255.22,81276.1,0,81276.0999999999,,41873.66,1,0,1,0,0,1,1
MT,2018-2019,376,498,Amsterdam Elem,Amsterdam School,3001980,3001980,27501600100000.0,300198000007,139.0,PK-6,2.0,139,October Count Day,7141.88158273381,706.161294964028,7848.04287769784,992721.54,98156.4199999999,1090877.96,8856.115108,471155.57,1,0,1,0,0,0,0
MT,2018-2019,236,1589,Anaconda Elem,Anaconda Jr High School,3002010,3002010,27501240130100.0,300201000014,153.0,7-8,3.0,153,October Count Day,9200.76555555555,1873.73522875817,11074.5008496732,1407717.13,286681.49,1694398.63,12079.84294,381964.3,1,0,1,0,0,0,0
MT,2018-2019,236,322,Anaconda Elem,Fred Moodry Intermediate,3002010,3002010,27501240130100.0,300201000010,346.0,3-6,2.0,346,October Count Day,9200.76557803468,1873.7352601156,11074.5008381502,3183464.88999999,648312.399999999,3831777.29,12079.84293,792388.16,1,0,1,0,0,0,0
MT,2018-2019,236,321,Anaconda Elem,Lincoln Primary,3002010,3002010,27501240130100.0,300201000011,265.0,PK-2,2.0,265,October Count Day,9200.76558490566,1873.73524528301,11074.5008301886,2438202.88,496539.839999999,2934742.72,12079.84292,606886.89,1,0,1,0,0,0,0
MT,2018-2019,237,326,Anaconda H S,Anaconda Sr High School,3002030,3002030,27501240130200.0,300203000015,311.0,9-12,4.0,311,October Count Day,10734.8507717041,890.069067524115,11624.9198713826,3338538.59,276811.48,3615350.08,11864.95177,1403188.04,1,0,1,0,0,0,0
MT,2018-2019,366,1703,Anderson Elem,Anderson 7-8,3002070,3002070,27501600300000.0,300207000976,45.0,7-8,3.0,45,October Count Day,9667.58733333333,419.849555555555,10087.4371111111,435041.43,18893.2299999999,453934.67,11463.76817,119120.05,1,0,1,0,0,0,0
MT,2018-2019,366,488,Anderson Elem,Anderson School,3002070,3002070,27501600300000.0,300207000016,162.0,PK-6,2.0,162,October Count Day,9667.58734567901,419.849691358024,10087.437037037,1566149.15,68015.65,1634164.79999999,11463.7681,428832.17,1,0,1,0,0,0,0
MT,2018-2019,474,1640,Arlee Elem,Arlee 7-8,3002220,3002220,27502440130100.0,300222000900,72.0,7-8,3.0,72,October Count Day,12160.6898611111,2058.87,14219.5598611111,875569.67,148238.639999999,1023808.30999999,15433.02182,208746.84,1,0,1,0,0,0,0
