state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NC,enrollmetric,pp_stloc_raw_NC,pp_fed_raw_NC,pp_total_raw_NC,pp_centshare_stloc_raw_NC,pp_centshare_fed_raw_NC,pp_centshare_raw_NC,schoolstloc_raw_NC,schoolfed_raw_NC,schooltot_raw_NC,pp_total_norm_NERDS,ppsalariesst_raw_NC,ppempbenefitsst_raw_NC,pppurchservicesst_raw_NC,ppsupmaterialsst_raw_NC,ppinstrequipst_raw_NC,ppotherst_raw_NC,ppcentst_raw_NC,pptotst_raw_NC,ppsalariesfed_raw_NC,ppempbenefitsfed_raw_NC,pppurchservicesfed_raw_NC,ppsupmaterialsfed_raw_NC,ppinstrequipfed_raw_NC,ppotherfed_raw_NC,ppsalariesloc_raw_NC,ppempbenefitsloc_raw_NC,pppurchservicesloc_raw_NC,ppsupmaterialsloc_raw_NC,ppinstrequiploc_raw_NC,ppotherloc_raw_NC,ppcentloc_raw_NC,pptotloc_raw_NC,pptotsalaries_raw_NC,pptotempbenefits_raw_NC,pptotpurchservices_raw_NC,pptotsupmaterials_raw_NC,pptotinstrequipfed_raw_NC,pptotother_raw_NC,pp_site_stloc_difference_NC,pp_site_fed_difference_NC,pp_site_difference_NC,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NC,2018-2019,13C,13C000,A.C.E. Academy,A.C.E. Academy,3700372,3700372,,370037203324,409.0,KG-08,3.0,401,ADM,9459.8,382.7,9842.5,,,,3793379.8,153462.699999999,3946842.5,9175.403423,,,,,,,,6045.13,,,,,,,,,,,,,,3414.67,,,,,,,,,,0,0,0,0,0,0,0
NC,2018-2019,43D,43D000,Achievement Charter Academy,Achievement Charter Academy,3700459,3700459,,370045903534,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,0,0,0,1,0
NC,2018-2019,01F,01F000,Alamance Community School,Alamance Community School,3700467,3700467,,370046703528,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,0,0,0,1,0
NC,2018-2019,010,010303,Alamance-Burlington Schools,ABSS Early College at ACC,3700030,3700030,34100100130100.0,370003002972,228.0,09-13,0.0,223,ADM,6115.46,164.56,6280.02,421.84,21.17,443.01,1363747.58,36696.88,1400444.46,6608.807354,2942.01,1162.81,90.46,506.87,27.51,0,140.38,4870.04,59.74,5.31,39.65,29.84,8.85,0,584.05,176.03,152.2,48.44,3.24,0,281.46,1245.42,3585.8,1344.15,282.31,585.15,39.6,0,5693.62,143.39,5837.01,0,0,0,0,0,0,0
NC,2018-2019,010,010304,Alamance-Burlington Schools,Alexander Wilson Elementary,3700030,3700030,34100100130100.0,370003000001,626.0,PK-05,2.0,605,ADM,7882.74,663.87,8546.61,421.84,21.17,443.01,4769057.7,401641.35,5170699.05,8875.397354,4285.41,1543.53,90.46,123.53,27.51,0,140.38,6210.82,234.71,78.64,43.51,270.12,15.72,0,786.2,231.67,275.69,92.31,4.59,0,281.46,1671.92,5306.32,1853.84,409.66,485.96,47.82,0,7460.9,642.7,8103.6,0,0,0,0,0,0,0
NC,2018-2019,010,010308,Alamance-Burlington Schools,Altamahaw-Ossipee Elementary,3700030,3700030,34100100130100.0,370003000002,622.0,KG-05,2.0,613,ADM,8475.49,506.57,8982.06,421.84,21.17,443.01,5195475.37,310527.41,5506002.77999999,9310.847354,4675.5,1777.02,90.46,71.84,27.51,0,140.38,6782.71,156.43,56.5,46.96,214.81,10.7,0,780.43,240.39,266.8,120.1,3.6,0,281.46,1692.78,5612.36,2073.91,404.22,406.75,41.81,0,8053.65,485.4,8539.05,0,0,0,0,0,0,0
NC,2018-2019,010,010347,Alamance-Burlington Schools,Audrey W. Garrett Elementary,3700030,3700030,34100100130100.0,370003002501,625.0,PK-05,2.0,609,ADM,8414.76,1724.9,10139.66,421.84,21.17,443.01,5124588.84,1050464.1,6175052.93999999,10468.44735,4578.94,1737.88,90.46,48.7,27.51,0,140.38,6623.87,775.49,345.16,48.29,523.6,11.19,0,849.06,270.22,197.76,188.69,3.7,0,281.46,1790.89,6203.49,2353.26,336.51,760.99,42.4,0,7992.92,1703.73,9696.65,0,0,0,0,0,0,0
NC,2018-2019,010,010346,Alamance-Burlington Schools,B. Everett Jordan Elementary,3700030,3700030,34100100130100.0,370003000003,373.0,KG-05,2.0,377,ADM,9169.17,1140.56,10309.73,421.84,21.17,443.01,3456777.09,429991.12,3886768.21,10638.51735,5013.14,1959.42,91,39.29,27.51,0,140.38,7270.74,490.38,202.88,53.57,317.21,55.35,0,815.27,254.51,354.48,180.27,12.44,0,281.46,1898.43,6318.79,2416.81,499.05,536.77,95.3,0,8747.33,1119.38999999999,9866.72,0,0,0,0,0,0,0
NC,2018-2019,010,010310,Alamance-Burlington Schools,Broadview Middle,3700030,3700030,34100100130100.0,370003000196,761.0,06-08,3.0,758,ADM,7899.48,2056.46,9955.94,421.84,21.17,443.01,5987805.84,1558796.68,7546602.52,10284.72735,3398.61,1316.69,153.28,63.22,27.51,0,140.38,5099.69,924.42,346.8,121.41,631.33,11.33,0,1300.78,414.49,483.8,308.9,10.36,0,281.46,2799.79,5623.81,2077.98,758.49,1003.45,49.2,0,7477.63999999999,2035.29,9512.93,0,0,0,0,0,0,0
NC,2018-2019,010,010311,Alamance-Burlington Schools,Career and Technical Education Center,3700030,3700030,34100100130100.0,370003003171,0.0,09-12,4.0,983,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,0,0,0,1,0
