state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,27002,3151,Alexander Public School District,Alexander Elementary School,3801760,3801760,35502780100000.0,380176000003,172.0,PK-06,2.0,146,September Count,10875.77,297.22,11172.99,1587862.42,43394.12,1631256.54,14718.27515,0,0,0,0,0,0,0
ND,2018-2019,27002,3153,Alexander Public School District,Alexander High School,3801760,3801760,35502780100000.0,380176000004,96.0,07-12,4.0,96,September Count,10875.77,297.22,11172.99,1044073.92,28533.12,1072607.04,14718.27515,1,1,1,1,1,0,0
ND,2018-2019,25014,3891,Anamoose Public School District,Anamoose Elementary School,3801950,3801950,35502500100000.0,380195000007,85.0,PK-06,2.0,85,September Count,12913.78,2006.68,14920.47,1097671.3,170567.8,1268239.95,18047.05882,0,0,0,0,0,0,0
ND,2018-2019,8039,4861,Apple Creek Public School District,Apple Creek Elementary School,3802014,3802014,35500800100000.0,380201400012,52.0,PK-06,2.0,52,September Count,14453.46,45.82,14499.28,751579.919999999,2382.64,753962.56,13846.15385,0,0,0,0,0,0,0
ND,2018-2019,26009,5391,Ashley Public School District,Ashley Elementary School,3802170,3802170,35502600300000.0,380217000013,73.0,PK-06,2.0,69,September Count,12709.56,463.64,13173.21,876959.64,31991.16,908951.49,16466.3835,0,0,0,0,0,0,0
ND,2018-2019,26009,5393,Ashley Public School District,Ashley High School,3802170,3802170,35502600300000.0,380217000014,70.0,07-12,4.0,70,September Count,12709.56,463.64,13173.21,889669.2,32454.8,922124.7,16466.3835,1,1,1,1,1,0,0
ND,2018-2019,15010,7721,Bakker Public School District,Bakker Elementary School,3802240,3802240,35501500100000.0,380224000016,11.0,KG-08,3.0,11,September Count,23065.44,0,23065.44,253719.84,0,253719.84,27090.90909,0,0,0,0,0,0,0
ND,2018-2019,2007,94631,Barnes County North Public School District,Barnes County North Elementary School,3800060,3800060,35500210100000.0,380006000701,179.0,PK-08,3.0,153,September Count,10624.62,382.25,11006.87,1625566.86,58484.25,1684051.11,15122.84538,1,1,1,1,1,0,0
ND,2018-2019,2007,94633,Barnes County North Public School District,Barnes County North High School,3800060,3800060,35500210100000.0,380006000702,82.0,09-12,4.0,82,September Count,10624.62,382.25,11006.87,871218.84,31344.5,902563.34,15122.84538,1,1,1,1,1,0,0
ND,2018-2019,17003,8503,Beach Public School District,Beach High School,3802380,3802380,35501700100000.0,380238000023,143.0,07-12,4.0,143,September Count,15458.37,0,15458.37,2210546.91,0,2210546.91,19986.02542,1,1,1,1,1,0,0
ND,2018-2019,17003,52781,Beach Public School District,Lincoln Elementary School,3802380,3802380,35501700100000.0,380238000024,141.0,PK-06,2.0,123,September Count,13053.65,0,13053.65,1605598.95,0,1605598.95,17581.30542,1,1,1,1,1,0,0
ND,2018-2019,40007,84611,Belcourt Public School District,TINY TURTLES PRESCHOOL,3802530,3802530,35504070100000.0,380253000856,32.0,PK-PK,1.0,32,September Count,4446,25064,29510,142272,802048,944320,32344.52552,0,0,0,0,0,0,0
ND,2018-2019,40007,85651,Belcourt Public School District,Turtle Mountain Community Elementary School,3802530,3802530,35504070100000.0,380253000750,,PK-05,2.0,690,September Count,8532.89,7470.1,16002.99,5887694.1,5154369,11042063.1,18837.51552,1,1,1,1,1,0,0
