state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NE,enrollmetric,pp_stloc_raw_NE,pp_fed_raw_NE,pp_total_raw_NE,schoolstloc_raw_NE,schoolfed_raw_NE,schooltot_raw_NE,pp_total_norm_NERDS,pp_schsalary_raw_NE,pp_schbenefits_raw_NE,pp_schbuildcontents_raw_NE,pp_stloc_operational_NE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NE,2018-2019,10090,8,ADAMS CENTRAL PUBLIC SCHOOLS,ADAMS CENTRAL EARLY CHILDHOOD CENTER,3102770,3102770,28500180100000.0,310277002372,97.0,PK-PK,1.0,97,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
NE,2018-2019,10090,7,ADAMS CENTRAL PUBLIC SCHOOLS,ADAMS CENTRAL ELEMENTARY SCHOOL,3102770,3102770,28500180100000.0,310277002370,456.0,PK-06,2.0,450.76,ADM,10330,238,12224,4656350.8,107280.88,5510090.24,11911.0,6348,2881,1656,10752.2224687194,0,0,1,1,0,0,0
NE,2018-2019,10090,1,ADAMS CENTRAL PUBLIC SCHOOLS,ADAMS CENTRAL JR-SR HIGH SCH,3102770,3102770,28500180100000.0,310277000003,452.0,07-12,4.0,448.76,ADM,14726,0,17299,6608439.76,0,7763099.24,16986.0,8674,3492,2573,15150.1041982351,0,0,1,1,0,0,0
NE,2018-2019,90010,2,AINSWORTH COMMUNITY SCHOOLS,AINSWORTH ELEMENTARY SCHOOL,3102790,3102790,28500900800000.0,310279000005,145.0,PK-04,2.0,143.29,ADM,15975,917,19000,2289057.75,131396.93,2722510,18725.0,9417,4014,2108,15975,0,0,1,1,0,0,0
NE,2018-2019,90010,1,AINSWORTH COMMUNITY SCHOOLS,AINSWORTH HIGH SCHOOL,3102790,3102790,28500900800000.0,310279000006,133.0,09-12,4.0,134.04,ADM,18657,227,21008,2500784.28,30427.0799999999,2815912.32,20733.0,10290,4512,2124,18657,0,0,1,1,0,0,0
NE,2018-2019,90010,11,AINSWORTH COMMUNITY SCHOOLS,AINSWORTH LITTLE PAWS PRESCHOOL,3102790,3102790,28500900800000.0,310279002242,37.0,PK-PK,1.0,37,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
NE,2018-2019,90010,3,AINSWORTH COMMUNITY SCHOOLS,AINSWORTH MIDDLE SCHOOL,3102790,3102790,28500900800000.0,310279000202,114.0,05-08,3.0,118.04,ADM,15309,269,17706,1807074.36,31752.76,2090016.24,17431.0,8572,3713,2128,15309,0,0,1,1,0,0,0
NE,2018-2019,284015,1,ALEGENT/IMMANUEL RTC,ALEGENT/IMMANUEL RTC,3100181,3100181,,310018102199,0.0,PK-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,1
NE,2018-2019,260070,2,ALLEN CONSOLIDATED SCHOOLS,ALLEN ELEMENTARY SCHOOL,3102880,3102880,28502600100000.0,310288000009,80.0,PK-06,2.0,67.74,ADM,18270,712,19798,1237609.79999999,48230.88,1341116.51999999,19249.0,10985,3849,816,18270,0,0,1,1,0,0,0
NE,2018-2019,260070,1,ALLEN CONSOLIDATED SCHOOLS,ALLEN HIGH SCHOOL,3102880,3102880,28502600100000.0,310288000010,83.0,07-12,4.0,81.39,ADM,22016,1028,23766,1791882.24,83668.92,1934314.74,23217.0,12623,4238,722,22016,0,0,1,1,0,0,0
