state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NH,enrollmetric,pp_stloc_raw_NH,pp_fed_raw_NH,pp_total_raw_NH,schoolstloc_raw_NH,schoolfed_raw_NH,schooltot_raw_NH,pp_total_norm_NERDS,pp_total_operational_NH,pp_stloc_operational_NH,pp_fed_operational_NH,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NH,2018-2019,9,22580,Allenstown,Allenstown Elementary School,3301380,3301380,30500700100000,330138000001,197.0,KG-04,2.0,191.93,Adjusted ADM,,,21883.0346480487,3945315.96,127347.44,4072663.4,21454.5316791273,21219.5248267597,20556.0150054707,663.509821289011,0,0,1,0,0,0,0
NH,2018-2019,9,22575,Allenstown,Armand R. Dupont School,3301380,3301380,30500700100000,330138000002,158.0,05-08,3.0,158.03,Adjusted ADM,,,18672.7487185977,2563083.8,193885.34,2756969.14,17680.8661195953,17445.8592672277,16218.9698158577,1226.88945136999,0,0,1,0,0,0,0
NH,2018-2019,15,22480,Alton,Alton Central School (Elem),3301440,3301440,30500100100000,330144000003,426.0,PK-08,3.0,410.74,Adjusted ADM,,,23871.9246968885,9276367.17,264393.59,9540760.76,24327.1450201298,23228.2240833617,22584.5234698349,643.700613526805,0,0,1,0,0,0,0
NH,2018-2019,17,21745,Amherst,Amherst Middle School,3301470,3301470,30500600100000,330147000007,637.0,05-08,3.0,641.63,Adjusted ADM,,,20245.9667721272,12529365.42,230527.12,12759892.54,19851.3517569961,19886.6831974814,19527.3996228355,359.283574645823,0,0,1,0,0,0,0
NH,2018-2019,17,21750,Amherst,Clark-Wilkins School,3301470,3301470,30500600100000,330147000006,681.0,PK-04,2.0,672.34,Adjusted ADM,,,19242.1581045304,12364146.68,286562.95,12650709.63,18780.6093484012,18815.9407888865,18389.7234732427,426.21731564387,0,0,1,0,0,0,0
NH,2018-2019,19,22130,Andover,Andover Elementary School,3301500,3301500,30500700200000,330150000008,234.0,KG-08,3.0,234.01,Adjusted ADM,,,18479.2145634801,3960239.0,182041.0,4142280.0,,17701.2948164608,16923.3750694414,777.919747019358,0,0,1,0,0,1,1
NH,2018-2019,23,20010,Ashland,Ashland Elementary School,3301560,3301560,30500500200000,330156000010,150.0,KG-08,3.0,157.05,Adjusted ADM,,,21807.0769181789,3151258.93,136771.25,3288030.18,19955.998608978,20936.199808978,20065.3226997771,870.877109200891,0,0,1,0,0,0,0
NH,2018-2019,29,20530,Auburn,Auburn Village School,3301590,3301590,30500800200000,330159000011,618.0,KG-08,3.0,589.96,Adjusted ADM,,,14269.8520747169,7832226.51,293207.71,8125434.22,15582.0666709217,13772.8561597396,13275.8602447623,496.995914977286,0,0,1,0,0,0,0
NH,2018-2019,31,22485,Barnstead,Barnstead Elementary School,3301620,3301620,30500100200000,330162000012,481.0,PK-08,3.0,473.87,Adjusted ADM,,,19231.7219279549,8065844.67,523745.7,8589590.37,19077.7296317455,18126.4700656298,17021.2182033047,1105.25186232511,0,0,1,0,0,0,0
NH,2018-2019,33,22045,Barrington,Barrington Elementary School,3301650,3301650,30500900100000,330165000013,393.0,01-04,2.0,397.21,Adjusted ADM,,,17125.1659575539,6264778.31,268754.43,6533532.74,17927.0872265719,16448.5605599053,15771.9551622567,676.605397648599,0,0,1,0,0,0,0
