state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,574,574001,ABQ Collegiate,ABQ Collegiate,3500181,3500181,,350018101134.0,38.0,KG-01,1.0,38,First Reporting Period MEM,14254.74,13114.73,27369.47,14254.74,13114.73,27369.47,0,0,0,541680.12,498359.74,1040039.86,,0,0,0,0,0,1,1
NM,2018-2019,516,516001,ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,3500122,3500122,,350012201071.0,658.0,01-12,4.0,658,First Reporting Period MEM,5721.04,323.43,6044.47,5721.04,323.43,6044.47,0,0,0,3764444.32,212816.94,3977261.26,6504.559271,0,0,0,0,0,0,0
NM,2018-2019,579,579001,ACES TECHNICAL CHARTER SCHOOL,ACES TECHNICAL CHARTER SCHOOL,3500185,3500185,,350018501150.0,,,0.0,NRD,First Reporting Period MEM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,0,0,0,1,0
NM,2018-2019,46,46004,Alamogordo,Academy Del Sol,3500030,3500030,32501900100000.0,350003000799.0,152.0,10-12,4.0,152,First Reporting Period MEM,7946.241316,909.8430071,8856.084323,5178.524605,646.9005729,5825.425178,2767.716711,262.9424342,3030.659145,1207828.680032,138296.1370792,1346124.81709599,9342.588899,0,0,0,0,0,0,0
NM,2018-2019,46,46015,Alamogordo,Alamogordo High,3500030,3500030,32501900100000.0,350003000001.0,1564.0,09-12,4.0,1564,First Reporting Period MEM,7764.43368899999,846.7881337,8611.221823,4996.716969,583.8456657,5580.562635,2767.71672,262.942468,3030.659188,12143574.2895959,1324376.6411068,13467950.931172,9097.726399,0,0,0,0,0,0,0
NM,2018-2019,46,46028,Alamogordo,Buena Vista,3500030,3500030,32501900100000.0,350003000002.0,256.0,KG-05,2.0,256,First Reporting Period MEM,7307.023379,994.9474509,8301.97083,4539.30666,732.00499,5271.31165,2767.716719,262.9424609,3030.65918,1870597.985024,254706.5474304,2125304.53248,8788.475406,0,0,0,0,0,0,0
NM,2018-2019,46,46033,Alamogordo,Chaparral Middle,3500030,3500030,32501900100000.0,350003000003.0,658.0,06-08,3.0,658,First Reporting Period MEM,8025.76384499999,858.6474292,8884.411274,5258.047128,595.7049672,5853.752095,2767.716717,262.942462,3030.659179,5280952.61001,564990.0084136,5845942.618292,9370.91585,0,0,0,0,0,0,0
NM,2018-2019,46,46144,Alamogordo,Desert Star,3500030,3500030,32501900100000.0,350003000012.0,567.0,KG-05,2.0,566,First Reporting Period MEM,5908.091558,1514.1015568,7422.193115,3140.374844,1251.159091,4391.533935,2767.716714,262.9424658,3030.65918,3343979.821828,856981.4811488,4200961.30309,7908.697691,0,0,0,0,0,0,0
NM,2018-2019,46,46056,Alamogordo,Heights,3500030,3500030,32501900100000.0,350003000004.0,332.0,KG-05,2.0,332,First Reporting Period MEM,7163.305161,852.804470999999,8016.109632,4395.588444,589.8620052,4985.450449,2767.716717,262.9424658,3030.659183,2378217.313452,283131.084371999,2661348.397824,8502.614208,0,0,0,0,0,0,0
NM,2018-2019,46,46057,Alamogordo,High Rolls,3500030,3500030,32501900100000.0,350003000005.0,28.0,KG-05,2.0,28,First Reporting Period MEM,12565.7435689999,726.9953974,13292.73897,9798.026783,464.0529316,10262.07971,2767.716786,262.9424658,3030.659252,351840.819931999,20355.8711272,372196.69116,13779.24355,0,0,0,0,0,0,0
