state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NV,enrollmetric,pp_stloc_raw_NV,pp_fed_raw_NV,pp_total_raw_NV,schoolstloc_raw_NV,schoolfed_raw_NV,schooltot_raw_NV,pp_total_norm_NERDS,pp_perfed_raw_NV,pp_nonperfed_raw_NV,pp_perstloc_raw_NV,pp_nonperstloc_raw_NV,pp_personnel_raw_NV,pp_nonpersonnel_raw_NV,pp_instruction_raw_NV,pp_noninstruction_raw_NV,pp_nonperson_instruction_fed_raw_NV,pp_nonperson_instruction_stloc_raw_NV,pp_nonperson_instructionsupport_fed_raw_NV,pp_nonperson_instructionsupport_stloc_raw_NV,pp_nonperson_leadership_fed_raw_NV,pp_nonperson_leadership_stloc_raw_NV,pp_nonperson_operations_fed_raw_NV,pp_nonperson_operations_stloc_raw_NV,pp_person_instruction_fed_raw_NV,pp_person_instruction_stloc_raw_NV,pp_person_instructionsupport_fed_raw_NV,pp_person_instructionsupport_stloc_raw_NV,pp_person_leadership_fed_raw_NV,pp_person_leadership_stloc_raw_NV,pp_person_operations_fed_raw_NV,pp_person_operations_stloc_raw_NV,pp_total_nonperson_instructionsupport_raw_NV,pp_total_nonperson_leadership_raw_NV,pp_total_nonperson_operations_raw_NV,pp_total_person_instructionsupport_raw_NV,pp_total_person_leadership_raw_NV,pp_total_person_operations_raw_NV,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NV,2018-2019,13,13207,Carson City,Al Seeliger Elementary School,3200390,3200390,29501300100000.0,320039000282.0,580.0,PK-05,2.0,580,Student Count,10022.61,416.84,10439.45,5813113.8,241767.2,6054881,11433.96873,290.52,126.32,8758.72,1263.89,9049.24,1390.21,6476.79,442.44,25.99,416.45,98.68,336.91,0,21.18,1.65,489.35,245.17,6231.62,36.67,1059.02,0,644.87,8.68,823.21,435.59,21.18,491,1095.69,644.87,831.89,1,0,1,1,0,0,0
NV,2018-2019,13,13202,Carson City,Carson Adult Ed RG,3200390,3200390,29501300100000.0,320039000792.0,0.0,AE-AE,0.0,90,Student Count,9686.3,1533.08,11219.38,871766.999999999,137977.2,1009744.2,12213.89873,1027.47,505.61,8114.57999999999,1571.72,9142.05,2077.33,5551.09999999999,799.65,14.11,785.54,491.22,249.46,0,6.07,0.28,530.65,296.41,5254.69,726.42,878.78,0,1203.37,4.64,777.74,740.68,6.07,530.93,1605.19999999999,1203.37,782.38,1,0,1,1,0,1,0
NV,2018-2019,13,13501,Carson City,Carson High School,3200390,3200390,29501300100000.0,320039000280.0,2271.0,09-12,4.0,2271,Student Count,8554.02,500.81,9054.83,19426179.42,1137339.51,20563518.93,10049.34873,397.33,103.479999999999,7154.04,1399.98,7551.37,1503.46,4998.37,567.53,22.74,544.79,72.78,384.23,0,16.88,7.96,454.08,323.47,4674.9,68.7,1447.09,0,276.1,5.16,755.95,457.01,16.88,462.039999999999,1515.79,276.1,761.11,1,0,1,1,0,0,0
NV,2018-2019,13,13301,Carson City,Carson Middle School,3200390,3200390,29501300100000.0,320039000281.0,1215.0,06-08,3.0,1215,Student Count,8859.16,361.57,9220.73,10763879.4,439307.55,11203186.95,10215.24873,140.34,221.229999999999,7459.57,1399.59,7599.91,1620.82,5071.62,731.3,146.76,584.54,73.83,307.24,0,25.53,0.64,482.28,99.98,4971.64,33.95,1372.29,0,270.37,6.41,845.27,381.07,25.53,482.919999999999,1406.24,270.37,851.68,1,0,1,1,0,0,0
NV,2018-2019,13,13212,Carson City,Carson Montessori School (Charter),3200390,3200390,29501300100000.0,320039000569.0,281.0,KG-06,2.0,281,Student Count,7511.62,98.61,7610.23,2110765.21999999,27709.41,2138474.63,8604.748731,98.61,0,6430.7,1080.92,6529.30999999999,1080.92,5333.92999999999,189.32,0,189.32,0,98.94,0,20.06,0,772.6,98.61,5235.32,0,158.6,0,855.66,0,181.12,98.94,20.06,772.6,158.6,855.66,181.12,1,0,1,1,0,0,0
NV,2018-2019,13,13302,Carson City,Eagle Valley Middle School,3200390,3200390,29501300100000.0,320039000315.0,685.0,06-08,3.0,685,Student Count,10299.25,327.59,10626.84,7054986.25,224399.15,7279385.4,11621.35873,208.089999999999,119.5,8708.29,1590.96,8916.38,1710.46,5998.47,676.64,25.84,650.8,92.73,343.22,0,11.95,0.93,584.99,164.45,5834.02,34.7,1371.12,0,569.44,8.94,933.71,435.95,11.95,585.92,1405.82,569.44,942.65,1,0,1,1,0,0,0
NV,2018-2019,13,13203,Carson City,Edith West Fritsch Elementary School,3200390,3200390,29501300100000.0,320039000286.0,528.0,PK-05,2.0,528,Student Count,9778.78,204.47,9983.25,5163195.84,107960.16,5271156,10977.76873,101.24,103.23,8401.99,1376.79,8503.23,1480.02,5857.61,464.5,20.13,444.37,81.65,294.08,0,3.38,1.45,634.96,28.72,5828.89,65.24,1002.83,0,689.93,7.28,880.34,375.73,3.38,636.41,1068.07,689.93,887.62,1,0,1,1,0,0,0
NV,2018-2019,13,13209,Carson City,Empire Elementary School,3200390,3200390,29501300100000.0,320039000364.0,548.0,PK-05,2.0,548,Student Count,10850.5199999999,1481.28,12331.8,5946084.95999999,811741.44,6757826.39999999,13326.31873,1065.26,416.02,9248.3,1602.21999999999,10313.56,2018.24,7443.07,544.22,69.95,474.27,306.41,323.56,0,48.59,39.66,755.8,877.29,6565.78,180.83,1021.22,0,684.63,7.14,976.67,629.97,48.59,795.459999999999,1202.05,684.63,983.81,1,0,1,1,0,0,0
NV,2018-2019,13,13201,Carson City,Grace Bordewich Mildred Bray,3200390,3200390,29501300100000.0,320039000288.0,618.0,PK-05,2.0,618,Student Count,10636.69,1025.09,11661.78,6573474.42,633505.62,7206980.04,12656.29873,758.4,266.69,9249.48,1387.21,10007.88,1653.89999999999,7151.49,458.64,46.84,411.8,197.26,351.48,0,16.63,22.59,607.3,612.62,6538.87,136.41,1043.19,0,617.6,9.37,1049.82,548.74,16.63,629.89,1179.6,617.6,1059.18999999999,1,0,1,1,0,0,0
NV,2018-2019,13,13204,Carson City,J C  Fremont Elementary School,3200390,3200390,29501300100000.0,320039000285.0,531.0,PK-05,2.0,531,Student Count,10190.47,1072.59,11263.06,5411139.57,569545.29,5980684.86,12257.57873,843.42,229.17,8652.95,1537.52,9496.37,1766.69,6678.45,476.47,44.47,432,162.27,295.8,0,24.54,22.43,785.18,575.73,6102.72,261.24,879.62,0,703.59,6.45,967.02,458.07,24.54,807.609999999999,1140.86,703.59,973.47,1,0,1,1,0,0,0
NV,2018-2019,13,13211,Carson City,Mark Twain Elementary School,3200390,3200390,29501300100000.0,320039000160.0,634.0,PK-05,2.0,634,Student Count,9315.97,1447.73999999999,10763.71,5906324.98,917867.159999999,6824192.14,11758.22873,986.29,461.45,7959.98,1355.99,8946.27,1817.43999999999,6460.26,615.96,171.35,444.61,250.48,303.89,0,10.66,39.62,596.83,812.79,5647.47,166.13,994.1,0,581.19,7.37,737.22,554.37,10.66,636.45,1160.23,581.19,744.59,1,0,1,1,0,0,0
NV,2018-2019,13,13205,Carson City,Martha F Gleason Special Services Center,3200390,3200390,29501300100000.0,320039000803.0,66.0,PK-PK,1.0,66,Student Count,46279.14,5124.8,51403.94,3054423.24,338236.8,3392660.04,52398.45873,3278.74,1846.06,37070.87,9208.27,40349.61,11054.33,17929.45,1041.37,545.8,495.57,814.31,7146.02,0,84.36,485.95,1482.32,3020.82,14908.63,202.3,16227.84,0,3282.78,55.62,2651.62,7960.33,84.36,1968.27,16430.14,3282.78,2707.24,1,0,1,1,0,0,0
NV,2018-2019,13,13903,Carson City,Pioneer (Alternative) High School,3200390,3200390,29501300100000.0,320039000480.0,174.0,09-12,4.0,174,Student Count,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
NV,2018-2019,1,1902,Churchill,Churchill County Adult,3200030,3200030,29500100100000.0,320003000868.0,0.0,AE-AE,0.0,NRD,Student Count,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,1
NV,2018-2019,1,1401,Churchill,Churchill County High School,3200030,3200030,29500100100000.0,320003000001.0,985.0,09-12,4.0,985,Student Count,9315.44,316.439999999999,9631.88,9175708.4,311693.399999999,9487401.8,,169.72,146.719999999999,7913.7,1401.74,8083.42,1548.45999999999,5099.17,423.95,58.05,365.9,78.1,387.65,0,28.26,10.57,619.93,95.1,5004.07,74.62,901.85,0,819.94,0,1187.84,465.75,28.26,630.5,976.47,819.94,1187.84,1,0,1,1,0,0,1
NV,2018-2019,1,1301,Churchill,Churchill County Middle School,3200030,3200030,29500100100000.0,320003000003.0,704.0,06-08,3.0,704,Student Count,9668.35999999999,549.75,10218.1099999999,6806525.43999999,387024,7193549.43999999,,417.669999999999,132.08,8446.99999999999,1221.36,8864.66999999999,1353.43999999999,6203.19,512.37,21.86,490.51,102.78,153.24,0,15.55,7.44,562.06,313.58,5889.61,104.09,686.77,0,783.81,0,1086.81,256.02,15.55,569.5,790.86,783.81,1086.81,1,0,1,1,0,0,1
NV,2018-2019,1,1205,Churchill,E C  Best Elementary School,3200030,3200030,29500100100000.0,320003000004.0,491.0,02-03,2.0,491,Student Count,9008.16,556.22,9564.38,4423006.56,273104.02,4696110.57999999,,351.61,204.61,8095.34,912.82,8446.95,1117.43,5551.94,244.94,121.82,123.12,82.73,77.68,0,19.86,0.06,692.16,125.27,5426.67,226.34,878.96,0,539.77,0,1249.94,160.41,19.86,692.219999999999,1105.3,539.77,1249.94,1,0,1,1,0,0,1
NV,2018-2019,1,1206,Churchill,Lahontan Elementary School,3200030,3200030,29500100100000.0,320003000021.0,501.0,KG-02,2.0,501,Student Count,9392.22,531.95,9924.17,4705502.22,266506.95,4972009.17,,326.5,205.45,8441.47,950.749999999999,8767.97,1156.2,6046.46,265.14,118.54,146.6,76.48,87.35,0,11.37,10.43,705.43,101.93,5944.53,224.57,813.76,0,553.16,0,1130.02,163.829999999999,11.37,715.859999999999,1038.33,553.16,1130.02,1,0,1,1,0,0,1
NV,2018-2019,1,1202,Churchill,Northside Early Learning Center,3200030,3200030,29500100100000.0,320003000005.0,184.0,PK-PK,1.0,184,Student Count,11938.62,11004.95,22943.57,2196706.08,2024910.8,4221616.88,,10284.85,720.1,10294.81,1643.81,20579.66,2363.91,13920.88,443.37,296.47,146.9,79.42,171.86,0,6.21,344.21,1318.84,7246.88,6674,973.5,2076.01,1025.45,272.6,1039.02,1272.2,251.28,6.21,1663.05,3049.51,1298.05,2311.22,1,0,1,1,0,0,1
NV,2018-2019,1,1207,Churchill,Numa Elementary School,3200030,3200030,29500100100000.0,320003000431.0,531.0,03-06,2.0,531,Student Count,8033.26,664.29,8697.55,4265661.06,352737.99,4618399.05,,545.85,118.44,7044.22,989.04,7590.07,1107.48,5062.65,169.92,45.42,124.5,63.17,114.06,0,15.19,9.85,735.29,342.1,4720.55,203.75,767.45,0,468.5,0,1087.72,177.23,15.19,745.14,971.2,468.5,1087.72,1,0,1,1,0,0,1
NV,2018-2019,2,2093,Clark,100 Academy of Excellence Charter - Elementary,3200060,3200060,29500200100000.0,320006000670.0,348.0,PK-05,2.0,348,Student Count,7786.22,1284.87,9071.09,2709604.56,447134.759999999,3156739.32,9340.918825,660.26,624.61,4527.12,3259.1,5187.37999999999,3883.71,3441.27,352.18,96.02,256.16,0,484.22,0,12.18,528.59,2506.54,494.69,2946.58,0,1085.61,0,494.93,165.57,0,484.22,12.18,3035.13,1085.61,494.93,165.57,1,0,1,1,0,0,0
NV,2018-2019,2,2364,Clark,100 Academy of Excellence Charter - Secondary,3200060,3200060,29500200100000.0,320006000756.0,158.0,06-08,3.0,158,Student Count,7181.33,1284.87,8466.2,1134650.14,203009.46,1337659.6,8736.028825,660.26,624.61,4171.52,3009.81,4831.78,3634.42,3361.47,350.78,96.02,254.76,0,430.25,0,12.18,528.59,2312.62,494.69,2866.78,0,809.81,0,494.93,165.57,0,430.25,12.18,2841.21,809.81,494.93,165.57,1,0,1,1,0,0,0
NV,2018-2019,2,2061,Clark,Abston Sandra B ES,3200060,3200060,29500200100000.0,320006000935.0,,PK-05,2.0,NRD,Student Count,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,1,0,1,1,0,1,0
NV,2018-2019,2,2161,Clark,Addeliar Guy Elementary School,3200060,3200060,29500200100000.0,320006000458.0,550.0,PK-05,2.0,550,Student Count,10540.48,978.28,11518.76,5797264,538054,6335318,11788.58882,823.56,154.72,9259.98,1280.5,10083.54,1435.22,7051.54,440.929999999999,78.9,362.03,74.11,86.51,0,2.66,1.71,829.3,683.62,6367.92,139.87,756.35,0.07,860.19,0,1275.52,160.62,2.66,831.01,896.22,860.26,1275.52,1,0,1,1,0,0,0
NV,2018-2019,2,2420,Clark,Advanced Technologies Academy,3200060,3200060,29500200100000.0,320006000419.0,1165.0,09-12,4.0,1165,Student Count,8806.67,283.17,9089.84,10259770.55,329893.05,10589663.6,9359.668825,220.29,62.88,7361.75,1444.91999999999,7582.04,1507.79999999999,5251.6,269.15,31.84,237.31,27.97,466.71,0,3.47,3.07,737.43,161.68,5089.92,58.57,545.39,0.04,688.68,0,1037.76,494.679999999999,3.47,740.5,603.96,688.719999999999,1037.76,1,0,1,1,0,0,0
NV,2018-2019,2,2150,Clark,Aggie Roberts Elementary School,3200060,3200060,29500200100000.0,320006000436.0,675.0,PK-05,2.0,675,Student Count,8463.78999999999,405.53,8869.32,5713058.24999999,273732.75,5986791,9139.148825,243.609999999999,161.92,7475.23,988.56,7718.83999999999,1150.48,5267.37999999999,305.58,110.07,195.51,51.51,106.98,0,1.1,0.34,684.97,127.44,5139.94,116.13,670.87,0.04,698.76,0,965.66,158.49,1.1,685.31,787,698.8,965.66,1,0,1,1,0,0,0
NV,2018-2019,2,2194,Clark,Aldeane Comito Ries Elementary,3200060,3200060,29500200100000.0,320006000655.0,856.0,PK-05,2.0,856,Student Count,7957.17,419.83,8377,6811337.52,359374.48,7170712,8646.828825,154.579999999999,265.25,7006.03,951.14,7160.61,1216.38999999999,5161.66,343.7,188.44,155.26,75.07,218.37,0,1.05,1.74,576.46,40.17,5121.49,114.34,511.46,0.07,566.4,0,806.68,293.44,1.05,578.2,625.8,566.47,806.68,1,0,1,1,0,0,0
NV,2018-2019,2,2250,Clark,Andrew Mitchell Elementary School,3200060,3200060,29500200100000.0,320006000012.0,357.0,PK-05,2.0,357,Student Count,11323.22,357.77,11680.99,4042389.54,127723.89,4170113.43,11950.81882,212.09,145.68,10005.02,1318.2,10217.11,1463.88,6906.51,463.6,95.43,368.17,49.91,148.77,0,0.82,0.34,800.44,104.99,6801.52,107.06,1167.07,0.04,767.8,0,1268.63,198.68,0.82,800.78,1274.12999999999,767.839999999999,1268.63,1,0,1,1,0,0,0
NV,2018-2019,2,2115,Clark,Ann Lynch Elementary School,3200060,3200060,29500200100000.0,320006000371.0,643.0,PK-05,2.0,643,Student Count,8669.49,1508.72999999999,10178.22,5574482.07,970113.389999999,6544595.46,10448.04882,1248.22,260.51,7333.56,1335.93,8581.78,1596.44,5875.62,511.789999999999,91.78,420.01,167.09,153.42,0,0.41,1.64,762.09,715.24,5160.38,532.91,634.87,0.07,743.85,0,794.46,320.51,0.41,763.73,1167.78,743.92,794.46,1,0,1,1,0,0,0
