state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_OH,enrollmetric,pp_stloc_raw_OH,pp_fed_raw_OH,pp_total_raw_OH,pp_site_stloc_raw_OH,pp_site_fed_raw_OH,pp_site_raw_OH,pp_centshare_stloc_raw_OH,pp_centshare_fed_raw_OH,pp_centshare_raw_OH,schoolstloc_raw_OH,schoolfed_raw_OH,schooltot_raw_OH,pp_total_norm_NERDS,generaladmin_raw_OH,nonspecified_supportservices_raw_OH,schooladmin_raw_OH,cent_total_raw_OH,instruction_raw_OH,food_raw_OH,ops_maintenance_raw_OH,transportation_raw_OH,pupil_support_services_raw_OH,staff_support_services_raw_OH,pp_generaladmin_raw_OH,pp_nonspecified_supportservices_raw_OH,pp_schooladmin_raw_OH,pp_instruction_raw_OH,pp_food_raw_OH,pp_ops_maintenance_raw_OH,pp_transportation_raw_OH,pp_pupil_support_services_raw_OH,pp_staff_support_services_raw_OH,pp_noninstruction_raw_OH,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
OH,2018-2019,556,556,A+ Arts Academy - 000556 (Franklin),A+ Arts Academy - 000556 (Franklin),3900305.0,3900305.0,,390030504842.0,701.0,KG-08,3.0,685.666661,Weighted Enrollment,,,7565.80056325648,,,7565.80056325648,,,0.0,,,5187617.20999999,7556.360891,133961,548787,286716,0,3380434,396732,124135,4480,246652,65721,195.372675411441,800.369933692896,418.156965050396,4930.14227214992,578.607729623884,181.042505142305,6.53378712254466,359.725452656942,95.8492424061432,2180.08359604346,0,0,0,0,0,0,0
OH,2018-2019,13232,13232,A+ Children'S Academy - 013232 (Franklin),A+ Children's Academy - 013232 (Franklin),3901480.0,3901480.0,,390148005718.0,130.0,KG-05,2.0,127.981474,Weighted Enrollment,,,9842.95578592881,,,9842.95578592881,,,0.0,,,1259715.98999999,9675.909709,132329,149051,52945,0,592498,77066,29096,1514,78009,147209,1033.96918213334,1164.63145283043,413.689718872904,4629.55966579975,602.162778653416,227.342669924242,11.8298371840911,609.531579547208,1150.23890098343,3453.62563959842,0,0,0,0,0,0,0
OH,2018-2019,13249,13249,Academy For Urban Scholars Youngstown - 013249 (Mahoning),Academy for Urban Scholars Youngstown - 013249 (Mahoning),3901472.0,3901472.0,,390147205727.0,207.0,09-12,4.0,195.599012999999,Weighted Enrollment,,,8363.39849015495,,,8363.39849015495,,,0.0,,,1635872.48999999,8359.183563,316600,51663,57823,0,877182,57857,187053,71,87624,0,1618.61660314206,264.124952409652,295.621583734678,4484.59394833449,295.79213674253,956.309222276086,0.361300391633367,447.978743123821,0.0,3430.82579869663,0,0,0,0,0,0,0
OH,2018-2019,13195,13195,Academy Of Educational Excellence - 013195 (Lucas),Academy of Educational Excellence - 013195 (Lucas),3901502.0,3901502.0,,390150205733.0,140.0,KG-06,2.0,137.170657,Weighted Enrollment,,,10109.2627266485,,,10109.2627266485,,,0.0,,,1386694.20999999,9847.161227,0,125017,4053,0,1031118,73041,76018,77448,0,0,0.0,911.39419125185,29.546989776392,7517.04520887437,532.482686876683,554.185943718269,564.607706151031,0.0,0.0,2592.21751777422,0,0,0,0,0,0,0
OH,2018-2019,17212,17212,Academy Of Junior Scholars - 017212 (Hamilton),Academy of Junior Scholars - 017212 (Hamilton),3901601.0,3901601.0,,390160105988.0,32.0,KG-08,3.0,29.8246749999999,Weighted Enrollment,,,9043.2398676599,,,9043.2398676599,,,0.0,,,269711.689999998,9052.249555,5862,32107,0,0,177072,11312,39462,3898,0,0,196.536592603272,1076.51768208706,0.0,5937.1124748216,379.276555402531,1323.11617813102,130.680384614417,0.0,0.0,3106.1273928383,0,0,0,0,0,0,0
OH,2018-2019,11507,11507,Achieve Career Preparatory Academy - 011507 (Lucas),Achieve Career Preparatory Academy - 011507 (Lucas),3901362.0,3901362.0,,390136205524.0,158.0,09-12,4.0,144.583272,Weighted Enrollment,,,10061.9256285747,,,10061.9256285747,,,0.0,,,1454786.12999999,9936.696958,203706,95687,246167,0,494832,76333,219868,3819,85235,29139,1408.91879940301,661.815773542599,1702.59696432931,3422.4704777742,527.949042403743,1520.70206296064,26.4105933361364,589.524837977107,201.537076848004,5848.39323597543,0,0,0,0,0,0,0
OH,2018-2019,17275,17275,Achievepoint Career Academy - Cincinnati - 017275 (Hamilton),AchievePoint Career Academy - Cincinnati - 017275 (Hamilton),3901602.0,3901602.0,,390160205984.0,72.0,09-12,4.0,60.33462,Weighted Enrollment,,,11505.3538084767,,,11505.3538084767,,,0.0,,,694171.149999999,11502.97673,42790,21108,0,0,630273,0,0,0,0,0,709.215206791722,349.851876087062,0.0,10446.286725598,0.0,0.0,0.0,0.0,0.0,1059.06708287878,0,0,0,0,0,0,0
OH,2018-2019,17280,17280,Achievepoint Career Academy - Columbus - 017280 (Franklin),AchievePoint Career Academy - Columbus - 017280 (Franklin),,,,,,,,35.9797329999999,Weighted Enrollment,,,11387.1092373031,,,11387.1092373031,,,0.0,,,409705.149999998,,36254,14272,0,0,359179,0,0,0,0,0,1007.62365301599,396.658863477391,0.0,9982.82672080974,0.0,0.0,0.0,0.0,0.0,1404.28251649338,0,0,0,0,0,0,0
OH,2018-2019,45187,59,Ada Exempted Village - 045187 (Hardin),Ada Elementary School - 000059 (Hardin),3904518.0,3904518.0,36503300100000.0,390451802112.0,464.0,PK-06,2.0,470.981419999999,Weighted Enrollment,,,11284.1924847056,,,10151.5313066914,,,1132.66117801419,,,5314644.99999997,11378.79712,0,0,301564,533462,3390497,167364,385112,201832,237414,97400,0.0,0.0,640.288931142973,7198.79134510231,355.350960553815,817.679580650973,428.535970697103,504.082687593068,206.801830951208,2241.85544304486,0,0,0,0,0,0,0
OH,2018-2019,45187,67,Ada Exempted Village - 045187 (Hardin),Ada High School - 000067 (Hardin),3904518.0,3904518.0,36503300100000.0,390451802113.0,401.0,07-12,4.0,367.279254999999,Weighted Enrollment,,,12476.9420750431,,,11344.2751891881,,,1132.66688585501,,,4582521.98999998,12571.54671,0,0,281218,416005,2694202,144947,601173,105369,248575,91032,0.0,0.0,765.680245131187,7335.5691434301,394.651911390966,1636.82735089407,286.889658388138,676.80114413214,247.855735821507,3084.04916580436,0,0,0,0,0,0,0
OH,2018-2019,61903,33936,Adams County Ohio Valley Local - 061903 (Adams),North Adams Elementary School - 033936 (Adams),3906190.0,3906190.0,36500180100000.0,390619004109.0,704.0,PK-06,2.0,709.344855,Weighted Enrollment,,,12281.584124551,,,11351.9334823398,,,929.650642211254,,,8711878.50999998,12345.1651,0,3831,494412,659443,5840099,337835,461242,443950,325772,145295,0.0,5.40075814041112,696.998274555751,8233.08857297623,476.263622155968,650.236801957208,625.858828566537,459.257211360192,204.829412627515,2454.75828537587,0,0,0,0,0,0,0
OH,2018-2019,61903,33944,Adams County Ohio Valley Local - 061903 (Adams),North Adams High School - 033944 (Adams),3906190.0,3906190.0,36500180100000.0,390619004105.0,534.0,07-12,4.0,527.043547999999,Weighted Enrollment,,,11767.9961808393,,,10838.3452784436,,,929.65090239564,,,6202246.45999998,11831.57715,0,2846,406994,489967,3750295,214585,500514,457693,271183,108170,0.0,5.40073018785916,772.221729199502,7115.72038825148,407.14800667667,949.662550465376,868.415355309502,514.53704542836,205.23947292492,3002.8483718389,0,0,0,0,0,0,0
OH,2018-2019,61903,70425,Adams County Ohio Valley Local - 061903 (Adams),Ohio Valley Career & Technical Center - 070425 (Adams),3906190.0,3906190.0,36500180100000.0,390619004234.0,250.0,11-12,4.0,226.383496,Weighted Enrollment,,,13662.3898148475,,,12732.747355399,,,929.642459448543,,,3092939.56999998,13725.97079,0,1223,240273,210456,2212712,35769,60287,142511,142055,47655,0.0,5.40070288516083,1061.35369514745,9774.1748364907,157.99990119421,266.306868942424,629.509493925297,627.495345332062,210.506511481736,2120.57066209454,0,0,0,0,0,0,0
