state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_OK,enrollmetric,pp_stloc_raw_OK,pp_fed_raw_OK,pp_total_raw_OK,schoolstloc_raw_OK,schoolfed_raw_OK,schooltot_raw_OK,pp_total_norm_NERDS,pp_total_localonly_raw_OK,pp_total_stateonly_raw_OK,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
OK,2018-2019,55J002,986,ACADEMY OF SEMINOLE CHARTER,ACADEMY OF SEMINOLE CHARTER,4000803,4000803,,400080302873,29.0,09-12,4,29.0,October Count Day,20510.17,13979.56,34489.73,594794.93,405407.24,1000202.17,34517.24138,19488.65,1021.52,1,0,1,0,0,0,0
OK,2018-2019,07I003,105,ACHILLE,ACHILLE ES,4002370,4002370,37500700100000.0,400237000001,243.0,PK-08,3,243.0,October Count Day,7742.97,1383.78,9126.76,1881541.71,336258.54,2217802.68,9738.321059,6877.34,865.63,1,0,1,0,0,0,0
OK,2018-2019,07I003,705,ACHILLE,ACHILLE HS,4002370,4002370,37500700100000.0,400237000002,78.0,09-12,4,78.0,October Count Day,14263.98,1452.52,15716.49,1112590.44,113296.56,1225886.22,16328.05106,13186.88,1077.1,1,0,1,0,0,0,0
OK,2018-2019,62I019,105,ADA,ADA EC CTR,4002430,4002430,37506200100000.0,400243000005,359.0,PK-KG,1,359.0,October Count Day,8308.0,699.97,9007.96,2982572.0,251289.23,3233857.63999999,9199.288334,7290.43,1017.57,1,0,1,0,0,0,0
OK,2018-2019,62I019,705,ADA,ADA HS,4002430,4002430,37506200100000.0,400243000003,538.0,10-12,4,538.0,October Count Day,9892.14,1085.58,10977.72,5321971.32,584042.039999999,5906013.35999999,11169.04833,8881.79,1010.35,1,0,1,0,0,0,0
OK,2018-2019,62I019,610,ADA,ADA JHS,4002430,4002430,37506200100000.0,400243000725,526.0,07-09,3,526.0,October Count Day,8521.25,1268.92,9790.16,4482177.5,667451.92,5149624.16,9981.488334,7670.34,850.91,1,0,1,0,0,0,0
OK,2018-2019,62I019,110,ADA,HAYES ES,4002430,4002430,37506200100000.0,400243000006,385.0,01-02,2,385.0,October Count Day,6743.17,1054.17,7797.33,2596120.45,405855.45,3001972.05,7988.658334,5766.69,976.48,1,0,1,0,0,0,0
OK,2018-2019,62I019,125,ADA,WASHINGTON ES,4002430,4002430,37506200100000.0,400243000007,379.0,03-04,2,379.0,October Count Day,7082.13,913.81,7995.95,2684127.27,346333.99,3030465.05,8187.278334,6285.85,796.28,1,0,1,0,0,0,0
OK,2018-2019,62I019,130,ADA,WILLARD ES,4002430,4002430,37506200100000.0,400243000008,364.0,05-06,2,364.0,October Count Day,7814.37,965.82,8780.19,2844430.68,351558.48,3195989.16,8971.518334,6845.44,968.93,1,0,1,0,0,0,0
OK,2018-2019,46I002,705,ADAIR,ADAIR HS,4002460,4002460,37504900100000.0,400246000009,258.0,09-12,4,258.0,October Count Day,10880.89,609.07,11489.96,2807269.61999999,157140.06,2964409.67999999,11953.95084,10064.98,815.91,1,0,1,0,0,0,0
OK,2018-2019,46I002,505,ADAIR,ADAIR MS,4002460,4002460,37504900100000.0,400246000010,252.0,06-08,3,252.0,October Count Day,7043.75,820.1,7863.85,1775025.0,206665.2,1981690.2,8327.840844,6343.06,700.69,1,0,1,0,0,0,0
OK,2018-2019,46I002,105,ADAIR,BERNITA HUGHES ES,4002460,4002460,37504900100000.0,400246000011,556.0,PK-05,2,556.0,October Count Day,5753.42,977.3,6730.73,3198901.52,543378.799999999,3742285.88,7194.720844,5144.93,608.49,1,0,1,0,0,0,0
OK,2018-2019,58I026,105,AFTON,AFTON ES,4002520,4002520,37505800100000.0,400252000013,356.0,PK-08,3,356.0,October Count Day,7645.83,1438.84,9084.67,2721915.48,512227.04,3234142.52,9817.032558,6723.81,922.02,1,0,1,0,0,0,0
OK,2018-2019,58I026,705,AFTON,AFTON HS,4002520,4002520,37505800100000.0,400252000014,160.0,09-12,4,160.0,October Count Day,8098.15,1395.33,9493.49,1295704.0,223252.8,1518958.4,10225.85256,7345.93,752.22,1,0,1,0,0,0,0
OK,2018-2019,41I134,105,AGRA,AGRA ES,4002550,4002550,37504100100000.0,400255000015,166.0,PK-06,2,166.0,October Count Day,7581.94,1938.26,9520.21,1258602.04,321751.16,1580354.85999999,10344.45949,6618.69,963.25,1,0,1,0,0,0,0
OK,2018-2019,41I134,705,AGRA,AGRA HS,4002550,4002550,37504100100000.0,400255000016,101.0,09-12,4,101.0,October Count Day,10230.3699999999,2934.08,13164.46,1033267.36999999,296342.08,1329610.46,13988.70949,9195.48,1034.89,1,0,1,0,0,0,0
OK,2018-2019,41I134,605,AGRA,AGRA JHS,4002550,4002550,37504100100000.0,400255002852,47.0,07-08,3,47.0,October Count Day,6831.71,2598.51,9430.22,321090.37,122129.97,443220.339999999,10254.46949,6543.37,288.34,1,0,1,0,0,0,0
OK,2018-2019,64C002,105,ALBION,ALBION PUBLIC SCHOOL,4002580,4002580,37506400100000.0,400258000017,45.0,PK-08,3,45.0,October Count Day,13197.48,1978.79,15176.27,593886.6,89045.55,682932.15,15266.66667,11692.7,1504.78,1,0,1,0,0,0,0
OK,2018-2019,26I056,105,ALEX,ALEX ES,4002670,4002670,37502600200000.0,400267000019,222.0,PK-08,3,222.0,October Count Day,12401.05,1735.05,14136.1,2753033.09999999,385181.1,3138214.2,,11464.92,936.13,1,0,1,0,0,0,1
OK,2018-2019,26I056,715,ALEX,ALEX HS,4002670,4002670,37502600200000.0,400267029673,103.0,09-12,4,103.0,October Count Day,21392.2399999999,512.12,21904.36,2203400.71999999,52748.36,2256149.08,,20011.53,1380.71,1,0,1,0,0,0,1
OK,2018-2019,44I004,105,ALINE-CLEO,ALINE-CLEO ES,4002720,4002720,37504700500000.0,400272000022,98.0,PK-08,3,98.0,October Count Day,10554.31,1464.71,12019.01,1034322.38,143541.58,1177862.98,12505.39077,9570.06,984.25,1,0,1,0,0,0,0
OK,2018-2019,44I004,705,ALINE-CLEO,ALINE-CLEO HS,4002720,4002720,37504700500000.0,400272000023,32.0,09-12,4,32.0,October Count Day,20794.53,2265.08,23059.61,665424.96,72482.56,737907.52,23545.99077,18785.34,2009.19,1,0,1,0,0,0,0
OK,2018-2019,62I001,105,ALLEN,ALLEN ES,4002760,4002760,37506200300000.0,400276000024,378.0,PK-08,3,378.0,October Count Day,6594.18,2377.79,8971.97,2492600.04,898804.62,3391404.65999999,9505.945104,5731.54,862.64,1,0,1,0,0,0,0
OK,2018-2019,62I001,705,ALLEN,ALLEN HS,4002760,4002760,37506200300000.0,400276000025,153.0,09-12,4,153.0,October Count Day,9545.57,3029.95,12575.52,1460472.21,463582.35,1924054.56,13109.4951,8526.58,1018.99,1,0,1,0,0,0,0
OK,2018-2019,19C035,105,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,4002790,4002790,37501900100000.0,400279000027,330.0,PK-08,3,330.0,October Count Day,8223.6,984.13,9207.74,2713788.0,324762.9,3038554.19999999,9275.757576,7906.1,317.5,1,0,1,0,0,0,0
OK,2018-2019,33I018,150,ALTUS,ALTUS EARLY CHILDHOOD CENTER,4002850,4002850,37503300100000.0,400285000039,392.0,PK-KG,1,392.0,October Count Day,6902.89,1267.62,8170.51,2705932.88,496907.04,3202839.92,8497.724717,6130.38,772.51,1,0,1,0,0,0,0
OK,2018-2019,33I018,160,ALTUS,ALTUS ES,4002850,4002850,37503300100000.0,400285000037,380.0,03-04,2,380.0,October Count Day,6050.75999999999,1877.56,7928.32,2299288.8,713472.799999999,3012761.6,8255.534717,5266.65,784.11,1,0,1,0,0,0,0
OK,2018-2019,33I018,705,ALTUS,ALTUS HS,4002850,4002850,37503300100000.0,400285000030,869.0,09-12,4,869.0,October Count Day,8275.93,1155.38,9431.31,7191783.17,1004025.22,8195808.39,9758.524717,7397.85,878.08,1,0,1,0,0,0,0
OK,2018-2019,33I018,145,ALTUS,ALTUS INTERMEDIATE SCHOOL,4002850,4002850,37503300100000.0,400285002365,471.0,05-06,2,471.0,October Count Day,6219.11,1502.48,7721.6,2929200.81,707668.08,3636873.6,8048.814717,5528.36,690.75,1,0,1,0,0,0,0
OK,2018-2019,33I018,625,ALTUS,ALTUS JHS,4002850,4002850,37503300100000.0,400285000036,434.0,07-08,3,434.0,October Count Day,7789.46999999999,1372.91,9162.37,3380629.97999999,595842.94,3976468.58,9489.584717,7020.82,768.65,1,0,1,0,0,0,0
OK,2018-2019,33I018,155,ALTUS,ALTUS PRIMARY SCHOOL,4002850,4002850,37503300100000.0,400285000035,451.0,01-02,2,451.0,October Count Day,6160.33,1726.11,7886.44,2778308.83,778475.61,3556784.44,8213.654717,5356.87,803.46,1,0,1,0,0,0,0
