state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_OR,enrollmetric,pp_stloc_raw_OR,pp_fed_raw_OR,pp_total_raw_OR,schoolstloc_raw_OR,schoolfed_raw_OR,schooltot_raw_OR,pp_total_norm_NERDS,direct_class_expenditures_raw_OR,class_support_raw_OR,building_support_raw_OR,central_support_raw_OR,other_expenditure_raw_OR,direct_support_support_raw_OR,esd_internal_raw_OR,dist_notes_raw_OR,ode_notes_raw_OR,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
OR,2018-2019,2063,498,Adel SD 21,Adel Elementary School,4100990.0,4100990.0,38501900100000.0,410099000524.0,8.0,04-08,3.0,6.394117647058,ADM,,,35214.2611221926,,,225164.12846952,,74117.7444453992,17577.6667529465,41787.4717837084,14187.4628102267,49390.4261121574,28103.3565650817,0,No notes provided,Expenditure data incorrectly reported. No expenses reported specifically at the school; only proportional expenses reported at district are reflected.,0,0,1,1,0,0,1
OR,2018-2019,2113,707,Adrian SD 61,Adrian Elementary School,4101020.0,4101020.0,38502300100000.0,410102000755.0,206.0,KG-08,3.0,200.73999999998,ADM,,,14074.1956375502,,,2825254.03228154,,1327750.50456592,287444.688185692,803397.698931033,130028.010267836,126134.274317453,150498.856013607,0,No notes provided,No notes provided,0,0,1,1,0,0,1
OR,2018-2019,2113,708,Adrian SD 61,Adrian High School,4101020.0,4101020.0,38502300100000.0,410102000756.0,89.0,09-12,4.0,88.524097142789,ADM,,,21201.5170817401,,,1876845.15771846,,851634.445434079,435570.461814308,410307.231068967,57340.8997321641,55623.805682547,66368.3139863929,0,No notes provided,No notes provided,0,0,1,1,0,0,1
OR,2018-2019,1899,17,Alsea SD 7J,Alsea Charter School,4101200.0,4101200.0,38500200200000.0,410120000019.0,226.0,KG-12,4.0,281.82210274774,ADM,,,13716.824167834,,,3865704.22999999,14234.5132743363,1606105.35,382639.31,1335671.82,220488.35,177565.4,143234,0,No notes provided,No notes provided,0,0,1,1,0,0,0
OR,2018-2019,2252,1208,Amity SD 4J,Amity Elementary School,4101230.0,4101230.0,38503600100000.0,410123001260.0,335.0,KG-05,2.0,329.507352179365,ADM,,,11182.77159343,,,3684805.45777773,9719.93894755617,1961485.84,511241.890029423,713983.320374734,195966.501390299,121242.110784556,180885.795198711,0,No notes provided,No notes provided,0,0,1,1,0,0,0
OR,2018-2019,2252,1210,Amity SD 4J,Amity High School,4101230.0,4101230.0,38503600100000.0,410123001263.0,257.0,09-12,4.0,246.234187069774,ADM,,,15693.2484171428,,,3864214.26647917,14230.4157712689,1798980.43,869153.361203867,819773.837913668,146441.807272578,94692.5298698701,135172.300219204,0,No notes provided,No notes provided,0,0,1,1,0,0,0
OR,2018-2019,2252,1209,Amity SD 4J,Amity Middle School,4101230.0,4101230.0,38503600100000.0,410123001320.0,207.0,06-08,3.0,205.885841037969,ADM,,,11864.8824710943,,,2442811.3063779,10402.0498252204,1195169.8,468225.202429169,468192.334892681,122445.607623491,75755.6205741625,113022.740858407,0,No notes provided,No notes provided,0,0,1,1,0,0,0
OR,2018-2019,2252,4505,Amity SD 4J,Eola Hills Charter School,4101230.0,4101230.0,38503600100000.0,410123001653.0,38.0,01-12,4.0,38.2689047082942,ADM,,,2011.40512766752,,,76974.2711604826,548.572481793693,0,461.805368596773,18663.9010013277,22759.5023847629,14081.0296145409,21008.0327912543,0,No notes provided,Expenditure data incorrectly reported. No expenses reported specifically at the school; only proportional expenses reported at district are reflected.,0,0,1,1,0,1,0
OR,2018-2019,2111,705,Annex SD 29,Annex Charter School,4101350.0,4101350.0,38502300300000.0,410135000753.0,91.0,KG-08,3.0,89.762195121934,ADM,,,20618.9046364485,,,1850798.14117743,,961103.47,184061.15,361579.14,51409.51,235686.91,56957.9611774421,0,No notes provided,No notes provided,0,0,1,1,0,0,1
OR,2018-2019,2005,323,Arlington SD 3,Arlington Community Charter School,4101470.0,4101470.0,38501100100000.0,410147000343.0,163.0,KG-12,4.0,163.805555555543,ADM,,,23406.2938436161,,,3834080.96654982,,1417193.42006068,531458.653790664,1186965.44448172,187310.904567673,291387.167111075,219765.376538009,0,No notes provided,No notes provided,0,0,1,1,0,0,1
