state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_PA,enrollmetric,pp_stloc_raw_PA,pp_fed_raw_PA,pp_total_raw_PA,schoolstloc_raw_PA,schoolfed_raw_PA,schooltot_raw_PA,pp_total_norm_NERDS,perlocal_raw_PA,nonperlocal_raw_PA,perstate_raw_PA,nonperstate_raw_PA,perfed_raw_PA,nonperfed_raw_PA,pp_personnel_raw_PA,pp_nonpersonnel_raw_PA,pp_perfed_raw_PA,pp_perstloc_raw_PA,pp_perstate_raw_PA,pp_perlocal_raw_PA,pp_nonperfed_raw_PA,pp_nonperstloc_raw_PA,pp_nonperstate_raw_PA,pp_nonperlocal_raw_PA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
PA,2018-2019,124150002,7691,21st Century Cyber CS,21st Century Cyber CS,4200091,4200091,,420009100597,1235.0,06-12,4,1341.89,ADM,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
PA,2018-2019,103020407,5273,A W Beattie Career Center,A W BEATTIE CAREER CENTER,4280010,4280010,39500290100000.0,428001007041,0.0,09-12,4,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,1,0,1,1,1
PA,2018-2019,119350303,5091,Abington Heights SD,Abington Heights HS,4202010,4202010,39503500100000.0,420201005091,1031.0,09-12,4,1018.11,ADM,14359.55,285.57,14645.1199999999,14619606.3,290738.56,14910344.86,13348.32605,7254736.95,2806453.37,3286898.25,1271517.73,209640.38,81098.1799999999,10751275.58,4159069.28,205.91,10354.1199999999,3228.43,7125.69,79.66,4005.43,1248.9,2756.53,0,0,1,0,1,0,0
PA,2018-2019,119350303,6839,Abington Heights SD,Abington Heights MS,4202010,4202010,39503500100000.0,420201006839,1119.0,05-08,3,1119.02,ADM,14179.77,281.99,14461.76,15867448.55,315554.26,16183002.81,13164.96605,7873957.95,3045995.46,3567448.25,1380046.89,227534.03,88020.23,11668940.2299999,4514062.58,203.33,10224.49,3188.01,7036.48,78.66,3955.27999999999,1233.26,2722.02,0,0,1,0,1,0,0
PA,2018-2019,119350303,7570,Abington Heights SD,Clarks Summit El Sch,4202010,4202010,39503500100000.0,420201000371,339.0,KG-04,2,333.922,ADM,14395.66,286.29,14681.95,4807028.65,95596.87,4902625.52,13385.15605,2385408.17,922781.47,1080755.1,418083.91,68931.22,26665.65,3535094.49,1367531.02999999,206.43,10380.16,3236.55,7143.61,79.86,4015.5,1252.04,2763.46,0,0,1,0,1,0,0
PA,2018-2019,119350303,2407,Abington Heights SD,Newton-Ransom Sch,4202010,4202010,39503500100000.0,420201002407,253.0,KG-04,2,250.696,ADM,14310.3499999999,284.59,14594.9399999999,3587546.46,71345.15,3658891.61,13298.14605,1780260.38,688683.51,806581.24,312021.33,51444.24,19900.91,2638285.86,1020605.75,205.21,10318.64,3217.37,7101.27,79.38,3991.71,1244.62,2747.09,0,0,1,0,1,0,0
PA,2018-2019,119350303,6398,Abington Heights SD,South Abington Sch,4202010,4202010,39503500100000.0,420201006398,259.0,KG-04,2,262.452,ADM,13993.52,278.289999999999,14271.81,3672626.61,73037.14,3745663.75,12975.01605,1822479.99,705015.93,825709.65,319421.039999999,52664.27,20372.87,2700853.91,1044809.84,200.66,10090.19,3146.14,6944.05,77.63,3903.33,1217.06,2686.27,0,0,1,0,1,0,0
PA,2018-2019,119350303,2402,Abington Heights SD,Waverly Sch,4202010,4202010,39503500100000.0,420201002402,356.0,KG-04,2,359.258,ADM,14051.43,279.44,14330.87,5048089.08,100390.81,5148479.89,13034.07605,2505030.41,969056.64,1134952.26,439049.77,72387.95,28002.86,3712370.62,1436109.27,201.49,10131.95,3159.16,6972.79,77.95,3919.48,1222.1,2697.38,0,0,1,0,1,0,0
PA,2018-2019,123460302,3242,Abington SD,Abington JHS,4202040,4202040,39504600100000.0,420204003242,1960.0,07-09,3,1973.98,ADM,16638.84,325.78,16964.62,32844728.58,643095.8,33487824.38,16661.3736,29253237.6099999,3591490.97,0,0,424547.9,218547.9,29677785.5099999,3810038.87,215.07,14819.42,0,14819.42,110.71,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,3241,Abington SD,Abington SHS,4202040,4202040,39504600100000.0,420204003241,1808.0,10-12,4,1751.22,ADM,16638.8799999999,300.599999999999,16939.4799999999,29138339.14,526418.159999999,29664757.3,16636.2336,25952132.82,3186206.32,0,0,332976.099999999,193442.06,26285108.92,3379648.38,190.14,14819.46,0,14819.46,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,7707,Abington SD,Copper Beech Sch,4202040,4202040,39504600100000.0,420204000620,1156.0,KG-06,2,1167.74,ADM,16948.27,462.43,17410.7,19791159.35,540003.51,20331162.86,17107.4536,17305225.53,2124604.52999999,361329.29,0,411013.79,128989.72,18077568.61,2253594.25,351.97,15128.85,309.43,14819.42,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,3229,Abington SD,Highland Sch,4202040,4202040,39504600100000.0,420204003229,500.0,KG-06,2,505.923,ADM,16638.86,374.26,17013.12,8417982.38,189345.11,8607327.49,16709.8736,7497496.54,920485.84,0,0,133460.26,55884.85,7630956.8,976370.69,263.8,14819.44,0,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,5075,Abington SD,McKinley Sch,4202040,4202040,39504600100000.0,420204005075,754.0,KG-06,2,755.158,ADM,16692.39,144.899999999999,16837.29,12605395.57,109423.739999999,12714819.31,16534.0436,11191020.16,1373948.7,40426.71,0,26008.09,83415.6499999999,11257454.96,1457364.34999999,34.44,14872.97,53.53,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,3232,Abington SD,Overlook Sch,4202040,4202040,39504600100000.0,420204003232,587.0,KG-06,2,582.811,ADM,16638.86,362.52,17001.38,9697311.12,211279.15,9908590.27,16698.1336,8636933.8,1060377.32,0,0,146901.16,64377.99,8783834.96,1124755.31,252.06,14819.44,0,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,3234,Abington SD,Roslyn Sch,4202040,4202040,39504600100000.0,420204003234,511.0,KG-06,2,515.538,ADM,16638.86,795.81,17434.67,8577965.04,410272.39,8988237.43,17131.4236,7639985.48,937979.56,0,0,353325.45,56946.94,7993310.93,994926.5,685.35,14819.44,0,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,3226,Abington SD,Rydal East Sch,4202040,4202040,39504600100000.0,420204003226,636.0,KG-06,2,641.591,ADM,16638.86,254.68,16893.54,10675343.36,163399.83,10838743.19,16590.2936,9508020.59999999,1167322.76,0,0,92528.93,70870.8999999999,9600549.53,1238193.66,144.22,14819.44,0,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,123460302,4910,Abington SD,Willow Hill Sch,4202040,4202040,39504600100000.0,420204004910,425.0,KG-06,2,436.527,ADM,16638.86,578.18,17217.04,7263312,252391.04,7515703.04,16913.7936,6469086.54999999,794225.45,0,0,204171.75,48219.29,6673258.3,842444.74,467.72,14819.44,0,14819.44,110.46,1819.42,0,1819.42,0,0,1,0,1,0,0
PA,2018-2019,125230001,7824,Achievement House CS,Achievement House CS,4200128,4200128,,420012800843,494.0,07-12,4,572.841,ADM,14073.04,856.11,14929.15,8061612,490417,8552029,13706.41923,4626061,3408583,14173,12795,302243,188174,4942477,3609552,527.62,8100.38999999999,24.74,8075.65,328.49,5972.65,22.34,5950.31,0,0,1,0,1,0,0
PA,2018-2019,126514368,8217,ACT Academy Cyber CS,ACT ACADEMY CYBER CS,4200868,4200868,,420086807433,76.0,09-12,4,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,1,0,1,1,1
PA,2018-2019,126510015,7825,Ad Prima CS,Ad Prima CS,4200129,4200129,,420012900846,634.0,KG-08,3,628.143,ADM,11955.16,1081.15999999999,13036.32,7509548,679125,8188673,12861.75691,2942625,4532447,34476,0,421335,257790,3398436,4790237,670.76,4739.53,54.89,4684.64,410.4,7215.63,0,7215.63,0,0,1,0,1,0,0
PA,2018-2019,108110307,6661,Admiral Peary AVTS,ADMIRAL PEARY AVTS,4280120,4280120,39501191200000.0,428012007053,0.0,09-12,4,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,1,0,1,1,1
PA,2018-2019,126510020,7858,Agora Cyber CS,Agora Cyber CS,4200140,4200140,,420014000896,5499.0,KG-12,4,5795.38,ADM,15312.89,896.339999999999,16209.23,,5194669,,,52937952,35508469,,297616,3673140,1521529,,37327614,633.8,9134.51,0,9134.51,262.54,6178.38,51.35,6127.03,0,0,1,0,1,1,1
