state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_SC,enrollmetric,pp_stloc_raw_SC,pp_fed_raw_SC,pp_total_raw_SC,schoolstloc_raw_SC,schoolfed_raw_SC,schooltot_raw_SC,pp_total_norm_NERDS,ppperstloc_raw_SC,ppperfed_raw_SC,ppnonperstloc_raw_SC,ppnonperfed_raw_SC,pppersonnel_raw_SC,ppnonpersonnel_raw_SC,avg_adminsalary_current_raw_SC,avg_adminsalary_previous_raw_SC,avg_teachersalary_current_raw_SC,avg_teachersalary_previous_raw_SC,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
SC,2018-2019,160,995,Abbeville County School Dist,Abbeville County Career Center,4500690,4500690,41500100100000.0,450069001188,0.0,10-12,4,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
SC,2018-2019,160,1,Abbeville County School Dist,Abbeville High School,4500690,4500690,41500100100000.0,450069000011,479.0,09-12,4,466,ADM,10237,834,11071,4770442,388644,5159086,11797.1759,8601,492,1636,341,9093,1977,78916,76236,51261,51193,0,0,1,1,0,0,0
SC,2018-2019,160,18,Abbeville County School Dist,Cherokee Trail Elementary,4500690,4500690,41500100100000.0,450069000065,446.0,PK-07,3,440,ADM,7956,1121,9077,3500640,493240,3993880,9803.175899,7039,663,918,457,7702,1375,78916,76236,51650,53536,0,0,1,1,0,0,0
SC,2018-2019,160,19,Abbeville County School Dist,Diamond Hill,4500690,4500690,41500100100000.0,450069000066,318.0,PK-07,3,348,ADM,8412,1173,9585,2927376,408204,3335580,10311.1759,7283,717,1129,456,8000,1585,78916,76236,52255,51401,0,0,1,1,0,0,0
SC,2018-2019,160,3,Abbeville County School Dist,Dixie High School,4500690,4500690,41500100100000.0,450069000012,451.0,08-12,4,435,ADM,9359,806,10165,4071165,350610,4421775,10891.1759,7862,464,1497,342,8326,1839,78916,76236,50201,49858,0,0,1,1,0,0,0
SC,2018-2019,160,7,Abbeville County School Dist,John C. Calhoun Elementary School,4500690,4500690,41500100100000.0,450069000002,176.0,PK-05,2,173,ADM,12294,2471,14765,2126862,427483,2554345,15491.1759,10750,1653,1544,818,12403,2362,78916,76236,54236,52087,0,0,1,1,0,0,0
SC,2018-2019,160,20,Abbeville County School Dist,Long Cane Primary,4500690,4500690,41500100100000.0,450069000071,402.0,PK-02,2,412,ADM,8129,1643,9772,3349148,676916,4026064,10498.1759,7148,1211,981,432,8359,1413,78916,76236,47853,47005,0,0,1,1,0,0,0
SC,2018-2019,160,17,Abbeville County School Dist,Westwood Elementary,4500690,4500690,41500100100000.0,450069001379,365.0,03-05,2,355,ADM,8403,1750,10153,2983065,621250,3604315,10879.1759,7288,1211,1115,539,8499,1654,78916,76236,50575,48337,0,0,1,1,0,0,0
SC,2018-2019,160,16,Abbeville County School Dist,Wright Middle/Abbeville County School District,4500690,4500690,41500100100000.0,450069000010,375.0,06-08,3,370,ADM,9970,1143,11112,3688900,422910,4111440,11838.1759,8583,600,1387,542,9183,1929,78916,76236,53216,52361,0,0,1,1,0,0,0
SC,2018-2019,201,63,Aiken County Public School District,A. L. Corbett Middle School,4500720,4500720,41500200100000.0,450072001702,194.0,06-08,3,191,ADM,,,,,,,,,,,,,,86838,83214,59032,58420,0,0,1,1,0,1,0
SC,2018-2019,201,995,Aiken County Public School District,Aiken County Career Center,4500720,4500720,41500200100000.0,450072000058,0.0,10-12,4,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,0,0,1,1,0,1,0
SC,2018-2019,201,16,Aiken County Public School District,Aiken Elementary School,4500720,4500720,41500200100000.0,450072001189,727.0,PK-05,2,729,ADM,8235,1091,9326,6003315,795339,6798654,10082.56916,7377,756,859,335,8133,1194,86838,83214,57086,53493,0,0,1,1,0,0,0
SC,2018-2019,201,2,Aiken County Public School District,Aiken High School,4500720,4500720,41500200100000.0,450072000046,1345.0,09-12,4,1292,ADM,8862,808,9670,11449704,1043936,12493640,10426.56916,7612,507,1250,301,8119,1551,86838,83214,55333,53879,0,0,1,1,0,0,0
