state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TN,enrollmetric,pp_stloc_raw_TN,pp_fed_raw_TN,pp_total_raw_TN,pp_site_stloc_raw_TN,pp_site_fed_raw_TN,pp_site_raw_TN,pp_centshare_stloc_raw_TN,pp_centshare_fed_raw_TN,pp_centshare_raw_TN,schoolstloc_raw_TN,schoolfed_raw_TN,schooltot_raw_TN,pp_total_norm_NERDS,ppnutritionsite_raw_TN,ppnutritioncent_raw_TN,countenroll,noaudit,nositecent,adfinvars,distflex,flag_nerds,flag_f33
TN,2018-2019,985,8050,Achievement School District,Aspire Coleman,4700147,4700147,43000000030100.0,470014701034,614.0,PK-07,3.0,612,ADA,10518.484375,58.0553512573242,11177.005715203,6124.36928104575,1226.42810457516,8049.67810457516,4394.11479387294,-1168.37275434947,3127.32761062785,6437312.5,35529.875,6840327.49770425,10916.98458,698.880718954248,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8025,Achievement School District,Aspire Hanley Elementary,4700147,4700147,43000000030100.0,470014702324,564.0,PK-08,3.0,544,ADA,10296.2841796875,-95.7275314331055,10889.0022429808,5902.16911764706,1072.64522058824,7761.67463235294,4394.11479387294,-1168.37275434947,3127.32761062785,5601178.5,-52075.77734375,5923617.22018155,10637.88206,786.860294117647,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8024,Achievement School District,Aspire Hanley Middle School,4700147,4700147,43000000030100.0,470014702356,238.0,PK-08,3.0,238,ADA,10919.732421875,-64.956787109375,11533.941056006,6525.61764705882,1103.41596638655,8406.61344537815,4394.11479387294,-1168.37275434947,3127.32761062785,2598896.25,-15459.7158203125,2745077.97132943,11262.88857,777.579831932773,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8005,Achievement School District,Brick Church: A LEAD Public School,4700147,4700147,43000000030100.0,470014702309,302.0,05-08,3.0,302,ADA,12969.4326171875,401.792816162109,13272.8110543365,8575.3178807947,1570.16556291391,10145.4834437086,4394.11479387294,-1168.37275434947,3127.32761062785,3916768.75,121341.4296875,4008388.93840961,12948.01751,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8010,Achievement School District,Cornerstone Prep - Lester Campus,4700147,4700147,43000000030100.0,470014702295,418.0,PK-08,3.0,375,ADA,11661.0771484375,305.019256591797,11867.6822772945,7266.96266666667,1473.392,8740.35466666667,4394.11479387294,-1168.37275434947,3127.32761062785,4372904,114382.21875,4450380.85398544,11586.31527,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8115,Achievement School District,Cornerstone Prep Denver Campus,4700147,4700147,43000000030100.0,470014701046,613.0,PK-07,3.0,589,ADA,10480.9130859375,981.999084472656,11364.4973899148,6086.79796264856,2150.37181663837,8237.16977928693,4394.11479387294,-1168.37275434947,3127.32761062785,6173257.5,578397.4375,6693688.96265981,11098.68168,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,5,Achievement School District,Corning Achievement Elementary,4700147,4700147,43000000030100.0,470014702289,143.0,PK-05,2.0,124,ADA,10335.1875,114.175636291504,10350.9485783698,5941.07258064516,1282.54838709677,7223.62096774194,4394.11479387294,-1168.37275434947,3127.32761062785,1281563.25,14157.7783203125,1283517.62371785,10116.45734,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8055,Achievement School District,Fairley High School,4700147,4700147,43000000030100.0,470014701058,526.0,09-12,4.0,526,ADA,9764.31640625,128.55500793457,9794.45688819439,5370.20152091255,1296.92775665399,6667.12927756654,4394.11479387294,-1168.37275434947,3127.32761062785,5136030.5,67619.9296875,5151884.32319025,9577.164437,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,15,Achievement School District,Frayser Achievement Elementary,4700147,4700147,43000000030100.0,470014702314,265.0,PK-05,2.0,245,ADA,9150.951171875,176.206832885742,9228.74393715847,4756.83673469388,1344.57959183673,6101.41632653061,4394.11479387294,-1168.37275434947,3127.32761062785,2241983,43170.67578125,2261042.26460382,9028.935261,0,-98.4144288956127,0,0,0,0,0,0,0
TN,2018-2019,985,8075,Achievement School District,Freedom Preparatory Academy Charter Elementary School,4700147,4700147,43000000030100.0,470014702368,558.0,PK-05,2.0,537,ADA,10877.35546875,-103.540351867676,10675.4002363262,6483.24022346369,1064.83240223464,7548.07262569832,4394.11479387294,-1168.37275434947,3127.32761062785,5841139.5,-55601.16796875,5732689.92690716,10430.88158,0,-98.4144288956127,0,0,0,0,0,0,0
