state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TX,enrollmetric,pp_stloc_raw_TX,pp_fed_raw_TX,pp_total_raw_TX,pp_site_stloc_raw_TX,pp_site_fed_raw_TX,pp_site_raw_TX,pp_centshare_stloc_raw_TX,pp_centshare_fed_raw_TX,pp_centshare_raw_TX,schoolstloc_raw_TX,schoolfed_raw_TX,schooltot_raw_TX,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
TX,2018-2019,57816,57816102,A W BROWN LEADERSHIP ACADEMY,GENESIS CAMPUS PRE-K THRU 5,4800095,4800095,,480009510550.0,1193.0,PK-05,2.0,1193,October Count Day,4698.35633405357,506.382229673093,5204.73856372666,3290.70662196144,506.382229673093,3797.08885163453,1407.64971209213,0,1407.64971209213,5605139.10652591,604114,6209253.10652591,4699.583381,1,0,0,0,1,0,0
TX,2018-2019,57816,57816101,A W BROWN LEADERSHIP ACADEMY,QUEST CAMPUS KINDER THRU 8,4800095,4800095,,480009508166.0,891.0,KG-08,3.0,891,October Count Day,11430.7585785343,1944.81818181818,13375.5767603525,10023.1088664422,1944.81818181818,11967.9270482603,1407.64971209213,0,1407.64971209213,10184805.893474,1732833,11917638.893474,12873.88412,1,0,0,0,1,0,0
TX,2018-2019,57829,57829001,A+ ACADEMY,A+ ACADEMY EL,4800203,4800203,,480020308758.0,823.0,PK-06,2.0,823,October Count Day,9012.94753049955,1436.66828675577,10449.6158172553,8303.26974483596,1436.66828675577,9739.93803159173,709.677785663591,0,709.677785663591,7417655.81760113,1182378,8600033.81760113,9763.811984,1,0,0,0,1,0,0
TX,2018-2019,57829,57829002,A+ ACADEMY,A+ SECONDARY SCHOOL,4800203,4800203,,480020313579.0,586.0,07-12,4.0,586,October Count Day,8312.54979931546,1464.05631399317,9776.60611330864,7602.87201365187,1464.05631399317,9066.92832764505,709.677785663591,0,709.677785663591,4871154.18239886,857937,5729091.18239886,9090.51708,1,0,0,0,1,0,0
TX,2018-2019,101871,101871041,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - MUSEUM DI,4801453,4801453,,480145313374.0,106.0,06-08,3.0,106,October Count Day,6779.48322851153,195.023480083857,6974.50670859538,4025.59433962264,176.867924528301,4202.46226415094,2753.88888888888,18.1555555555555,2772.04444444444,718625.222222222,20672.4888888888,739297.711111111,7395.439333,1,0,0,0,1,0,0
TX,2018-2019,101871,101871102,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - UNIVERSIT,4801453,4801453,,480145313369.0,74.0,06-08,3.0,74,October Count Day,13185.9834834834,2563.99339339339,15749.9768768768,10432.0945945945,2545.83783783783,12977.9324324324,2753.88888888888,18.1555555555555,2772.04444444444,975762.777777777,189735.511111111,1165498.28888888,16174.62827,1,0,0,0,1,0,0
TX,2018-2019,109901,109901001,ABBOTT ISD,ABBOTT SCHOOL,4807380,4807380,44510900100000.0,480738000006.0,277.0,PK-12,4.0,277,October Count Day,9713.76173285198,851.252707581227,10565.0144404332,6605.51985559566,362.649819494584,6968.16967509025,3108.24187725631,488.602888086642,3596.84476534296,2690712,235797,2926509,10285.94546,1,0,0,0,1,0,0
TX,2018-2019,95901,95901003,ABERNATHY ISD,ABERNATHY DAEP,4807410,4807410,44509500100000.0,480741009626.0,,08-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,1,0,0,0,1,1,0
TX,2018-2019,95901,95901101,ABERNATHY ISD,ABERNATHY EL,4807410,4807410,44509500100000.0,480741000007.0,354.0,PK-05,2.0,352,October Count Day,8759.93349059359,804.931489541949,9564.86498013554,5437.57102272727,320.360795454545,5757.93181818181,3322.36246786632,484.570694087403,3806.93316195372,3083496.58868894,283335.884318766,3366832.47300771,9524.462449,1,0,0,0,1,0,0
TX,2018-2019,95901,95901001,ABERNATHY ISD,ABERNATHY H S,4807410,4807410,44509500100000.0,480741000008.0,238.0,09-12,4.0,238,October Count Day,14154.1439804713,626.394223499168,14780.5382039705,10831.781512605,141.823529411764,10973.6050420168,3322.36246786632,484.570694087403,3806.93316195372,3368686.26735218,149081.825192802,3517768.09254498,14742.34591,1,0,0,0,1,0,0
