state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VA,enrollmetric,pp_stloc_raw_VA,pp_fed_raw_VA,pp_total_raw_VA,pp_site_stloc_raw_VA,pp_site_fed_raw_VA,pp_site_raw_VA,pp_centshare_stloc_raw_VA,pp_centshare_fed_raw_VA,pp_centshare_raw_VA,schoolstloc_raw_VA,schoolfed_raw_VA,schooltot_raw_VA,pp_total_norm_NERDS,distexclu_raw_VA,disttotwexclu_raw_VA,schoolexclu_raw_VA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VA,2018-2019,268,10,A. LINWOOD HOLTON GOV SCH,A. LINWOOD HOLTON GOV. SCH.,5100033,5100033,,510003301933,0.0,UG-UG,0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,0,0,0,0,0,1,0
VA,2018-2019,1,701,Accomack County Public Schools,Accawmacke Elementary,5100060,5100060,47100100130100.0,510006001737,502.0,PK-05,2,504.05,ADM,9273,949,10222,6543,853,7396,2730,96,2826,4674055.65,478343.45,5152251,10797.91837,37983903.33,91431225.33,42090,0,0,0,0,0,0,0
VA,2018-2019,1,540,Accomack County Public Schools,Arcadia High,5100060,5100060,47100100130100.0,510006002028,656.0,09-12,4,661.08,ADM,9785,334,10119,7055,238,7293,2730,96,2826,6468667.8,220800.72,6689178,10694.91837,37983903.33,91431225.33,5347,0,0,0,0,0,0,0
VA,2018-2019,1,704,Accomack County Public Schools,Arcadia Middle,5100060,5100060,47100100130100.0,510006002434,535.0,06-08,3,536.54,ADM,8994,917,9910,6264,821,7085,2730,96,2826,4825640.76,492007.18,5317337,10485.91837,37983903.33,91431225.33,2775,0,0,0,0,0,0,0
VA,2018-2019,1,541,Accomack County Public Schools,BADGER VOC ED CTR - NORTH,5100060,5100060,47100100130100.0,510006001988,0.0,,0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,37983903.33,91431225.33,NRD,0,0,0,0,0,1,0
VA,2018-2019,1,71,Accomack County Public Schools,BADGER VOC ED CTR - SOUTH,5100060,5100060,47100100130100.0,510006002004,0.0,,0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,37983903.33,91431225.33,NRD,0,0,0,0,0,1,0
VA,2018-2019,1,80,Accomack County Public Schools,Chincoteague Elementary,5100060,5100060,47100100130100.0,510006000006,244.0,PK-05,2,234.57,ADM,11037,392,11429,8307,296,8603,2730,96,2826,2588949.09,91951.44,2680827,12004.91837,37983903.33,91431225.33,1835,0,0,0,0,0,0,0
VA,2018-2019,1,580,Accomack County Public Schools,Chincoteague High,5100060,5100060,47100100130100.0,510006000007,293.0,06-12,4,288.87,ADM,11661,381,12042,8931,285,9216,2730,96,2826,3368513.07,110059.47,3478485,12617.91837,37983903.33,91431225.33,4667,0,0,0,0,0,0,0
VA,2018-2019,1,600,Accomack County Public Schools,Kegotank Elementary,5100060,5100060,47100100130100.0,510006000009,582.0,PK-05,2,591.32,ADM,9562,897,10458,6832,801,7633,2730,96,2826,5654201.84,530414.04,6184098,11033.91837,37983903.33,91431225.33,2071,0,0,0,0,0,0,0
VA,2018-2019,1,702,Accomack County Public Schools,Metompkin Elementary,5100060,5100060,47100100130100.0,510006001738,581.0,PK-05,2,595.31,ADM,8508,1033,9541,5778,937,6715,2730,96,2826,5064897.47999999,614955.23,5679757,10116.91837,37983903.33,91431225.33,2578,0,0,0,0,0,0,0
