state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VT,enrollmetric,pp_stloc_raw_VT,pp_fed_raw_VT,pp_total_raw_VT,schoolstloc_raw_VT,schoolfed_raw_VT,schooltot_raw_VT,pp_total_norm_NERDS,su_id_raw_VT,su_name_raw_VT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VT,2018-2019,U055,PS076,Addison Central Unified School District,BINGHAM MEMORIAL SCHOOL,5000402.0,5000402,46500180200000.0,500040200095,88.0,PK-06,2.0,76,October Count Day,13010,397,13407,988760,30172,1018932,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS043,Addison Central Unified School District,BRIDPORT CENTRAL SCHOOL,5000402.0,5000402,46500180200000.0,500040200052,81.0,PK-06,2.0,58,October Count Day,18254,557,18811,1058732,32306,1091038,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS179,Addison Central Unified School District,MIDDLEBURY ID#4,5000402.0,5000402,46500180200000.0,500040200187,538.0,PK-06,2.0,433,October Count Day,13370,408,13778,5789210,176664,5965874,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS180,Addison Central Unified School District,MIDDLEBURY UNION HIGH SCHOOL,5000402.0,5000402,46500180200000.0,500040200189,524.0,09-12,4.0,524,October Count Day,13572,414,13986,7111728,216936,7328664,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS366,Addison Central Unified School District,MIDDLEBURY UNION MIDDLE SCHOOL #3,5000402.0,5000402,46500180200000.0,500040200469,271.0,07-08,3.0,271,October Count Day,14587,445,15032,3953077,120595,4073672,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS244,Addison Central Unified School District,RIPTON ELEMENTARY SCHOOL,5000402.0,5000402,46500180200000.0,500040200259,55.0,PK-06,2.0,46,October Count Day,17819,543,18362,819674,24978,844652,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS259,Addison Central Unified School District,SALISBURY COMMUNITY SCHOOL,5000402.0,5000402,46500180200000.0,500040200445,106.0,PK-06,2.0,90,October Count Day,16791,512,17303,1511190,46080,1557270,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS268,Addison Central Unified School District,SHOREHAM ELEMENTARY SCHOOL,5000402.0,5000402,46500180200000.0,500040200288,102.0,PK-06,2.0,81,October Count Day,14589,445,15034,1181709,36045,1217754,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U055,PS336,Addison Central Unified School District,WEYBRIDGE ELEMENTARY SCHOOL,5000402.0,5000402,46500180200000.0,500040200376,62.0,PK-06,2.0,55,October Count Day,15008,458,15466,825440,25190,850630,,SU003,ADDISON CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U054,PS002,Addison Northwest Unified School District,ADDISON CENTRAL SCHOOL,5000398.0,5000398,46500180300000.0,500039800001,79.0,PK-06,2.0,66,October Count Day,15125,723,15848,998250,47718,1045968,,SU002,ADDISON NORTHWEST SU,1,0,1,0,0,0,1
VT,2018-2019,U054,PS108,Addison Northwest Unified School District,FERRISBURGH CENTRAL SCHOOL,5000398.0,5000398,46500180300000.0,500039800133,157.0,PK-06,2.0,122,October Count Day,15825,756,16581,1930650,92232,2022882,,SU002,ADDISON NORTHWEST SD,1,0,1,0,0,0,1
VT,2018-2019,U054,PS311,Addison Northwest Unified School District,VERGENNES UES #44,5000398.0,5000398,46500180300000.0,500039800349,264.0,PK-06,2.0,229,October Count Day,11903,569,12472,2725787,130301,2856088,,SU002,ADDISON NORTHWEST SD,1,0,1,0,0,0,1
VT,2018-2019,U054,PS312,Addison Northwest Unified School District,VERGENNES UHS #5,5000398.0,5000398,46500180300000.0,500039800350,470.0,07-12,4.0,470,October Count Day,11590,554,12144,5447300,260380,5707680,,SU002,ADDISON NORTHWEST SD,1,0,1,0,0,0,1
VT,2018-2019,T003,PS010,Alburg School District,ALBURGH COMMUNITY ED CENTER,5001770.0,5001770,46500700100000.0,500177000004,222.0,PK-08,3.0,187,October Count Day,12463,0,12463,2330581,0,2330581,,SU024,GRAND ISLE SU,1,0,1,0,0,1,1
VT,2018-2019,T005,PS011,Arlington School District,ARLINGTON MEMORIAL HIGH SCHOOL,5001830.0,5001830,46500200400000.0,500183000005,200.0,06-12,4.0,200,October Count Day,12607,0,12607,2521400,0,2521400,14434.52736,SU060,BATTENKILL VALLEY SU,1,0,1,0,0,0,0
VT,2018-2019,T005,PS109,Arlington School District,FISHER SCHOOL,5001830.0,5001830,46500200400000.0,500183000006,201.0,PK-05,2.0,159,October Count Day,16226,0,16226,2579934,0,2579934,18053.52736,SU060,BATTENKILL VALLEY SU,1,0,1,0,0,0,0
VT,2018-2019,T009,PS017,Barnard School District,BARNARD ACADEMY,5001950.0,5001950,46501400500000.0,500195000011,82.0,PK-06,2.0,60,October Count Day,15056,0,15056,903360,0,903360,18283.31707,SU051,WINDSOR CENTRAL SU,1,0,1,0,0,0,0
VT,2018-2019,U097,PS381,Barre Unified Union School District #97,BARRE CITY ELEM/MIDDLE SCHOOL,5002010.0,5000445,46501200100000.0,500044500055,,PK-08,3.0,770,October Count Day,11549,0,11549,8892730,0,8892730,12930.46861,SU061,BARRE SU,1,0,1,0,0,0,0
VT,2018-2019,U097,PS020,Barre Unified Union School District #97,BARRE TOWN ELEMENTARY SCHOOL,5002040.0,5000445,46501200200000.0,500044500024,,PK-08,3.0,691,October Count Day,10377,0,10377,7170507,0,7170507,11934.51897,SU061,BARRE SU,1,0,1,0,0,0,0
VT,2018-2019,U097,VC002,Barre Unified Union School District #97,Central Vermont Career Center,,5000445,,500044500119,,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,0
VT,2018-2019,U097,PS276,Barre Unified Union School District #97,SPAULDING UHS #41,,5000445,46501220100000.0,500044500419,,09-12,4.0,669,October Count Day,11126,0,11126,7443294,0,7443294,,SU061,BARRE SU,1,0,1,0,0,0,0
VT,2018-2019,U049,PS021,Barstow Unified School District,BARSTOW MEMORIAL SCHOOL,5000390.0,5000390,46501190600000.0,500039009274,210.0,PK-08,3.0,186,October Count Day,11220,0,11220,2086920,0,2086920,12423.06306,SU036,RUTLAND NORTHEAST SU,1,0,1,0,0,0,0
VT,2018-2019,U027,PS025,Bellows Falls UHSD #27,BELLOWS FALLS UHS #27,5008246.0,5008246,46501390100000.0,500824600346,332.0,09-12,4.0,332,October Count Day,0,0,0,0,0,0,,SU047,WINDHAM NORTHEAST SU,1,0,1,0,0,1,1
VT,2018-2019,U021,PS036,Blue Mountain USD #21,BLUE MOUNTAIN US #21,5008224.0,5008224,46500920100000.0,500822400334,405.0,PK-12,4.0,369,October Count Day,12429,629,13058,4586301,232101,4818402,,SU027,ORANGE EAST SU,1,0,1,0,0,1,1
VT,2018-2019,T030,PS044,Brighton School District,BRIGHTON ELEMENTARY SCHOOL,5002610.0,5002610,46500500300000.0,500261000054,101.0,PK-08,3.0,87,October Count Day,13065,808,13873,1136655,70296,1206951,,SU031,NORTH COUNTRY SU,1,0,1,0,0,1,1
VT,2018-2019,T037,PS052,Burlington School District,BURLINGTON SENIOR HIGH SCHOOL,5002820.0,5002820,46500400500000.0,500282000063,945.0,09-12,4.0,945,October Count Day,10891,960,11851,10291995,907200,11199195,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,VC004,Burlington School District,Burlington Technical Center,5002820.0,5002820,46500400500000.0,500282000080,0.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,1
VT,2018-2019,T037,PS080,Burlington School District,C P SMITH SCHOOL,5002820.0,5002820,46500400500000.0,500282000064,280.0,PK-05,2.0,280,October Count Day,11905,1050,12955,3333400,294000,3627400,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS065,Burlington School District,CHAMPLAIN ELEMENTARY SCHOOL,5002820.0,5002820,46500400500000.0,500282000065,675.0,PK-05,2.0,305,October Count Day,11113,980,12093,3389465,298900,3688365,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS094,Burlington School District,EDMUNDS ELEMENTARY SCHOOL,5002820.0,5002820,46500400500000.0,500282000071,295.0,PK-05,2.0,295,October Count Day,12445,1097,13542,3671275,323615,3994890,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS095,Burlington School District,EDMUNDS MIDDLE SCHOOL,5002820.0,5002820,46500400500000.0,500282000066,407.0,06-08,3.0,407,October Count Day,12332,1088,13420,5019124,442816,5461940,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS337,Burlington School District,INTEGRATED ARTS ACAD AT HO WHEELER,5002820.0,5002820,46500400500000.0,500282000073,291.0,PK-05,2.0,266,October Count Day,13540,1194,14734,3601640,317604,3919244,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS155,Burlington School District,J J FLYNN SCHOOL,5002820.0,5002820,46500400500000.0,500282000068,340.0,PK-05,2.0,300,October Count Day,13471,1188,14659,4041300,356400,4397700,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS169,Burlington School District,LYMAN C HUNT MIDDLE SCHOOL,5002820.0,5002820,46500400500000.0,500282000070,409.0,06-08,3.0,409,October Count Day,12346,1089,13435,5049514,445401,5494915,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T037,PS159,Burlington School District,SUSTAIN ACAD AT LAWRENCE BARNES,5002820.0,5002820,46500400500000.0,500282000069,192.0,PK-05,2.0,173,October Count Day,16448,1451,17899,2845504,251023,3096527,,SU015,BURLINGTON SD,1,0,1,0,0,0,1
VT,2018-2019,T038,PS055,Cabot School District,CABOT SCHOOL,5002850.0,5002850,46501200400000.0,500285000074,163.0,PK-12,4.0,143,October Count Day,15053,0,15053,2152579,0,2152579,16983.24699,SU009,CALEDONIA CENTRAL SU,1,0,1,0,0,0,0
VT,2018-2019,U078,PS018,Caledonia Cooperative Unified School District,BARNET ELEMENTARY SCHOOL,5000412.0,5000412,46500380400000.0,500041200421,191.0,PK-08,3.0,170,October Count Day,13210,0,13210,2245700,0,2245700,,SU009,CALEDONIA CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U078,PS316,Caledonia Cooperative Unified School District,WALDEN SCHOOL,5000412.0,5000412,46500380400000.0,500041200448,77.0,PK-08,3.0,66,October Count Day,18069,0,18069,1192554,0,1192554,,SU009,CALEDONIA CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,U078,PS324,Caledonia Cooperative Unified School District,WATERFORD ELEMENTARY SCHOOL,5000412.0,5000412,46500380400000.0,500041200363,155.0,PK-08,3.0,138,October Count Day,12221,0,12221,1686498,0,1686498,,SU009,CALEDONIA CENTRAL SU,1,0,1,0,0,0,1
VT,2018-2019,T040,PS057,Cambridge School District,CAMBRIDGE ELEMENTARY SCHOOL,5002910.0,5002910,46500800200000.0,500291000077,333.0,PK-06,2.0,276,October Count Day,10835,733,11568,2990460,202308,3192768,,SU025,LAMOILLE NORTH SU,1,0,1,0,0,1,1
