state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WA,enrollmetric,pp_stloc_raw_WA,pp_fed_raw_WA,pp_total_raw_WA,schoolstloc_raw_WA,schoolfed_raw_WA,schooltot_raw_WA,pp_total_norm_NERDS,nonperfed_admin_raw_WA,nonperfed_instruction_raw_WA,nonperfed_instructionsupport_raw_WA,nonperfed_food_raw_WA,nonperfed_maintenanceops_raw_WA,nonperfed_publicactives_raw_WA,nonperstloc_admin_raw_WA,nonperstloc_instruction_raw_WA,nonperstloc_instructionsupport_raw_WA,nonperstloc_food_raw_WA,nonperstloc_transportation_raw_WA,nonperstloc_maintenanceops_raw_WA,nonperstloc_otherservices_raw_WA,nonperstloc_publicactives_raw_WA,perfed_raw_WA,perstloc_raw_WA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WA,2018-2019,14005,2834,Aberdeen School District,A J West Elementary,5300030.0,5300030.0,48501400100000.0,530003000001.0,434.0,PK-05,2.0,425.26,October Count Day,12819.2561591383,1781.69015470347,14600.9463138417,5451516.87423515,757681.555189197,6209198.42942435,14529.9241,0,29491.9219214121,8952.11398664145,124874.844982497,0,0,18249.4194335262,353363.483158515,51170.1402013554,0,46335.7535455335,371014.396032326,49986.6337820671,7516.66134890297,594362.674298646,4553880.38673293,1,0,1,1,0,0,0
WA,2018-2019,14005,3216,Aberdeen School District,Central Park Elementary,5300030.0,5300030.0,48501400100000.0,530003000005.0,191.0,KG-05,2.0,193.4,October Count Day,13279.5118519461,1682.92353559628,14962.4353875423,2568257.59216637,325477.41178432,2893735.00395069,14891.41317,0,13412.3540883251,4071.24781314127,56790.6575262543,0,0,8299.48200734605,160702.85858735,23271.1873088043,0,21072.6020216012,168730.151419489,22732.9515436481,3418.43179437951,251203.1523566,2160029.92748375,1,0,1,1,0,0,0
WA,2018-2019,14005,5514,Aberdeen School District,Grays Harbor Academy,5300030.0,5300030.0,48501400100000.0,530003003633.0,13.0,03-12,4.0,11.36,October Count Day,2110.79454334343,384.044774703829,2494.83931804726,23978.6260123813,4362.7486406355,28341.3746530168,2423.817105,0,787.819764443499,239.138444453386,3335.79043173862,0,0,487.498012427359,9439.42333791263,1366.9115192762,0,1237.77021181691,9910.93340292347,1335.29642986475,200.793098160038,0,0,1,0,1,1,0,1,0
WA,2018-2019,14005,4267,Aberdeen School District,Grays Harbor Juvenile Detention,5300030.0,5300030.0,48501400100000.0,530003002055.0,18.0,06-12,4.0,27.73,October Count Day,19794.3588898885,747.675727148575,20542.034617037,548897.572016608,20733.04791383,569630.619930438,20471.0124,0,1923.08468908611,583.741995131372,8142.73491831972,0,0,1189.99294758897,23041.8317922815,3336.65989696559,0,3021.42323711998,24192.7978224532,3259.4867957878,490.140194716361,10083.4863112928,490365.239329695,1,0,1,1,0,1,0
WA,2018-2019,14005,3857,Aberdeen School District,Harbor High School,5300030.0,5300030.0,48501400100000.0,530003000002.0,89.0,09-12,4.0,87.95,October Count Day,18787.7414411032,1226.34171834935,20014.0831594526,1652381.85974503,107856.754128825,1760238.61387386,19943.06095,0,6099.36164461318,1851.42836176719,25825.9479288215,0,0,3774.24737614315,73080.7467050543,10582.7348697484,0,9582.91286349449,76731.2141537957,10337.9683984687,1554.55572034994,74080.0161936239,1466737.47965797,1,0,1,1,0,0,0
WA,2018-2019,14005,3154,Aberdeen School District,Hopkins Elementary,5300030.0,5300030.0,48501400100000.0,530003002271.0,127.0,PK-PK,1.0,80.44,October Count Day,24431.3288237342,1418.2303231323,25849.5591468665,1965256.09058118,114082.447192763,2079338.53777394,25778.53693,0,5578.5406559714,1693.33595702732,23620.6850641774,0,0,3451.96655982893,66840.4237061348,9679.08121571986,0,8764.63343649228,70179.1798354898,9455.21521288031,1421.81309999943,83189.8855155868,1795463.77751464,1,0,1,1,0,1,0
WA,2018-2019,14005,3476,Aberdeen School District,J M Weatherwax High School,5300030.0,5300030.0,48501400100000.0,530003000007.0,955.0,09-12,4.0,932.34,October Count Day,14736.1198002872,502.708079682613,15238.8278799698,13739073.9345998,468694.851011287,14207768.7856111,15167.80567,0,64658.087956096,19626.6141990906,273775.603092182,0,0,40010.0261361376,774714.080534284,112185.41248961,0,101586.50345822,813411.940922682,109590.693082754,16479.5279171241,110634.545763919,11771095.7500589,1,0,1,1,0,0,0
WA,2018-2019,14005,2449,Aberdeen School District,McDermoth Elementary,5300030.0,5300030.0,48501400100000.0,530003000008.0,361.0,KG-05,2.0,359.3,October Count Day,11149.3570036873,1383.28009246293,12532.6370961502,4005963.97142486,497012.537221932,4502976.50864679,12461.61488,0,24917.5740637806,7563.59534261457,105506.118144691,0,0,15418.8411853125,298555.000467606,43233.3898658397,0,39148.8412945261,313468.166520281,42233.4513424651,6350.78874726246,359025.249670845,3247555.49200156,1,0,1,1,0,0,0
WA,2018-2019,14005,2305,Aberdeen School District,Miller Junior High,5300030.0,5300030.0,48501400100000.0,530003000009.0,487.0,06-08,3.0,491.45,October Count Day,14384.8926461021,588.13133928296,14973.023985385,7069455.49092687,289037.146690611,7358492.63761749,14902.00177,0,34082.2203552603,10345.4743421317,144311.109830805,0,0,21089.8677999493,408363.080934609,59134.5656820677,0,53547.7262849843,428761.287048129,57766.8512726259,8686.59930376327,100298.342162414,6032105.51260074,1,0,1,1,0,0,0
WA,2018-2019,14005,2763,Aberdeen School District,Robert Gray Elementary,5300030.0,5300030.0,48501400100000.0,530003000010.0,346.0,PK-05,2.0,347.6,October Count Day,13422.0507795705,1697.17706270988,15119.2278422804,4665504.85097873,589938.746997956,5255443.59797669,15048.20563,0,24106.1751866689,7317.29958556311,102070.488914819,0,0,14916.7525633583,288833.059177679,41825.5672623598,0,37874.0251432709,303260.603068328,40858.1900546643,6143.98599651665,456444.783310904,3931792.66771255,1,0,1,1,0,0,0
