state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WI,enrollmetric,pp_stloc_raw_WI,pp_fed_raw_WI,pp_total_raw_WI,pp_site_stloc_raw_WI,pp_site_fed_raw_WI,pp_site_raw_WI,pp_centshare_stloc_raw_WI,pp_centshare_fed_raw_WI,pp_centshare_raw_WI,schoolstloc_raw_WI,schoolfed_raw_WI,schooltot_raw_WI,pp_total_norm_NERDS,distexclu_raw_WI,disttotwexclu_raw_WI,disttot_summed_raw_WI,exclulist_raw_WI,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WI,2018-2019,8110,100,21st Century Preparatory School,21st Century Preparatory School,5500045.0,5500045.0,,550004502575.0,543.0,PK-08,3.0,543.0,September Count Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,0.0,,1,0,0,1,1,1,1
WI,2018-2019,7,20,Abbotsford School District,Abbotsford Elementary,5500030.0,5500030.0,50501050100000.0,550003000001.0,369.0,PK-05,2.0,369.0,September Count Day,10672.0,755.0,11428.0,5961.0,486.0,6447.0,4711.0,269.0,4981.0,3937968,278595,4216932,11024.22906,3485729.0,12135764.0,8650035.0,"Aid Transits, Capital Projects, Community Services, Cooperative Programs, Debt Service, Equipment, Facilities, Food Service, Independent Charter Tuition, Interfund Transfers, Private Choice Tuition, Public Choice Tuition, TEACH Fund, Trust Funds",1,0,0,1,1,0,0
WI,2018-2019,7,40,Abbotsford School District,Abbotsford Middle/Senior High,5500030.0,5500030.0,50501050100000.0,550003000002.0,391.0,06-12,4.0,391.0,September Count Day,10954.0,383.0,11339.0,6243.0,114.0,6358.0,4711.0,269.0,4981.0,4283014,149753,4433549,10935.22906,3485729.0,12135764.0,8650035.0,"Aid Transits, Capital Projects, Community Services, Cooperative Programs, Debt Service, Equipment, Facilities, Food Service, Independent Charter Tuition, Interfund Transfers, Private Choice Tuition, Public Choice Tuition, TEACH Fund, Trust Funds",1,0,0,1,1,0,0
WI,2018-2019,7,9100,Abbotsford School District,Rural Virtual Academy,5500030.0,5500030.0,50501050100000.0,,,,,0.0,September Count Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,3485729.0,12135764.0,8650035.0,"Aid Transits, Capital Projects, Community Services, Cooperative Programs, Debt Service, Equipment, Facilities, Food Service, Independent Charter Tuition, Interfund Transfers, Private Choice Tuition, Public Choice Tuition, TEACH Fund, Trust Funds",1,0,0,1,1,0,0
WI,2018-2019,14,130,Adams-Friendship Area School District,Adams-Friendship Elementary,5500060.0,5500060.0,50500100200000.0,550006001433.0,456.0,PK-04,2.0,456.0,September Count Day,11719.0,1393.0,13113.0,8507.0,1009.0,9516.0,3212.0,384.0,3597.0,5343864,635208,5979528,13383.84337,5893685.0,24817801.0,18924116.0,"Capital Projects, Community Services, Debt Service, Equipment, Food Service, Interfund Transfers, Public Choice Tuition",1,0,0,1,1,0,0
WI,2018-2019,14,40,Adams-Friendship Area School District,Adams-Friendship High,5500060.0,5500060.0,50500100200000.0,550006000005.0,486.0,09-12,4.0,486.0,September Count Day,12271.0,775.0,13047.0,9059.0,391.0,9450.0,3212.0,384.0,3597.0,5963706,376650,6340842,13317.84337,5893685.0,24817801.0,18924116.0,"Capital Projects, Community Services, Debt Service, Equipment, Food Service, Interfund Transfers, Public Choice Tuition",1,0,0,1,1,0,0
WI,2018-2019,14,210,Adams-Friendship Area School District,Adams-Friendship Middle,5500060.0,5500060.0,50500100200000.0,550006001454.0,450.0,05-08,3.0,450.0,September Count Day,10444.0,860.0,11305.0,7232.0,476.0,7708.0,3212.0,384.0,3597.0,4699800,387000,5087250,11575.84337,5893685.0,24817801.0,18924116.0,"Capital Projects, Community Services, Debt Service, Equipment, Food Service, Interfund Transfers, Public Choice Tuition",1,0,0,1,1,0,0
WI,2018-2019,14,140,Adams-Friendship Area School District,Grand Marsh Elementary,5500060.0,5500060.0,50500100200000.0,550006000010.0,102.0,PK-04,2.0,102.0,September Count Day,13235.0,1634.0,14870.0,10023.0,1250.0,11273.0,3212.0,384.0,3597.0,1349970,166668,1516740,15140.84337,5893685.0,24817801.0,18924116.0,"Capital Projects, Community Services, Debt Service, Equipment, Food Service, Interfund Transfers, Public Choice Tuition",1,0,0,1,1,0,0
WI,2018-2019,63,60,Albany School District,Albany Community Middle,5500120.0,5500120.0,50502301000000.0,550012002357.0,73.0,05-08,3.0,73.0,September Count Day,14684.0,502.0,15185.0,9801.0,358.0,10158.0,4883.0,144.0,5027.0,1071932,36646,1108505,15356.94395,2290172.0,7175952.0,4885780.0,"Aid Transits, Capital Projects, Certain Non-Accountability Students, Community Services, Cooperative Programs, Debt Service, Equipment, Facilities, Food Service, Interfund Transfers, Public Choice Tuition, Trust Funds",1,0,0,1,1,0,0
WI,2018-2019,63,20,Albany School District,Albany Elementary,5500120.0,5500120.0,50502301000000.0,550012000013.0,170.0,PK-04,2.0,170.0,September Count Day,12049.0,606.0,12655.0,7166.0,462.0,7628.0,4883.0,144.0,5027.0,2048330,103020,2151350,12826.94395,2290172.0,7175952.0,4885780.0,"Aid Transits, Capital Projects, Certain Non-Accountability Students, Community Services, Cooperative Programs, Debt Service, Equipment, Facilities, Food Service, Interfund Transfers, Public Choice Tuition, Trust Funds",1,0,0,1,1,0,0
