state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WV,enrollmetric,pp_stloc_raw_WV,pp_fed_raw_WV,pp_total_raw_WV,pp_site_stloc_raw_WV,pp_site_fed_raw_WV,pp_site_raw_WV,pp_centshare_stloc_raw_WV,pp_centshare_fed_raw_WV,pp_centshare_raw_WV,schoolstloc_raw_WV,schoolfed_raw_WV,schooltot_raw_WV,pp_total_norm_NERDS,site_stloc_raw_WV,site_fed_raw_WV,cent_stloc_raw_WV,cent_fed_raw_WV,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WV,2018-2019,2,201,BARBOUR COUNTY SCHOOLS,BELINGTON ELEMENTARY,5400030,5400030,49500100100000.0,540003000001,310.0,PK-04,2,309,October Count Day,9944.33,1320.35,11264.68,6853.09,1070.36,7923.45,3091.24,249.99,3341.23,3072798.54,407990.26,3480788.8,10840.20774,2117605.38,330743.349999999,955193.159999998,77246.91,1,0,0,0,0,0,0
WV,2018-2019,2,302,BARBOUR COUNTY SCHOOLS,BELINGTON MIDDLE SCHOOL,5400030,5400030,49500100100000.0,540003000002,318.0,05-08,3,318,October Count Day,8534.65,1345.39,9880.04,5443.41,1095.4,6538.81,3091.24,249.99,3341.23,2714020.56,427835.85,3141856.41,9455.567737,1731006.24,348339.03,983014.32,79496.82,1,0,0,0,0,0,0
WV,2018-2019,2,202,BARBOUR COUNTY SCHOOLS,JUNIOR ELEMENTARY,5400030,5400030,49500100100000.0,540003000004,110.0,PK-04,2,110,October Count Day,10647.43,3579.17,14226.6,7556.19,3329.18,10885.37,3091.24,249.99,3341.23,1171217.58,393709.5,1564927.08,13802.12774,831181.18,366210.6,340036.399999998,27498.9,1,0,0,0,0,0,0
WV,2018-2019,2,101,BARBOUR COUNTY SCHOOLS,KASSON ELEMENTARY/MIDDLE SCHOOL,5400030,5400030,49500100100000.0,540003000005,202.0,PK-08,3,200,October Count Day,10541.55,1011.1,11552.65,7450.31,761.11,8211.42,3091.24,249.99,3341.23,2108310.92,202221.89,2310532.81,11128.17774,1490062.92,152223.89,618248,49998,1,0,0,0,0,0,0
WV,2018-2019,2,501,BARBOUR COUNTY SCHOOLS,PHILIP BARBOUR HIGH SCHOOL COMPLEX,5400030,5400030,49500100100000.0,540003000008,631.0,09-12,4,631,October Count Day,9760.43999999999,893.96,10654.4,6669.2,643.97,7313.17,3091.24,249.99,3341.23,6158842.13,564089.24,6722931.37,10229.92774,4208269.69,406345.55,1950572.44,157743.69,1,0,0,0,0,0,0
WV,2018-2019,2,204,BARBOUR COUNTY SCHOOLS,PHILIPPI ELEMENTARY SCHOOL,5400030,5400030,49500100100000.0,540003000009,434.0,PK-04,2,417,October Count Day,8815.34999999999,1867.51,10682.86,5724.11,1617.52,7341.63,3091.24,249.99,3341.23,3676002.04,778751.799999999,4454753.84,10258.38774,2386954.96,674505.97,1289047.07999999,104245.83,1,0,0,0,0,0,0
WV,2018-2019,2,303,BARBOUR COUNTY SCHOOLS,PHILIPPI MIDDLE SCHOOL,5400030,5400030,49500100100000.0,540003000010,341.0,05-08,3,341,October Count Day,8390.13,1888.51,10278.64,5298.89,1638.52,6937.41,3091.24,249.99,3341.23,2861036.65,643984.97,3505021.62,9854.167737,1806923.81,558738.38,1054112.83999999,85246.59,1,0,0,0,0,0,0
WV,2018-2019,4,201,BERKELEY COUNTY SCHOOLS,BACK CREEK VALLEY ELEMENTARY SCHOOL,5400060,5400060,49500200100000.0,540006000012,170.0,PK-02,2,170,October Count Day,11726.63,1652.63,13379.26,7774.55,1421.22,9195.77,3952.08,231.41,4183.49,1993527.71,280948.029999999,2274475.73999999,13092.83643,1321674.11,241608.33,671853.6,39339.6999999999,1,0,0,0,0,0,0
WV,2018-2019,4,202,BERKELEY COUNTY SCHOOLS,BEDINGTON ELEMENTARY SCHOOL,5400060,5400060,49500200100000.0,540006000013,156.0,PK-02,2,155,October Count Day,12298.37,1773.32,14071.69,8346.29,1541.91,9888.2,3952.08,231.41,4183.49,1906247.75,274865.12,2181112.87,13785.26643,1293675.35,238996.57,612572.4,35868.55,1,0,0,0,0,0,0
WV,2018-2019,4,203,BERKELEY COUNTY SCHOOLS,BERKELEY HEIGHTS ELEMENTARY SCHOOL,5400060,5400060,49500200100000.0,540006001222,816.0,PK-03,2,802,October Count Day,8966.65,1336.28,10302.93,5014.57,1104.87,6119.44,3952.08,231.41,4183.49,7191253.92,1071702.14,8262956.06,10016.50643,4021685.76,886111.32,3169568.16,185590.82,1,0,0,0,0,0,0
WV,2018-2019,4,204,BERKELEY COUNTY SCHOOLS,BUNKER HILL ELEMENTARY,5400060,5400060,49500200100000.0,540006000014,395.0,KG-03,2,395,October Count Day,11923.72,1149.78,13073.5,7971.64,918.37,8890.01,3952.08,231.41,4183.49,4709872.97,454166.93,5164039.89999999,12787.07643,3148801.37,362759.98,1561071.59999999,91406.95,1,0,0,0,0,0,0
WV,2018-2019,4,205,BERKELEY COUNTY SCHOOLS,BURKE STREET ELEMENTARY SCHOOL,5400060,5400060,49500200100000.0,540006000015,276.0,PK-03,2,267,October Count Day,9369.5,1656.28,11025.78,5417.42,1424.87,6842.29,3952.08,231.41,4183.49,2501657.87,442229.27,2943887.14,10739.35643,1446452.51,380442.8,1055205.35999999,61786.47,1,0,0,0,0,0,0
