state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WY,enrollmetric,pp_stloc_raw_WY,pp_fed_raw_WY,pp_total_raw_WY,pp_site_stloc_raw_WY,pp_site_fed_raw_WY,pp_site_raw_WY,pp_centshare_stloc_raw_WY,pp_centshare_fed_raw_WY,pp_centshare_raw_WY,schoolstloc_raw_WY,schoolfed_raw_WY,schooltot_raw_WY,pp_total_norm_NERDS,distexclu_raw_WY,disttot_raw_WY,countenroll_raw_WY,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WY,2018-19,101000,101002,Albany County School District #1,Beitel Elementary,5600730,5600730,51500100100000,560073000005,236.0,KG-05,2.0,236,Count,13608,637,14245,10640,0,10640,2968,637,3605,3211488,150332,3361820,14570.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101005,Albany County School District #1,Centennial Elementary,5600730,5600730,51500100100000,560073000007,12.0,KG-06,2.0,12,Count,31164,3755,34918,28196,3118,31314,2968,637,3605,373968,45060,419016,35243.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101009,Albany County School District #1,Harmony Elementary,5600730,5600730,51500100100000,560073000011,21.0,KG-06,2.0,21,Count,23765,2419,26184,20797,1782,22579,2968,637,3605,499065,50799,549864,26509.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101028,Albany County School District #1,Indian Paintbrush Elementary,5600730,5600730,51500100100000,560073000004,348.0,KG-05,2.0,348,Count,13161,637,13798,10193,0,10193,2968,637,3605,4580028,221676,4801704,14123.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101055,Albany County School District #1,Laramie High School,5600730,5600730,51500100100000,560073000001,1064.0,09-12,4.0,1064,Count,13491,637,14128,10523,0,10523,2968,637,3605,14354424,677768,15032192,14453.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101050,Albany County School District #1,Laramie Middle School,5600730,5600730,51500100100000,560073000002,757.0,06-08,3.0,757,Count,12814,637,13451,9846,0,9846,2968,637,3605,9700198,482209,10182407,13776.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101031,Albany County School District #1,Laramie Montessori Charter School,5600730,5600730,51500100100000,560073000542,80.0,KG-06,2.0,80,Count,12503,363,12865,10713,0,10713,1790,363,2152,1000240,29040,1029200,13190.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101032,Albany County School District #1,Notch Peak Elementary,5600730,5600730,51500100100000,560073000550,1.0,KG-08,3.0,1,Count,86929,637,87566,83961,0,83961,2968,637,3605,86929,637,87566,87891.56309,7449682,60153868,1,0,0,0,0,1,0
WY,2018-19,101000,101015,Albany County School District #1,Rock River Elementary,5600730,5600730,51500100100000,560073000453,35.0,PK-06,2.0,35,Count,28891,1453,30344,25923,816,26739,2968,637,3605,1011185,50855,1062040,30669.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101056,Albany County School District #1,Rock River High School,5600730,5600730,51500100100000,560073000003,30.0,09-12,4.0,30,Count,28310,637,28947,25342,0,25342,2968,637,3605,849300,19110,868410,29272.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101051,Albany County School District #1,Rock River Junior High School,5600730,5600730,51500100100000,560073000017,19.0,07-08,3.0,19,Count,28245,637,28882,25277,0,25277,2968,637,3605,536655,12103,548758,29207.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101017,Albany County School District #1,Slade Elementary,5600730,5600730,51500100100000,560073000020,268.0,PK-05,2.0,268,Count,13453,1803,15257,10485,1166,11652,2968,637,3605,3605404,483204,4088876,15582.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101001,Albany County School District #1,Snowy Range Academy,5600730,5600730,51500100100000,560073000216,216.0,KG-08,3.0,216,Count,11502,363,11865,9712,0,9712,1790,363,2152,2484432,78408,2562840,12190.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101027,Albany County School District #1,Spring Creek Elementary,5600730,5600730,51500100100000,560073000006,343.0,KG-05,2.0,343,Count,13514,1378,14892,10546,741,11287,2968,637,3605,4635302,472654,5107956,15217.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101030,Albany County School District #1,UW Laboratory School,5600730,5600730,51500100100000,560073000535,272.0,KG-08,3.0,272,Count,13300,637,13937,10332,0,10332,2968,637,3605,3617600,173264,3790864,14262.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101019,Albany County School District #1,Valley View Elementary,5600730,5600730,51500100100000,560073000025,4.0,KG-06,2.0,4,Count,48927,637,49564,45959,0,45959,2968,637,3605,195708,2548,198256,49889.56309,7449682,60153868,1,0,0,0,0,1,0
WY,2018-19,101000,101020,Albany County School District #1,Velma Linford Elementary,5600730,5600730,51500100100000,560073000014,302.0,PK-05,2.0,302,Count,14713,2210,16923,11745,1573,13318,2968,637,3605,4443326,667420,5110746,17248.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,101000,101057,Albany County School District #1,Whiting High School,5600730,5600730,51500100100000,560073000066,50.0,09-12,4.0,50,Count,26390,637,27027,23422,0,23422,2968,637,3605,1319500,31850,1351350,27352.56309,7449682,60153868,1,0,0,0,0,0,0
WY,2018-19,201000,201001,Big Horn County School District #1,Burlington Elementary,5601420,5601420,51500200100000,560142000049,119.0,PK-05,2.0,119,Count,14655,1452,16107,9845,1245,11090,4810,207,5017,1743945,172788,1916733,16380.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,201000,201055,Big Horn County School District #1,Burlington High School,5601420,5601420,51500200100000,560142000478,65.0,09-12,4.0,65,Count,25215,320,25536,20405,113,20518,4810,207,5017,1638975,20800,1659840,25809.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,201000,201050,Big Horn County School District #1,Burlington Middle School,5601420,5601420,51500200100000,560142000477,66.0,06-08,3.0,66,Count,16580,280,16859,11770,73,11842,4810,207,5017,1094280,18480,1112694,17132.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,201000,201004,Big Horn County School District #1,Rocky Mountain Elementary,5601420,5601420,51500200100000,560142000365,305.0,PK-05,2.0,305,Count,14876,916,15792,10066,709,10775,4810,207,5017,4537180,279380,4816560,16065.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,201000,201056,Big Horn County School District #1,Rocky Mountain High School,5601420,5601420,51500200100000,560142000046,313.0,09-12,4.0,313,Count,17594,402,17996,12784,195,12979,4810,207,5017,5506922,125826,5632748,18269.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,201000,201051,Big Horn County School District #1,Rocky Mountain Middle School,5601420,5601420,51500200100000,560142000428,222.0,06-08,3.0,222,Count,13050,259,13309,8240,52,8292,4810,207,5017,2897100,57498,2954598,13582.23578,3541698,18093347,1,0,0,0,0,0,0
WY,2018-19,202000,202001,Big Horn County School District #2,Lovell Elementary,5601460,5601460,51500200200000,560146000056,326.0,KG-05,2.0,326,Count,13595,1430,15024,7630,765,8395,5965,665,6630,4431970,466180,4897824,15509.66141,3024818,11288584,1,0,0,0,0,0,0
WY,2018-19,202000,202055,Big Horn County School District #2,Lovell High School,5601460,5601460,51500200200000,560146000054,192.0,09-12,4.0,192,Count,17973,700,18672,12008,35,12043,5965,665,6630,3450816,134400,3585024,19157.66141,3024818,11288584,1,0,0,0,0,0,0
WY,2018-19,202000,202050,Big Horn County School District #2,Lovell Middle School,5601460,5601460,51500200200000,560146000055,179.0,06-08,3.0,179,Count,15009,665,15674,9044,0,9044,5965,665,6630,2686611,119035,2805646,16159.66141,3024818,11288584,1,0,0,0,0,0,0
WY,2018-19,203000,203002,Big Horn County School District #3,Greybull Elementary,5603170,5603170,51500201300000,560317000176,205.0,KG-05,2.0,205,Count,17781,1132,18914,11065,644,11710,6716,488,7204,3645105,232060,3877370,19335.6073,1575098,9433448,1,0,0,0,0,0,0
WY,2018-19,203000,203055,Big Horn County School District #3,Greybull High School,5603170,5603170,51500201300000,560317000174,152.0,09-12,4.0,152,Count,22480,491,22971,15764,3,15767,6716,488,7204,3416960,74632,3491592,23392.6073,1575098,9433448,1,0,0,0,0,0,0
WY,2018-19,203000,203050,Big Horn County School District #3,Greybull Middle School,5603170,5603170,51500201300000,560317000378,109.0,06-08,3.0,109,Count,17490,1451,18941,10774,963,11737,6716,488,7204,1906410,158159,2064569,19362.6073,1575098,9433448,1,0,0,0,0,0,0
WY,2018-19,204000,204001,Big Horn County School District #4,Laura Irwin Elementary,5601090,5601090,51500200300000,560109000038,109.0,KG-05,2.0,109,Count,21218,1991,23209,9048,1196,10244,12170,795,12965,2312762,217019,2529781,23696.43701,22041686,6511148,1,0,0,0,0,0,0
WY,2018-19,204000,204055,Big Horn County School District #4,Riverside Middle/High School,5601090,5601090,51500200300000,560109000036,145.0,06-12,4.0,145,Count,26608,849,27458,14438,54,14492,12170,795,12965,3858160,123105,3981410,27945.43701,22041686,6511148,1,0,0,0,0,0,0
WY,2018-19,301000,301002,Campbell County School District #1,4-J Elementary School,5601470,5601470,51500300100000,560147000454,40.0,KG-06,2.0,40,Count,23573,209,23781,20248,31,20278,3325,178,3503,942920,8360,951240,24238.46141,38303363,135393817,1,0,0,0,0,0,0
WY,2018-19,301000,301025,Campbell County School District #1,Buffalo Ridge Elementary,5601470,5601470,51500300100000,560147000546,432.0,KG-06,2.0,432,Count,12907,355,13262,9582,177,9760,3325,178,3503,5575824,153360,5729184,13719.46141,38303363,135393817,1,0,0,0,0,0,0
WY,2018-19,301000,301055,Campbell County School District #1,Campbell County High School,5601470,5601470,51500300100000,560147000057,1045.0,09-12,4.0,1045,Count,15048,420,15468,11723,242,11965,3325,178,3503,15725160,438900,16164060,15925.46141,38303363,135393817,1,0,0,0,0,0,0
WY,2018-19,301000,301022,Campbell County School District #1,Conestoga Elementary,5601470,5601470,51500300100000,560147000409,383.0,KG-06,2.0,383,Count,14663,446,15109,11338,268,11606,3325,178,3503,5615929,170818,5786747,15566.46141,38303363,135393817,1,0,0,0,0,0,0
