Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,280.28,18.28,▲,90.51,52.26
Massachusetts,273.11,11.11,▲,81.07,44.65
New Jersey,270.36,8.36,▲,76.51,42.87
Connecticut,269.72,7.72,▲,77.51,41.01
Vermont,268.48,6.48,▲,76.81,40.23
New Hampshire,267.95,5.95,▲,78.01,37.67
Utah,267.42,5.42,▲,77.38,37.78
Wisconsin,267.38,5.39,▲,76.46,38.53
Colorado,267.31,5.31,▲,76.87,37.66
Ohio,267.05,5.05,▲,75.22,38.09
Idaho,266.48,4.48,▲,77.42,37.08
Washington,266.28,4.28,▲,74.37,38.46
Indiana,265.95,3.96,▲,75.01,37.00
Maine,265.17,3.17,▲,75.07,35.55
Montana,264.83,2.83,▲,75.85,34.33
Illinois,264.70,2.70,▲,73.67,35.45
Wyoming,264.64,2.64,▲,75.19,33.93
Maryland,264.39,2.39,▲,72.83,35.99
Pennsylvania,264.18,2.18,♦,73.02,35.16
Nebraska,263.99,1.99,♦,74.19,33.82
Minnesota,263.81,1.82,♦,73.96,34.16
Oregon,263.72,1.72,♦,72.68,34.04
Florida,263.35,1.35,♦,72.13,33.91
Missouri,263.29,1.29,♦,73.92,33.31
North Dakota,263.23,1.23,♦,74.85,31.63
Kentucky,262.96,0.97,♦,72.58,33.43
Kansas,262.82,0.82,♦,74.00,32.30
South Dakota,262.77,0.77,♦,73.78,31.88
Michigan,262.58,0.58,♦,73.32,31.49
North Carolina,262.53,0.53,♦,72.01,32.93
Tennessee,262.46,0.46,♦,72.65,31.55
Georgia,262.39,0.39,♦,71.65,32.13
Iowa,262.33,0.33,♦,73.08,32.57
Rhode Island,262.15,0.15,♦,71.48,35.02
National public,262.00,†,,71.50,32.43
Virginia,261.80,-0.20,♦,71.11,33.24
New York,261.75,-0.25,♦,70.42,32.46
Delaware,259.68,-2.32,▼,69.03,30.96
Arizona,259.48,-2.52,♦,69.59,28.39
South Carolina,258.98,-3.02,▼,68.78,29.32
California,258.83,-3.17,▼,67.81,29.84
Arkansas,258.78,-3.22,▼,68.14,29.52
Oklahoma,258.20,-3.80,▼,71.43,25.64
Hawaii,258.16,-3.84,▼,67.56,29.16
Nevada,258.08,-3.92,▼,68.72,28.62
Louisiana,257.42,-4.58,▼,67.51,27.19
Mississippi,256.38,-5.62,▼,67.19,25.04
Texas,255.74,-6.26,▼,67.05,25.04
West Virginia,255.62,-6.37,▼,67.32,25.34
Alabama,253.40,-8.60,▼,63.90,23.60
Alaska,252.39,-9.61,▼,63.27,23.29
New Mexico,251.70,-10.30,▼,61.02,23.34
District of Columbia,249.81,-12.18,▼,58.07,22.98
Puerto Rico,—,†,,—,—
