state,states_abbrev,spending,pct_valid,math,reading
Connecticut,CT,20765.788375,0.9007782101167315,286.16,269.72
Maine,ME,14692.88284,0.9133986928104575,282.37,265.17
Utah,UT,7842.160622,0.8647166361974405,284.93,267.42
Ohio,OH,12446.65028,0.9576734811402245,285.71,267.05
North Dakota,ND,14608.61254,0.959349593495935,285.56,263.23
Texas,TX,9795.418073,0.916883963494133,279.65,255.74
North Carolina,NC,10212.22615,0.9449778434268833,283.66,262.53
Georgia,GA,11487.868035,0.9565964761495488,279.49,262.39
New York,NY,25358.034195,0.8918284617025816,280.41,261.75
Washington,WA,14338.33664,0.8305288461538461,285.81,266.28
Pennsylvania,PA,15255.58202,0.7941473259334006,285.02,264.18
Oregon,OR,12619.366464528,0.5499219968798752,279.5,263.72
Minnesota,MN,11858.3213484797,0.6904934687953556,290.79,263.81
Rhode Island,RI,17141.22191,0.8029411764705883,275.67,262.15
Hawaii,HI,16284.300285000001,0.9965870307167235,275.33,258.16
Florida,FL,9696.0,0.8085305835481603,278.52,263.35
Nevada,NV,9524.488825,0.8207547169811321,273.79,258.08
Mississippi,MS,9257.5530695,0.7969494756911344,273.73,256.38
New Hampshire,NH,18577.4366554182,0.9359267734553776,287.22,267.95
New Jersey,NJ,20050.134235598598,0.8743718592964824,291.82,270.36
Indiana,IN,10109.813745,0.8581706063720452,285.65,265.95
Nebraska,NE,13417.0,0.7405703771849126,285.01,263.99
Virginia,VA,12048.042795,0.8120584079133302,287.06,261.8
Colorado,CO,11283.8328,0.8679731820526044,284.67,267.31
Arkansas,AR,10031.04873,0.9223034734917733,274.36,258.78
Louisiana,LA,11698.33878,0.9345794392523364,271.64,257.42
Oklahoma,OK,9455.949326999998,0.9584947426674045,276.47,258.2
Alaska,AK,19810.21165,0.8447937131630648,274.34,252.39
Delaware,DE,15177.6980931342,0.8864628820960698,276.7,259.68
Wyoming,WY,16906.46141,0.9654178674351584,286.31,264.64
Missouri,MO,10381.310430000001,0.8022644561261626,280.76,263.29
California,CA,13015.59508454295,0.48783783783783785,275.61,258.83
West Virginia,WV,12112.640405,0.9020689655172414,272.35,255.62
Vermont,VT,14631.11579,0.3247588424437299,286.6,268.48
Tennessee,TN,9806.4921055,0.9207188160676533,280.08,262.46
Wisconsin,WI,12484.137385,0.87001287001287,288.66,267.38
New Mexico,NM,10509.823995,0.85456595264938,268.77,251.7
Kentucky,KY,11503.020088362351,0.35454545454545455,278.1,262.96
Idaho,ID,8023.462703499999,0.821522309711286,285.94,266.48
Michigan,MI,10819.0,0.8810932657086503,280.28,262.58
Massachusetts,MA,17130.94452,0.8625872249060654,294.47,273.11
Maryland,MD,15104.86078,0.9552134359692093,280.15,264.39
Alabama,AL,10147.7157,0.9543413173652695,268.7,253.4
Arizona,AZ,8607.74,0.5030120481927711,279.93,259.48
Iowa,IA,11726.05348,0.08081570996978851,281.67,262.33
District of Columbia,DC,22189.95544,0.8091286307053942,269.18,249.81
Kansas,KS,11624.43998,0.7630979498861048,282.21,262.82
South Carolina,SC,10967.44029,0.7397151898734177,276.35,258.98
Illinois,IL,15133.8182114806,0.6398537477148081,282.56,264.7
Montana,MT,12616.21622,0.9177750906892382,283.96,264.83
